time,ref_freq,est_freq,confidence
0.0,1178.0892723333602,182.648,0.361
0.001,1178.0892723333602,0.0,0.269
0.002,1178.0892723333602,0.0,0.191
0.003,1178.0892723333602,0.0,0.194
0.004,1178.0892723333602,0.0,0.157
0.005,1178.0892723333602,0.0,0.126
0.006,1178.0892723333602,0.0,0.151
0.007,1178.0892723333602,0.0,0.143
0.008,1178.0892723333602,0.0,0.09
0.009,1178.0892723333602,0.0,0.069
0.01,1178.0892723333602,0.0,0.058
0.011,1178.0892723333602,0.0,0.045
0.012,1178.0892723333602,0.0,0.05
0.013,1178.0892723333602,0.0,0.047
0.014,1178.0892723333602,0.0,0.045
0.015,1178.0892723333602,0.0,0.036
0.016,1178.0892723333602,0.0,0.032
0.017,1178.0892723333602,0.0,0.038
0.018,1178.0892723333602,0.0,0.043
0.019,1178.0892723333602,0.0,0.04
0.02,1178.0892723333602,0.0,0.038
0.021,1178.0892723333602,0.0,0.034
0.022,1178.0892723333602,0.0,0.033
0.023,1178.0892723333602,0.0,0.034
0.024,1178.0892723333602,0.0,0.038
0.025,1178.0892723333602,0.0,0.041
0.026,1178.0892723333602,0.0,0.035
0.027,1178.0892723333602,0.0,0.03
0.028,1178.0892723333602,0.0,0.035
0.029,1178.0892723333602,0.0,0.036
0.03,1178.0892723333602,0.0,0.029
0.031,1178.0892723333602,0.0,0.022
0.032,1178.0892723333602,0.0,0.019
0.033,1178.0892723333602,0.0,0.018
0.034,1178.0892723333602,0.0,0.015
0.035,1178.0892723333602,0.0,0.012
0.036,1178.0892723333602,0.0,0.009
0.037,1178.0892723333602,0.0,0.008
0.038,1178.0892723333602,0.0,0.008
0.039,1178.0892723333602,0.0,0.009
0.04,1178.0892723333602,0.0,0.009
0.041,1178.0892723333602,0.0,0.009
0.042,1178.0892723333602,0.0,0.01
0.043,1178.0892723333602,0.0,0.011
0.044,1178.0892723333602,0.0,0.013
0.045,1178.0892723333602,0.0,0.016
0.046,1178.0892723333602,0.0,0.019
0.047,1178.0892723333602,0.0,0.021
0.048,1178.0892723333602,0.0,0.023
0.049,1178.0892723333602,0.0,0.023
0.05,1178.0892723333602,0.0,0.026
0.051,1178.0892723333602,0.0,0.028
0.052,1178.0892723333602,0.0,0.028
0.053,1178.0892723333602,0.0,0.031
0.054,1178.0892723333602,0.0,0.033
0.055,1178.0892723333602,0.0,0.033
0.056,1178.0892723333602,0.0,0.037
0.057,1178.0892723333602,0.0,0.042
0.058,1178.0892723333602,0.0,0.049
0.059,1178.0892723333602,0.0,0.057
0.06,1178.0892723333602,0.0,0.068
0.061,1178.0892723333602,0.0,0.079
0.062,1178.0892723333602,0.0,0.083
0.063,1178.0892723333602,0.0,0.091
0.064,1178.0892723333602,0.0,0.099
0.065,1178.0892723333602,0.0,0.106
0.066,1178.0892723333602,0.0,0.111
0.067,1178.0892723333602,0.0,0.112
0.068,1178.0892723333602,0.0,0.116
0.069,1178.0892723333602,0.0,0.111
0.07,1178.0892723333602,0.0,0.109
0.071,1178.0892723333602,0.0,0.108
0.072,1178.0892723333602,0.0,0.096
0.073,1178.0892723333602,0.0,0.081
0.074,1178.0892723333602,0.0,0.074
0.075,1178.0892723333602,0.0,0.07
0.076,1178.0892723333602,0.0,0.058
0.077,1178.0892723333602,0.0,0.047
0.078,1178.0892723333602,0.0,0.041
0.079,1178.0892723333602,0.0,0.034
0.08,1178.0892723333602,0.0,0.03
0.081,1178.0892723333602,0.0,0.027
0.082,1178.0892723333602,0.0,0.025
0.083,1178.0892723333602,0.0,0.026
0.084,1178.0892723333602,0.0,0.027
0.085,1178.0892723333602,0.0,0.025
0.086,1178.0892723333602,0.0,0.023
0.087,1178.0892723333602,0.0,0.022
0.088,1178.0892723333602,0.0,0.021
0.089,1178.0892723333602,0.0,0.019
0.09,1178.0892723333602,0.0,0.023
0.091,1178.0892723333602,0.0,0.026
0.092,1178.0892723333602,0.0,0.025
0.093,1178.0892723333602,0.0,0.026
0.094,1178.0892723333602,0.0,0.026
0.095,1178.0892723333602,0.0,0.029
0.096,1178.0892723333602,0.0,0.029
0.097,1178.0892723333602,0.0,0.027
