time,ref_freq,est_freq,confidence
0.0,661.5901328207772,0.0,0.136
0.001,661.5901328207772,0.0,0.17
0.002,661.5901328207772,0.0,0.173
0.003,661.5901328207772,0.0,0.247
0.004,661.5901328207772,0.0,0.333
0.005,661.5901328207772,0.0,0.441
0.006,661.5901328207772,0.0,0.522
0.007,661.5901328207772,0.0,0.514
0.008,661.5901328207772,0.0,0.508
0.009,661.5901328207772,0.0,0.515
0.01,661.5901328207772,0.0,0.51
0.011,661.5901328207772,0.0,0.483
0.012,661.5901328207772,0.0,0.432
0.013,661.5901328207772,0.0,0.413
0.014,661.5901328207772,0.0,0.395
0.015,661.5901328207772,0.0,0.375
0.016,661.5901328207772,0.0,0.344
0.017,661.5901328207772,0.0,0.325
0.018,661.5901328207772,0.0,0.307
0.019,661.5901328207772,0.0,0.271
0.02,661.5901328207772,0.0,0.241
0.021,661.5901328207772,0.0,0.248
0.022,661.5901328207772,0.0,0.238
0.023,661.5901328207772,0.0,0.225
0.024,661.5901328207772,0.0,0.226
0.025,661.5901328207772,0.0,0.228
0.026,661.5901328207772,0.0,0.236
0.027,661.5901328207772,0.0,0.251
0.028,661.5901328207772,0.0,0.259
0.029,661.5901328207772,0.0,0.258
0.03,661.5901328207772,0.0,0.244
0.031,661.5901328207772,0.0,0.246
0.032,661.5901328207772,0.0,0.25
0.033,661.5901328207772,0.0,0.248
0.034,661.5901328207772,0.0,0.237
0.035,661.5901328207772,0.0,0.224
0.036,661.5901328207772,0.0,0.226
0.037,661.5901328207772,0.0,0.22
0.038,661.5901328207772,0.0,0.211
0.039,661.5901328207772,0.0,0.203
0.04,661.5901328207772,0.0,0.195
0.041,661.5901328207772,0.0,0.179
0.042,661.5901328207772,0.0,0.157
0.043,661.5901328207772,0.0,0.142
0.044,661.5901328207772,0.0,0.134
0.045,661.5901328207772,0.0,0.127
0.046,661.5901328207772,0.0,0.117
0.047,661.5901328207772,0.0,0.111
0.048,661.5901328207772,0.0,0.111
0.049,661.5901328207772,0.0,0.109
0.05,661.5901328207772,0.0,0.103
0.051,661.5901328207772,0.0,0.099
0.052,661.5901328207772,0.0,0.098
0.053,661.5901328207772,0.0,0.096
0.054,661.5901328207772,0.0,0.091
0.055,661.5901328207772,0.0,0.087
0.056,661.5901328207772,0.0,0.083
0.057,661.5901328207772,0.0,0.077
0.058,661.5901328207772,0.0,0.073
0.059,661.5901328207772,0.0,0.07
0.06,661.5901328207772,0.0,0.066
0.061,661.5901328207772,0.0,0.062
0.062,661.5901328207772,0.0,0.059
0.063,661.5901328207772,0.0,0.058
0.064,661.5901328207772,0.0,0.058
0.065,661.5901328207772,0.0,0.059
0.066,661.5901328207772,0.0,0.06
0.067,661.5901328207772,0.0,0.061
0.068,661.5901328207772,0.0,0.063
0.069,661.5901328207772,0.0,0.064
0.07,661.5901328207772,0.0,0.064
0.071,661.5901328207772,0.0,0.064
0.072,661.5901328207772,0.0,0.065
0.073,661.5901328207772,0.0,0.066
0.074,661.5901328207772,0.0,0.065
0.075,661.5901328207772,0.0,0.065
0.076,661.5901328207772,0.0,0.065
0.077,661.5901328207772,0.0,0.063
0.078,661.5901328207772,0.0,0.063
0.079,661.5901328207772,0.0,0.065
0.08,661.5901328207772,0.0,0.067
0.081,661.5901328207772,0.0,0.065
0.082,661.5901328207772,0.0,0.066
0.083,661.5901328207772,0.0,0.066
0.084,661.5901328207772,0.0,0.062
0.085,661.5901328207772,0.0,0.057
0.086,661.5901328207772,0.0,0.052
0.087,661.5901328207772,0.0,0.044
0.088,661.5901328207772,0.0,0.037
0.089,661.5901328207772,0.0,0.033
0.09,661.5901328207772,0.0,0.028
0.091,661.5901328207772,0.0,0.025
0.092,661.5901328207772,0.0,0.023
0.093,661.5901328207772,0.0,0.021
0.094,661.5901328207772,0.0,0.02
0.095,661.5901328207772,0.0,0.017
0.096,661.5901328207772,0.0,0.015
0.097,661.5901328207772,0.0,0.014
0.098,661.5901328207772,0.0,0.013
0.099,661.5901328207772,0.0,0.012
0.1,661.5901328207772,0.0,0.012
0.101,661.5901328207772,0.0,0.013
0.102,661.5901328207772,0.0,0.013
0.103,661.5901328207772,0.0,0.012
0.104,661.5901328207772,0.0,0.011
0.105,661.5901328207772,0.0,0.011
