time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.024
0.001,0.0,0.0,0.073
0.002,0.0,0.0,0.196
0.003,0.0,0.0,0.307
0.004,0.0,0.0,0.375
0.005,0.0,0.0,0.422
0.006,0.0,0.0,0.424
0.007,0.0,0.0,0.459
0.008,0.0,0.0,0.482
0.009,0.0,0.0,0.469
0.01,0.0,0.0,0.532
0.011,0.0,0.0,0.581
0.012,0.0,0.0,0.534
0.013,0.0,0.0,0.548
0.014,0.0,0.0,0.588
0.015,0.0,0.0,0.55
0.016,0.0,0.0,0.512
0.017,0.0,0.0,0.442
0.018,0.0,0.0,0.258
0.019,0.0,0.0,0.229
0.02,0.0,0.0,0.357
0.021,0.0,0.0,0.422
0.022,0.0,0.0,0.433
0.023,0.0,0.0,0.536
0.024,0.0,0.0,0.619
0.025,0.0,0.0,0.695
0.026,0.0,0.0,0.796
0.027,0.0,340.392,0.835
0.028,0.0,340.467,0.846
0.029,0.0,340.678,0.876
0.03,0.0,341.032,0.91
0.031,0.0,341.067,0.929
0.032,0.0,340.976,0.929
0.033,0.0,341.107,0.917
0.034,0.0,341.203,0.937
0.035,0.0,341.122,0.948
0.036,0.0,341.093,0.944
0.037,0.0,341.18,0.943
0.038,0.0,341.176,0.943
0.039,0.0,341.163,0.938
0.04,0.0,341.131,0.938
0.041,0.0,341.083,0.937
0.042,0.0,341.015,0.924
0.043,0.0,340.854,0.917
0.044,0.0,340.725,0.912
0.045,0.0,340.606,0.904
0.046,0.0,340.395,0.888
0.047,0.0,340.123,0.862
0.048,0.0,339.933,0.836
0.049,0.0,339.722,0.819
0.05,0.0,0.0,0.796
0.051,0.0,0.0,0.785
0.052,0.0,0.0,0.762
0.053,0.0,0.0,0.767
0.054,0.0,0.0,0.76
0.055,0.0,0.0,0.737
0.056,0.0,0.0,0.744
0.057,0.0,0.0,0.767
0.058,0.0,0.0,0.763
0.059,660.8842907735002,0.0,0.774
0.06,660.8842907735002,0.0,0.767
