time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.011
0.001,0.0,0.0,0.016
0.002,0.0,0.0,0.027
0.003,0.0,0.0,0.04
0.004,0.0,0.0,0.054
0.005,0.0,0.0,0.084
0.006,0.0,0.0,0.137
0.007,0.0,0.0,0.192
0.008,0.0,0.0,0.283
0.009,0.0,445.894,0.374
0.01,0.0,445.444,0.511
0.011,0.0,445.021,0.592
0.012,0.0,444.435,0.684
0.013,0.0,442.404,0.745
0.014,0.0,441.995,0.764
0.015,0.0,441.557,0.823
0.016,0.0,441.128,0.86
0.017,0.0,440.826,0.875
0.018,0.0,439.689,0.873
0.019,441.6766042940084,439.47,0.897
0.02,441.6766042940084,439.231,0.901
0.021,441.6766042940084,439.226,0.915
0.022,441.6766042940084,439.214,0.927
0.023,441.6766042940084,439.138,0.931
0.024,441.6766042940084,438.99,0.936
0.025,441.6766042940084,439.052,0.934
0.026,441.6766042940084,439.109,0.938
0.027,441.6766042940084,439.123,0.938
0.028,441.6766042940084,439.096,0.943
0.029,441.6766042940084,439.101,0.942
0.03,441.6766042940084,439.237,0.935
0.031,441.6766042940084,439.226,0.936
0.032,441.6766042940084,439.278,0.941
0.033,441.6766042940084,439.356,0.944
0.034,441.6766042940084,439.5,0.932
0.035,441.6766042940084,439.539,0.935
0.036,441.6766042940084,439.597,0.939
0.037,441.6766042940084,439.764,0.943
0.038,441.6766042940084,439.784,0.937
0.039,441.6766042940084,439.795,0.933
0.04,441.6766042940084,439.786,0.94
0.041,441.6766042940084,439.912,0.94
0.042,441.6766042940084,439.877,0.941
0.043,441.6766042940084,440.327,0.935
0.044,441.6766042940084,439.885,0.94
0.045,441.6766042940084,439.907,0.943
0.046,441.6766042940084,439.882,0.943
0.047,441.6766042940084,439.721,0.941
0.048,441.6766042940084,439.719,0.939
0.049,441.6766042940084,439.655,0.944
0.05,441.6766042940084,439.631,0.942
0.051,441.6766042940084,439.533,0.945
0.052,441.6766042940084,439.473,0.943
0.053,441.6766042940084,439.443,0.947
0.054,441.6766042940084,439.329,0.947
0.055,441.6766042940084,439.243,0.947
0.056,441.6766042940084,439.071,0.948
0.057,441.6766042940084,439.025,0.945
0.058,441.6766042940084,438.939,0.948
0.059,441.6766042940084,438.877,0.947
0.06,441.6766042940084,438.788,0.949
0.061,441.6766042940084,438.704,0.945
0.062,441.6766042940084,438.66,0.947
0.063,441.6766042940084,438.57,0.947
0.064,441.6766042940084,438.546,0.944
0.065,441.6766042940084,438.465,0.944
0.066,441.6766042940084,438.474,0.94
0.067,441.6766042940084,438.483,0.943
0.068,441.6766042940084,438.494,0.939
0.069,441.6766042940084,438.507,0.942
0.07,441.6766042940084,438.498,0.94
0.071,441.6766042940084,438.558,0.938
0.072,441.6766042940084,438.54,0.939
0.073,441.6766042940084,438.582,0.936
0.074,441.6766042940084,438.602,0.939
0.075,441.6766042940084,438.683,0.934
0.076,441.6766042940084,438.734,0.937
0.077,441.6766042940084,438.764,0.936
0.078,441.6766042940084,438.822,0.94
0.079,441.6766042940084,438.807,0.939
0.08,441.6766042940084,438.839,0.937
0.081,441.6766042940084,438.803,0.939
0.082,441.6766042940084,438.86,0.936
0.083,441.6766042940084,438.866,0.94
0.084,441.6766042940084,438.887,0.936
0.085,441.6766042940084,438.902,0.941
0.086,441.6766042940084,438.892,0.94
0.087,441.6766042940084,438.913,0.942
0.088,441.6766042940084,438.834,0.941
0.089,441.6766042940084,438.836,0.938
0.09,441.6766042940084,438.81,0.94
0.091,441.6766042940084,438.854,0.936
0.092,441.6766042940084,438.85,0.94
0.093,441.6766042940084,438.843,0.937
0.094,441.6766042940084,438.877,0.94
0.095,441.6766042940084,438.859,0.939
0.096,441.6766042940084,438.9,0.939
0.097,441.6766042940084,438.864,0.939
0.098,441.6766042940084,438.951,0.935
0.099,441.6766042940084,438.997,0.938
0.1,441.6766042940084,439.12,0.934
0.101,441.6766042940084,439.21,0.938
0.102,441.6766042940084,439.302,0.935
0.103,441.6766042940084,439.429,0.938
0.104,441.6766042940084,439.476,0.936
0.105,441.6766042940084,439.628,0.932
0.106,441.6766042940084,440.104,0.935
0.107,441.6766042940084,440.296,0.932
0.108,441.6766042940084,440.407,0.939
0.109,441.6766042940084,440.593,0.938
0.11,441.6766042940084,440.73,0.943
0.111,441.6766042940084,440.855,0.943
0.112,441.6766042940084,440.987,0.944
0.113,441.6766042940084,441.038,0.946
0.114,441.6766042940084,441.192,0.943
0.115,441.6766042940084,441.248,0.948
0.116,441.6766042940084,441.419,0.945
0.117,441.6766042940084,441.487,0.949
0.118,441.6766042940084,441.589,0.948
0.119,441.6766042940084,441.639,0.95
0.12,441.6766042940084,441.639,0.95
0.121,441.6766042940084,441.668,0.948
0.122,441.6766042940084,441.592,0.95
0.123,441.6766042940084,441.635,0.947
0.124,441.6766042940084,441.571,0.95
0.125,441.6766042940084,441.598,0.947
0.126,441.6766042940084,441.528,0.949
0.127,441.6766042940084,441.462,0.948
0.128,441.6766042940084,441.368,0.948
0.129,441.6766042940084,441.22,0.947
0.13,441.6766042940084,441.127,0.943
0.131,441.6766042940084,440.93,0.945
0.132,441.6766042940084,440.875,0.941
0.133,441.6766042940084,440.742,0.944
0.134,441.6766042940084,440.669,0.941
0.135,441.6766042940084,440.538,0.943
0.136,441.6766042940084,440.4,0.941
0.137,441.6766042940084,440.29,0.939
0.138,441.6766042940084,440.118,0.938
0.139,441.6766042940084,439.643,0.936
0.14,441.6766042940084,439.487,0.939
0.141,441.6766042940084,439.482,0.936
0.142,441.6766042940084,439.403,0.939
0.143,441.6766042940084,439.359,0.937
0.144,441.6766042940084,439.318,0.941
0.145,441.6766042940084,439.263,0.942
0.146,441.6766042940084,439.265,0.939
0.147,441.6766042940084,439.181,0.939
0.148,441.6766042940084,439.269,0.936
0.149,441.6766042940084,439.29,0.937
0.15,441.6766042940084,439.39,0.932
0.151,441.6766042940084,439.424,0.932
0.152,441.6766042940084,439.502,0.929
0.153,441.6766042940084,439.596,0.929
0.154,441.6766042940084,439.606,0.928
0.155,441.6766042940084,439.691,0.922
0.156,441.6766042940084,439.725,0.922
0.157,441.6766042940084,439.887,0.916
0.158,441.6766042940084,440.263,0.921
0.159,441.6766042940084,440.343,0.918
0.16,441.6766042940084,440.381,0.922
0.161,441.6766042940084,440.41,0.923
0.162,441.6766042940084,440.406,0.922
0.163,441.6766042940084,440.341,0.921
0.164,441.6766042940084,440.378,0.918
0.165,441.6766042940084,440.31,0.922
0.166,441.6766042940084,440.297,0.919
0.167,441.6766042940084,440.23,0.922
0.168,441.6766042940084,439.813,0.922
0.169,441.6766042940084,439.698,0.926
0.17,441.6766042940084,439.562,0.93
0.171,441.6766042940084,439.491,0.931
0.172,441.6766042940084,439.397,0.934
0.173,441.6766042940084,439.383,0.931
0.174,441.6766042940084,439.289,0.932
0.175,441.6766042940084,439.31,0.926
0.176,441.6766042940084,439.292,0.922
0.177,441.6766042940084,439.31,0.914
0.178,441.6766042940084,439.297,0.903
0.179,441.6766042940084,439.33,0.888
0.18,441.6766042940084,439.459,0.864
0.181,441.6766042940084,439.491,0.844
0.182,441.6766042940084,439.637,0.81
0.183,441.6766042940084,439.72,0.772
0.184,441.6766042940084,440.997,0.737
0.185,441.6766042940084,441.221,0.707
0.186,441.6766042940084,441.525,0.675
0.187,441.6766042940084,441.829,0.631
0.188,441.6766042940084,441.989,0.593
0.189,441.6766042940084,442.202,0.54
0.19,441.6766042940084,439.564,0.471
0.191,441.6766042940084,455.976,0.42
0.192,441.6766042940084,456.907,0.404
0.193,441.6766042940084,457.698,0.357
0.194,441.6766042940084,458.197,0.303
0.195,441.6766042940084,0.0,0.269
0.196,441.6766042940084,0.0,0.239
0.197,441.6766042940084,0.0,0.244
0.198,441.6766042940084,0.0,0.26
