time,ref_freq,est_freq,confidence
0.0,660.3668401920555,0.0,0.062
0.001,660.3668401920555,537.591,0.109
0.002,660.3668401920555,532.802,0.145
0.003,660.3668401920555,531.341,0.158
0.004,660.3668401920555,516.756,0.184
0.005,660.3668401920555,521.555,0.201
0.006,660.3668401920555,516.787,0.21
0.007,660.3668401920555,516.45,0.233
0.008,660.3668401920555,516.069,0.256
0.009,660.3668401920555,515.636,0.266
0.01,660.3668401920555,515.092,0.284
0.011,660.3668401920555,514.487,0.291
0.012,660.3668401920555,514.047,0.294
0.013,660.3668401920555,513.484,0.278
0.014,660.3668401920555,512.738,0.253
0.015,660.3668401920555,510.886,0.233
0.016,660.3668401920555,510.375,0.221
0.017,660.3668401920555,508.339,0.214
0.018,660.3668401920555,505.892,0.209
0.019,660.3668401920555,505.289,0.2
0.02,660.3668401920555,504.755,0.202
0.021,660.3668401920555,504.356,0.2
0.022,660.3668401920555,166.028,0.215
0.023,660.3668401920555,166.339,0.252
0.024,660.3668401920555,166.47,0.258
0.025,660.3668401920555,166.565,0.255
0.026,660.3668401920555,166.645,0.263
0.027,660.3668401920555,166.703,0.281
0.028,660.3668401920555,166.696,0.278
0.029,660.3668401920555,166.92,0.272
0.03,660.3668401920555,166.634,0.269
0.031,660.3668401920555,166.607,0.248
0.032,660.3668401920555,499.697,0.222
0.033,660.3668401920555,499.693,0.217
0.034,660.3668401920555,662.903,0.239
0.035,660.3668401920555,661.132,0.278
0.036,660.3668401920555,660.727,0.318
0.037,660.3668401920555,660.392,0.359
0.038,660.3668401920555,660.045,0.403
0.039,660.3668401920555,659.718,0.437
0.04,660.3668401920555,659.381,0.462
0.041,660.3668401920555,659.09,0.488
0.042,660.3668401920555,658.752,0.512
0.043,660.3668401920555,658.474,0.502
0.044,660.3668401920555,658.243,0.516
0.045,660.3668401920555,658.029,0.542
0.046,660.3668401920555,657.773,0.548
0.047,660.3668401920555,657.632,0.546
0.048,660.3668401920555,657.556,0.538
0.049,660.3668401920555,657.404,0.518
0.05,660.3668401920555,657.298,0.509
0.051,660.3668401920555,657.209,0.516
0.052,660.3668401920555,657.043,0.514
0.053,660.3668401920555,656.902,0.501
0.054,660.3668401920555,656.934,0.491
0.055,660.3668401920555,656.95,0.46
0.056,660.3668401920555,657.018,0.429
0.057,660.3668401920555,657.09,0.424
0.058,660.3668401920555,657.039,0.412
0.059,660.3668401920555,657.025,0.391
0.06,660.3668401920555,657.158,0.384
0.061,660.3668401920555,657.237,0.375
0.062,660.3668401920555,657.319,0.34
0.063,660.3668401920555,657.43,0.31
0.064,660.3668401920555,657.511,0.279
0.065,660.3668401920555,657.538,0.243
0.066,660.3668401920555,509.927,0.245
0.067,660.3668401920555,509.79,0.269
0.068,660.3668401920555,509.706,0.289
0.069,660.3668401920555,509.804,0.316
0.07,660.3668401920555,509.891,0.331
0.071,660.3668401920555,509.923,0.336
0.072,660.3668401920555,510.067,0.341
0.073,660.3668401920555,510.269,0.347
0.074,660.3668401920555,512.479,0.354
0.075,660.3668401920555,512.82,0.377
0.076,660.3668401920555,513.119,0.399
0.077,660.3668401920555,513.372,0.416
0.078,660.3668401920555,513.656,0.413
0.079,660.3668401920555,513.881,0.407
0.08,660.3668401920555,514.012,0.405
0.081,660.3668401920555,514.265,0.398
0.082,660.3668401920555,514.585,0.39
0.083,660.3668401920555,514.777,0.386
0.084,660.3668401920555,514.976,0.382
0.085,660.3668401920555,515.168,0.373
0.086,660.3668401920555,515.26,0.356
0.087,660.3668401920555,515.362,0.333
0.088,660.3668401920555,515.514,0.305
0.089,660.3668401920555,515.626,0.271
0.09,660.3668401920555,515.708,0.251
0.091,660.3668401920555,515.661,0.253
0.092,660.3668401920555,515.397,0.26
0.093,660.3668401920555,515.117,0.261
0.094,660.3668401920555,514.863,0.258
0.095,660.3668401920555,514.547,0.247
0.096,660.3668401920555,514.223,0.239
0.097,660.3668401920555,513.915,0.241
0.098,660.3668401920555,513.494,0.248
0.099,660.3668401920555,512.973,0.253
0.1,660.3668401920555,509.959,0.27
0.101,660.3668401920555,507.422,0.291
0.102,660.3668401920555,506.997,0.307
0.103,660.3668401920555,504.731,0.31
0.104,660.3668401920555,504.341,0.316
0.105,660.3668401920555,503.95,0.311
0.106,660.3668401920555,503.662,0.303
0.107,660.3668401920555,503.57,0.31
0.108,660.3668401920555,503.523,0.321
0.109,660.3668401920555,503.481,0.314
0.11,660.3668401920555,503.562,0.304
0.111,660.3668401920555,503.729,0.284
0.112,660.3668401920555,503.902,0.244
0.113,660.3668401920555,506.216,0.217
0.114,660.3668401920555,506.497,0.203
0.115,660.3668401920555,506.833,0.205
0.116,660.3668401920555,507.079,0.2
0.117,660.3668401920555,507.26,0.183
0.118,660.3668401920555,433.344,0.19
0.119,660.3668401920555,656.165,0.207
0.12,660.3668401920555,656.544,0.226
0.121,660.3668401920555,656.952,0.262
0.122,660.3668401920555,657.406,0.313
0.123,660.3668401920555,657.924,0.332
0.124,660.3668401920555,658.566,0.323
0.125,660.3668401920555,659.063,0.32
0.126,660.3668401920555,659.438,0.326
0.127,660.3668401920555,661.407,0.314
0.128,660.3668401920555,662.305,0.286
0.129,660.3668401920555,519.712,0.284
0.13,660.3668401920555,512.08,0.303
0.131,660.3668401920555,511.899,0.329
0.132,660.3668401920555,509.402,0.35
0.133,660.3668401920555,511.285,0.345
0.134,660.3668401920555,510.869,0.344
0.135,660.3668401920555,508.655,0.362
0.136,660.3668401920555,508.139,0.395
0.137,660.3668401920555,507.428,0.386
0.138,660.3668401920555,505.068,0.378
0.139,660.3668401920555,504.553,0.384
0.14,660.3668401920555,503.74,0.381
0.141,660.3668401920555,502.819,0.396
0.142,660.3668401920555,502.018,0.403
0.143,660.3668401920555,501.327,0.384
0.144,660.3668401920555,499.036,0.336
0.145,660.3668401920555,498.2,0.301
0.146,881.490814363305,495.998,0.277
0.147,881.490814363305,495.26,0.249
0.148,881.490814363305,492.354,0.198
0.149,881.490814363305,491.571,0.192
0.15,881.490814363305,488.95,0.16
0.151,881.490814363305,462.172,0.153
0.152,881.490814363305,464.545,0.188
