time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.179
0.001,0.0,0.0,0.163
0.002,0.0,0.0,0.102
0.003,0.0,0.0,0.076
0.004,0.0,0.0,0.059
0.005,0.0,0.0,0.05
0.006,0.0,0.0,0.065
0.007,0.0,0.0,0.059
0.008,0.0,0.0,0.042
0.009,596.6313405612245,0.0,0.044
0.01,596.6313405612245,0.0,0.036
0.011,596.6313405612245,0.0,0.029
0.012,596.6313405612245,0.0,0.033
0.013,596.6313405612245,0.0,0.033
0.014,596.6313405612245,0.0,0.035
0.015,596.6313405612245,0.0,0.046
0.016,596.6313405612245,0.0,0.056
0.017,596.6313405612245,0.0,0.058
0.018,596.6313405612245,0.0,0.083
0.019,596.6313405612245,0.0,0.136
0.02,596.6313405612245,0.0,0.17
0.021,596.6313405612245,0.0,0.185
0.022,596.6313405612245,0.0,0.198
0.023,596.6313405612245,0.0,0.215
0.024,596.6313405612245,0.0,0.235
0.025,596.6313405612245,0.0,0.276
0.026,596.6313405612245,0.0,0.33
0.027,596.6313405612245,0.0,0.347
0.028,596.6313405612245,0.0,0.353
0.029,596.6313405612245,0.0,0.394
0.03,596.6313405612245,594.925,0.406
0.031,596.6313405612245,595.017,0.401
0.032,596.6313405612245,594.688,0.43
0.033,596.6313405612245,594.564,0.458
0.034,596.6313405612245,594.811,0.487
0.035,596.6313405612245,594.694,0.553
0.036,596.6313405612245,594.427,0.613
0.037,596.6313405612245,594.413,0.659
0.038,596.6313405612245,594.492,0.719
0.039,596.6313405612245,594.376,0.771
0.04,596.6313405612245,594.288,0.802
0.041,596.6313405612245,594.366,0.83
0.042,596.6313405612245,594.296,0.853
0.043,596.6313405612245,594.313,0.858
0.044,596.6313405612245,594.354,0.872
0.045,596.6313405612245,594.267,0.891
0.046,596.6313405612245,594.201,0.907
0.047,596.6313405612245,594.163,0.918
0.048,596.6313405612245,594.204,0.928
0.049,596.6313405612245,594.208,0.939
0.05,596.6313405612245,594.228,0.942
0.051,596.6313405612245,594.287,0.944
0.052,596.6313405612245,594.287,0.946
0.053,596.6313405612245,594.37,0.948
0.054,596.6313405612245,594.448,0.951
0.055,596.6313405612245,594.435,0.949
0.056,596.6313405612245,594.452,0.951
0.057,596.6313405612245,594.447,0.956
0.058,596.6313405612245,594.469,0.959
0.059,596.6313405612245,594.503,0.96
0.06,596.6313405612245,594.531,0.962
0.061,596.6313405612245,594.558,0.964
0.062,596.6313405612245,594.558,0.963
0.063,596.6313405612245,594.62,0.965
0.064,596.6313405612245,594.682,0.966
0.065,596.6313405612245,594.723,0.963
0.066,596.6313405612245,594.812,0.963
0.067,596.6313405612245,594.894,0.965
0.068,596.6313405612245,594.989,0.963
0.069,596.6313405612245,595.07,0.96
0.07,596.6313405612245,595.143,0.958
0.071,596.6313405612245,595.207,0.958
0.072,596.6313405612245,595.269,0.956
0.073,596.6313405612245,595.396,0.955
0.074,596.6313405612245,595.486,0.955
0.075,596.6313405612245,595.523,0.951
0.076,596.6313405612245,595.603,0.951
0.077,596.6313405612245,595.642,0.952
0.078,596.6313405612245,595.675,0.952
0.079,596.6313405612245,595.719,0.95
0.08,596.6313405612245,595.778,0.948
0.081,596.6313405612245,595.771,0.95
0.082,596.6313405612245,595.75,0.951
0.083,596.6313405612245,595.845,0.95
0.084,596.6313405612245,595.888,0.95
0.085,596.6313405612245,595.844,0.949
0.086,596.6313405612245,595.879,0.95
0.087,596.6313405612245,595.926,0.954
0.088,596.6313405612245,595.971,0.954
0.089,596.6313405612245,595.97,0.953
0.09,596.6313405612245,596.017,0.95
0.091,596.6313405612245,596.061,0.952
0.092,596.6313405612245,596.081,0.955
0.093,596.6313405612245,596.157,0.954
0.094,596.6313405612245,596.208,0.953
0.095,596.6313405612245,596.282,0.95
0.096,596.6313405612245,596.367,0.953
0.097,596.6313405612245,596.425,0.956
0.098,596.6313405612245,596.485,0.954
0.099,596.6313405612245,596.562,0.953
0.1,596.6313405612245,596.649,0.952
0.101,596.6313405612245,596.697,0.953
0.102,596.6313405612245,596.746,0.955
0.103,596.6313405612245,596.863,0.954
0.104,596.6313405612245,596.892,0.95
0.105,596.6313405612245,596.892,0.948
0.106,596.6313405612245,596.902,0.952
0.107,596.6313405612245,596.841,0.956
0.108,596.6313405612245,596.761,0.952
0.109,596.6313405612245,596.677,0.95
0.11,596.6313405612245,596.625,0.952
0.111,596.6313405612245,596.467,0.956
0.112,596.6313405612245,596.208,0.953
0.113,596.6313405612245,596.015,0.948
0.114,596.6313405612245,595.784,0.951
0.115,596.6313405612245,595.467,0.953
0.116,596.6313405612245,595.068,0.954
0.117,596.6313405612245,594.683,0.953
0.118,596.6313405612245,594.354,0.95
0.119,596.6313405612245,593.913,0.947
0.12,596.6313405612245,593.492,0.937
0.121,596.6313405612245,593.002,0.924
0.122,596.6313405612245,592.477,0.909
0.123,596.6313405612245,592.05,0.889
0.124,596.6313405612245,591.618,0.863
0.125,596.6313405612245,591.211,0.844
0.126,596.6313405612245,590.95,0.833
0.127,596.6313405612245,589.945,0.81
0.128,596.6313405612245,589.774,0.786
0.129,596.6313405612245,589.626,0.757
0.13,596.6313405612245,589.61,0.726
0.131,596.6313405612245,589.51,0.699
0.132,596.6313405612245,589.417,0.679
0.133,596.6313405612245,589.556,0.649
0.134,596.6313405612245,589.721,0.633
0.135,596.6313405612245,589.853,0.599
0.136,596.6313405612245,590.01,0.538
0.137,596.6313405612245,590.255,0.503
0.138,596.6313405612245,590.417,0.461
0.139,596.6313405612245,591.262,0.415
0.14,596.6313405612245,0.0,0.384
0.141,596.6313405612245,0.0,0.361
0.142,596.6313405612245,0.0,0.347
0.143,596.6313405612245,0.0,0.325
0.144,596.6313405612245,0.0,0.303
0.145,596.6313405612245,0.0,0.268
0.146,596.6313405612245,0.0,0.239
0.147,596.6313405612245,0.0,0.223
0.148,596.6313405612245,0.0,0.206
0.149,596.6313405612245,0.0,0.198
0.15,596.6313405612245,0.0,0.187
0.151,596.6313405612245,0.0,0.169
0.152,596.6313405612245,0.0,0.145
0.153,596.6313405612245,0.0,0.117
0.154,596.6313405612245,0.0,0.092
0.155,596.6313405612245,0.0,0.077
0.156,596.6313405612245,0.0,0.072
0.157,596.6313405612245,0.0,0.067
0.158,596.6313405612245,0.0,0.057
0.159,596.6313405612245,0.0,0.052
0.16,596.6313405612245,0.0,0.052
0.161,596.6313405612245,0.0,0.051
0.162,596.6313405612245,0.0,0.048
0.163,596.6313405612245,0.0,0.045
0.164,596.6313405612245,0.0,0.045
0.165,596.6313405612245,0.0,0.039
0.166,596.6313405612245,0.0,0.038
0.167,596.6313405612245,0.0,0.038
0.168,596.6313405612245,0.0,0.035
0.169,596.6313405612245,0.0,0.036
0.17,596.6313405612245,0.0,0.04
0.171,596.6313405612245,0.0,0.045
0.172,596.6313405612245,0.0,0.046
0.173,596.6313405612245,0.0,0.046
0.174,596.6313405612245,0.0,0.051
0.175,596.6313405612245,0.0,0.049
0.176,596.6313405612245,0.0,0.061
0.177,596.6313405612245,0.0,0.076
0.178,596.6313405612245,0.0,0.085
0.179,596.6313405612245,0.0,0.095
0.18,796.4134693877552,0.0,0.102
0.181,796.4134693877552,0.0,0.113
0.182,796.4134693877552,0.0,0.127
0.183,796.4134693877552,0.0,0.156
0.184,796.4134693877552,0.0,0.166
0.185,796.4134693877552,0.0,0.163
0.186,796.4134693877552,0.0,0.163
0.187,796.4134693877552,0.0,0.156
0.188,796.4134693877552,0.0,0.148
0.189,796.4134693877552,0.0,0.138
0.19,796.4134693877552,0.0,0.136
0.191,796.4134693877552,0.0,0.15
0.192,796.4134693877552,0.0,0.154
0.193,796.4134693877552,0.0,0.159
0.194,796.4134693877552,0.0,0.159
0.195,796.4134693877552,0.0,0.175
0.196,796.4134693877552,0.0,0.197
0.197,796.4134693877552,0.0,0.211
0.198,796.4134693877552,0.0,0.24
0.199,796.4134693877552,0.0,0.255
0.2,796.4134693877552,0.0,0.259
0.201,796.4134693877552,0.0,0.279
0.202,796.4134693877552,0.0,0.308
0.203,796.4134693877552,0.0,0.318
0.204,796.4134693877552,0.0,0.301
0.205,796.4134693877552,0.0,0.305
0.206,796.4134693877552,0.0,0.307
0.207,796.4134693877552,0.0,0.293
0.208,796.4134693877552,0.0,0.295
0.209,796.4134693877552,0.0,0.284
0.21,796.4134693877552,0.0,0.261
0.211,796.4134693877552,0.0,0.244
0.212,796.4134693877552,0.0,0.247
0.213,796.4134693877552,0.0,0.256
0.214,796.4134693877552,0.0,0.23
0.215,796.4134693877552,0.0,0.218
0.216,796.4134693877552,0.0,0.21
0.217,796.4134693877552,0.0,0.207
0.218,796.4134693877552,0.0,0.212
0.219,796.4134693877552,0.0,0.208
0.22,796.4134693877552,0.0,0.205
0.221,796.4134693877552,0.0,0.211
0.222,796.4134693877552,0.0,0.21
0.223,796.4134693877552,0.0,0.211
0.224,796.4134693877552,0.0,0.21
0.225,796.4134693877552,0.0,0.212
0.226,796.4134693877552,0.0,0.201
0.227,796.4134693877552,0.0,0.194
0.228,796.4134693877552,0.0,0.193
0.229,796.4134693877552,0.0,0.181
0.23,796.4134693877552,0.0,0.187
0.231,796.4134693877552,0.0,0.198
0.232,796.4134693877552,0.0,0.203
0.233,796.4134693877552,0.0,0.203
0.234,796.4134693877552,0.0,0.205
0.235,796.4134693877552,0.0,0.209
0.236,796.4134693877552,0.0,0.22
0.237,796.4134693877552,0.0,0.224
0.238,796.4134693877552,0.0,0.225
0.239,796.4134693877552,0.0,0.223
0.24,796.4134693877552,0.0,0.232
0.241,796.4134693877552,0.0,0.233
0.242,796.4134693877552,0.0,0.229
0.243,796.4134693877552,0.0,0.22
0.244,796.4134693877552,0.0,0.204
0.245,796.4134693877552,0.0,0.192
0.246,796.4134693877552,0.0,0.18
0.247,796.4134693877552,0.0,0.168
0.248,796.4134693877552,0.0,0.149
0.249,796.4134693877552,0.0,0.129
0.25,796.4134693877552,0.0,0.11
0.251,796.4134693877552,0.0,0.1
0.252,796.4134693877552,0.0,0.109
0.253,796.4134693877552,0.0,0.107
0.254,796.4134693877552,0.0,0.105
0.255,796.4134693877552,0.0,0.113
0.256,796.4134693877552,0.0,0.128
0.257,796.4134693877552,0.0,0.142
