time,ref_freq,est_freq,confidence
0.0,367.0818232969676,0.0,0.042
0.001,367.0818232969676,0.0,0.052
0.002,367.0818232969676,0.0,0.059
0.003,367.0818232969676,0.0,0.058
0.004,367.0818232969676,0.0,0.062
0.005,367.0818232969676,0.0,0.069
0.006,367.0818232969676,0.0,0.059
0.007,367.0818232969676,0.0,0.054
0.008,367.0818232969676,0.0,0.054
0.009,367.0818232969676,0.0,0.059
0.01,367.0818232969676,0.0,0.071
0.011,367.0818232969676,0.0,0.074
0.012,367.0818232969676,0.0,0.076
0.013,367.0818232969676,0.0,0.066
0.014,367.0818232969676,0.0,0.044
0.015,367.0818232969676,0.0,0.034
0.016,367.0818232969676,0.0,0.033
0.017,367.0818232969676,0.0,0.026
0.018,367.0818232969676,0.0,0.022
0.019,367.0818232969676,0.0,0.019
0.02,367.0818232969676,0.0,0.018
0.021,367.0818232969676,0.0,0.02
0.022,367.0818232969676,0.0,0.02
0.023,367.0818232969676,0.0,0.021
0.024,367.0818232969676,0.0,0.025
0.025,367.0818232969676,0.0,0.025
0.026,367.0818232969676,0.0,0.03
0.027,367.0818232969676,0.0,0.035
0.028,367.0818232969676,0.0,0.036
0.029,367.0818232969676,0.0,0.046
0.03,367.0818232969676,0.0,0.056
0.031,367.0818232969676,0.0,0.047
0.032,367.0818232969676,0.0,0.045
0.033,367.0818232969676,0.0,0.051
0.034,367.0818232969676,0.0,0.062
0.035,367.0818232969676,0.0,0.069
0.036,367.0818232969676,0.0,0.089
0.037,367.0818232969676,0.0,0.088
0.038,367.0818232969676,0.0,0.094
0.039,367.0818232969676,0.0,0.114
0.04,367.0818232969676,0.0,0.114
0.041,367.0818232969676,0.0,0.123
0.042,367.0818232969676,0.0,0.135
0.043,367.0818232969676,0.0,0.157
0.044,367.0818232969676,0.0,0.159
0.045,367.0818232969676,0.0,0.179
0.046,367.0818232969676,0.0,0.188
0.047,367.0818232969676,0.0,0.146
0.048,367.0818232969676,0.0,0.108
0.049,367.0818232969676,0.0,0.112
