time,ref_freq,est_freq,confidence
0.0,0.0,63.568,0.18
0.001,0.0,63.186,0.156
0.002,0.0,62.719,0.095
0.003,0.0,63.574,0.065
0.004,0.0,63.722,0.054
0.005,0.0,63.214,0.042
0.006,0.0,61.06,0.041
0.007,0.0,65.605,0.034
0.008,0.0,65.688,0.024
0.009,0.0,414.131,0.022
0.01,0.0,413.689,0.019
0.011,0.0,412.017,0.017
0.012,0.0,412.562,0.016
0.013,0.0,412.5,0.012
0.014,0.0,412.088,0.008
0.015,0.0,411.825,0.008
0.016,0.0,411.958,0.008
0.017,0.0,411.525,0.007
0.018,0.0,411.052,0.007
0.019,0.0,410.916,0.007
0.02,0.0,405.558,0.006
0.021,0.0,405.169,0.005
0.022,0.0,599.157,0.006
0.023,0.0,598.865,0.008
0.024,0.0,598.605,0.01
0.025,0.0,598.525,0.014
0.026,0.0,596.489,0.02
0.027,0.0,596.69,0.021
0.028,0.0,596.708,0.025
0.029,0.0,597.042,0.027
0.03,0.0,597.76,0.026
0.031,0.0,600.918,0.023
0.032,0.0,609.072,0.023
0.033,0.0,608.947,0.027
0.034,0.0,608.884,0.03
0.035,0.0,608.435,0.028
0.036,0.0,607.473,0.024
0.037,0.0,606.52,0.021
0.038,0.0,600.35,0.016
0.039,0.0,599.682,0.012
0.04,0.0,596.841,0.008
0.041,0.0,596.032,0.005
0.042,0.0,594.876,0.004
0.043,0.0,593.546,0.002
0.044,0.0,592.385,0.001
0.045,0.0,591.33,0.001
0.046,0.0,570.365,0.001
0.047,0.0,569.741,0.001
0.048,0.0,569.392,0.001
0.049,0.0,569.316,0.001
0.05,0.0,569.733,0.001
0.051,0.0,379.596,0.001
0.052,0.0,379.838,0.002
0.053,0.0,380.467,0.003
0.054,0.0,382.447,0.005
0.055,0.0,384.74,0.009
0.056,0.0,386.204,0.015
0.057,0.0,387.614,0.023
0.058,0.0,391.19,0.034
0.059,0.0,392.0,0.046
0.06,0.0,392.66,0.051
0.061,0.0,393.307,0.048
0.062,0.0,393.877,0.037
0.063,0.0,394.259,0.024
0.064,0.0,394.446,0.013
0.065,0.0,394.433,0.007
0.066,0.0,394.236,0.003
0.067,0.0,393.854,0.002
0.068,0.0,393.282,0.001
0.069,0.0,392.477,0.0
0.07,0.0,391.531,0.0
0.071,0.0,390.511,0.0
0.072,0.0,384.68,0.0
0.073,0.0,384.004,0.0
0.074,0.0,383.572,0.0
0.075,0.0,383.388,0.0
0.076,0.0,383.444,0.001
0.077,0.0,383.622,0.002
0.078,0.0,383.883,0.005
0.079,0.0,384.198,0.013
0.08,0.0,384.461,0.033
0.081,0.0,384.681,0.072
0.082,0.0,384.896,0.124
0.083,0.0,385.085,0.165
0.084,0.0,385.158,0.182
0.085,0.0,385.132,0.164
0.086,0.0,385.093,0.114
0.087,0.0,385.012,0.064
0.088,0.0,384.86,0.032
0.089,0.0,384.744,0.014
0.09,0.0,384.733,0.005
0.091,0.0,385.87,0.001
0.092,0.0,386.317,0.0
0.093,0.0,386.804,0.0
0.094,0.0,321.723,0.0
0.095,0.0,321.409,0.0
0.096,0.0,321.108,0.0
0.097,0.0,320.796,0.0
0.098,0.0,320.425,0.0
0.099,0.0,320.061,0.0
0.1,0.0,319.748,0.0
0.101,0.0,319.4,0.0
0.102,0.0,319.021,0.0
0.103,0.0,318.777,0.0
0.104,0.0,318.722,0.0
0.105,0.0,318.704,0.0
0.106,0.0,318.727,0.0
0.107,0.0,835.004,0.0
0.108,0.0,836.232,0.0
0.109,0.0,837.634,0.0
0.11,0.0,841.558,0.0
0.111,0.0,280.761,0.0
0.112,0.0,280.947,0.001
0.113,0.0,281.197,0.001
0.114,0.0,281.414,0.001
0.115,0.0,281.871,0.002
0.116,0.0,282.048,0.003
0.117,0.0,282.251,0.004
0.118,0.0,282.442,0.005
0.119,0.0,282.644,0.006
0.12,0.0,282.865,0.006
0.121,0.0,283.084,0.004
0.122,0.0,283.361,0.002
0.123,0.0,283.927,0.001
0.124,0.0,848.791,0.001
0.125,0.0,848.141,0.0
0.126,0.0,485.767,0.0
0.127,0.0,485.067,0.0
0.128,0.0,484.359,0.0
0.129,0.0,483.713,0.0
0.13,0.0,482.971,0.0
0.131,0.0,482.211,0.0
0.132,0.0,481.371,0.0
0.133,0.0,480.395,0.0
0.134,0.0,76.208,0.0
0.135,0.0,458.729,0.0
0.136,0.0,457.401,0.0
0.137,0.0,455.173,0.0
0.138,0.0,454.0,0.0
0.139,0.0,452.828,0.0
0.14,0.0,804.292,0.0
0.141,0.0,802.713,0.0
0.142,0.0,801.644,0.0
0.143,0.0,800.765,0.0
0.144,0.0,799.627,0.0
0.145,0.0,787.354,0.0
0.146,0.0,789.593,0.001
0.147,0.0,789.488,0.001
0.148,0.0,787.125,0.003
0.149,0.0,787.063,0.005
0.15,0.0,787.056,0.006
0.151,0.0,789.578,0.005
0.152,0.0,789.964,0.004
0.153,0.0,787.181,0.003
0.154,0.0,787.315,0.002
0.155,0.0,791.408,0.001
0.156,0.0,805.88,0.001
0.157,0.0,807.244,0.001
0.158,0.0,808.501,0.0
0.159,0.0,809.766,0.0
0.16,0.0,810.886,0.0
0.161,0.0,811.781,0.0
0.162,0.0,812.499,0.0
0.163,0.0,815.077,0.0
0.164,0.0,815.439,0.0
0.165,0.0,815.698,0.0
0.166,0.0,816.039,0.0
0.167,0.0,816.584,0.001
0.168,0.0,817.268,0.001
0.169,0.0,817.905,0.003
0.17,0.0,819.266,0.005
0.171,0.0,819.715,0.01
0.172,0.0,820.164,0.015
0.173,0.0,820.486,0.021
0.174,0.0,820.636,0.025
0.175,0.0,820.759,0.026
0.176,0.0,820.796,0.024
0.177,0.0,399.517,0.022
0.178,0.0,399.476,0.021
0.179,0.0,399.08,0.02
0.18,0.0,399.059,0.019
0.181,0.0,399.078,0.016
0.182,0.0,399.128,0.013
0.183,0.0,821.546,0.011
0.184,0.0,821.372,0.011
0.185,0.0,821.149,0.011
0.186,0.0,821.19,0.01
0.187,0.0,821.142,0.009
0.188,0.0,820.925,0.008
0.189,0.0,820.963,0.008
0.19,0.0,821.202,0.007
0.191,0.0,821.229,0.006
0.192,0.0,821.094,0.005
0.193,0.0,821.201,0.005
0.194,0.0,821.421,0.005
0.195,0.0,821.61,0.006
0.196,0.0,822.032,0.006
0.197,0.0,822.651,0.006
0.198,0.0,823.222,0.006
0.199,0.0,614.674,0.006
0.2,0.0,613.96,0.008
0.201,0.0,310.01,0.013
0.202,0.0,309.572,0.014
0.203,0.0,395.113,0.012
0.204,0.0,394.696,0.014
0.205,0.0,394.078,0.012
0.206,0.0,393.374,0.013
0.207,0.0,392.867,0.014
0.208,0.0,389.425,0.014
0.209,0.0,388.516,0.019
0.21,0.0,387.92,0.022
0.211,0.0,387.401,0.02
0.212,0.0,386.806,0.021
0.213,0.0,386.195,0.025
0.214,0.0,385.692,0.024
0.215,0.0,385.229,0.024
0.216,0.0,384.606,0.023
0.217,0.0,372.611,0.027
0.218,0.0,371.5,0.035
0.219,0.0,369.023,0.035
0.22,0.0,368.772,0.039
0.221,0.0,368.305,0.061
0.222,0.0,367.932,0.076
0.223,0.0,367.678,0.083
0.224,0.0,367.592,0.1
0.225,0.0,367.605,0.092
0.226,0.0,354.045,0.095
0.227,0.0,354.035,0.122
0.228,0.0,354.09,0.131
0.229,0.0,353.914,0.184
0.23,0.0,353.573,0.246
0.231,0.0,353.301,0.256
0.232,0.0,352.979,0.339
0.233,0.0,352.61,0.415
0.234,0.0,351.622,0.442
0.235,0.0,351.111,0.529
0.236,0.0,350.575,0.612
0.237,0.0,350.241,0.636
0.238,0.0,349.744,0.685
0.239,0.0,348.872,0.726
0.24,0.0,348.452,0.724
0.241,0.0,347.903,0.77
0.242,0.0,347.355,0.791
0.243,0.0,347.129,0.766
0.244,0.0,346.757,0.796
0.245,0.0,346.128,0.816
0.246,0.0,345.979,0.793
0.247,0.0,345.725,0.819
0.248,0.0,345.431,0.811
0.249,0.0,345.375,0.783
0.25,0.0,345.177,0.831
0.251,0.0,344.826,0.837
0.252,0.0,344.912,0.834
0.253,0.0,344.829,0.865
0.254,0.0,344.827,0.854
0.255,0.0,344.975,0.858
0.256,0.0,345.162,0.889
0.257,0.0,345.058,0.868
0.258,0.0,345.456,0.873
0.259,0.0,345.495,0.902
0.26,0.0,345.644,0.878
0.261,0.0,345.797,0.885
0.262,0.0,345.811,0.9
0.263,0.0,346.028,0.88
0.264,0.0,346.127,0.898
0.265,0.0,346.071,0.906
0.266,0.0,346.372,0.88
0.267,0.0,346.244,0.894
0.268,0.0,346.147,0.902
0.269,0.0,346.403,0.876
0.27,0.0,346.187,0.899
0.271,0.0,346.053,0.902
0.272,0.0,346.125,0.878
0.273,0.0,345.969,0.907
0.274,0.0,345.856,0.902
0.275,0.0,345.911,0.883
0.276,0.0,345.727,0.912
0.277,0.0,345.648,0.9
0.278,0.0,345.707,0.889
0.279,0.0,345.523,0.916
0.28,0.0,345.469,0.897
0.281,0.0,345.516,0.898
0.282,350.02608565909094,345.361,0.921
0.283,350.02608565909094,345.169,0.896
0.284,350.02608565909094,345.189,0.904
0.285,350.02608565909094,345.22,0.92
0.286,350.02608565909094,345.048,0.9
0.287,350.02608565909094,344.998,0.916
0.288,350.02608565909094,344.837,0.924
0.289,350.02608565909094,344.834,0.912
0.29,350.02608565909094,344.727,0.928
0.291,350.02608565909094,344.532,0.934
0.292,350.02608565909094,344.498,0.925
0.293,350.02608565909094,344.351,0.939
0.294,350.02608565909094,344.154,0.944
0.295,350.02608565909094,344.119,0.938
0.296,350.02608565909094,343.96,0.949
0.297,350.02608565909094,343.765,0.951
0.298,350.02608565909094,343.754,0.947
0.299,350.02608565909094,343.615,0.957
0.3,350.02608565909094,343.449,0.956
0.301,350.02608565909094,343.479,0.954
0.302,350.02608565909094,343.384,0.961
0.303,350.02608565909094,343.266,0.959
0.304,350.02608565909094,343.339,0.959
0.305,350.02608565909094,343.308,0.964
0.306,350.02608565909094,343.246,0.958
0.307,350.02608565909094,343.351,0.957
0.308,350.02608565909094,343.355,0.96
