time,ref_freq,est_freq,confidence
0.0,416.29909868640596,0.0,0.002
0.001,416.29909868640596,0.0,0.003
0.002,416.29909868640596,0.0,0.004
0.003,416.29909868640596,0.0,0.007
0.004,416.29909868640596,0.0,0.011
0.005,416.29909868640596,0.0,0.016
0.006,416.29909868640596,0.0,0.029
0.007,416.29909868640596,0.0,0.048
0.008,416.29909868640596,0.0,0.069
0.009,416.29909868640596,0.0,0.088
0.01,416.29909868640596,0.0,0.077
0.011,416.29909868640596,0.0,0.08
0.012,416.29909868640596,0.0,0.09
0.013,416.29909868640596,0.0,0.089
0.014,416.29909868640596,0.0,0.107
0.015,416.29909868640596,0.0,0.107
0.016,416.29909868640596,0.0,0.123
0.017,416.29909868640596,0.0,0.141
0.018,416.29909868640596,0.0,0.199
0.019,416.29909868640596,0.0,0.253
0.02,416.29909868640596,0.0,0.308
0.021,416.29909868640596,0.0,0.311
0.022,416.29909868640596,0.0,0.407
0.023,416.29909868640596,0.0,0.492
0.024,416.29909868640596,0.0,0.551
0.025,416.29909868640596,0.0,0.599
0.026,416.29909868640596,0.0,0.674
0.027,416.29909868640596,0.0,0.728
0.028,416.29909868640596,0.0,0.755
0.029,416.29909868640596,0.0,0.801
0.03,416.29909868640596,0.0,0.841
0.031,416.29909868640596,0.0,0.87
0.032,416.29909868640596,0.0,0.882
0.033,416.29909868640596,0.0,0.896
0.034,416.29909868640596,416.316,0.901
0.035,416.29909868640596,0.0,0.897
0.036,416.29909868640596,0.0,0.893
0.037,416.29909868640596,0.0,0.881
0.038,416.29909868640596,0.0,0.873
0.039,416.29909868640596,0.0,0.869
0.04,416.29909868640596,0.0,0.882
0.041,416.29909868640596,0.0,0.881
0.042,416.29909868640596,0.0,0.874
0.043,416.29909868640596,0.0,0.885
0.044,416.29909868640596,0.0,0.898
0.045,416.29909868640596,423.127,0.904
0.046,416.29909868640596,423.609,0.906
0.047,416.29909868640596,423.913,0.911
0.048,416.29909868640596,424.793,0.919
0.049,416.29909868640596,425.187,0.926
0.05,416.29909868640596,425.58,0.933
0.051,416.29909868640596,425.879,0.934
0.052,416.29909868640596,426.145,0.938
0.053,416.29909868640596,426.434,0.939
0.054,416.29909868640596,426.767,0.937
0.055,416.29909868640596,427.12,0.93
0.056,416.29909868640596,427.488,0.919
0.057,416.29909868640596,427.747,0.912
0.058,416.29909868640596,428.038,0.907
0.059,416.29909868640596,428.387,0.902
0.06,416.29909868640596,0.0,0.895
0.061,416.29909868640596,0.0,0.899
0.062,416.29909868640596,429.581,0.905
0.063,416.29909868640596,429.904,0.91
0.064,416.29909868640596,430.127,0.905
0.065,416.29909868640596,430.27,0.905
0.066,416.29909868640596,430.413,0.913
0.067,416.29909868640596,430.585,0.908
0.068,416.29909868640596,430.746,0.901
0.069,416.29909868640596,0.0,0.896
0.07,416.29909868640596,430.839,0.904
0.071,416.29909868640596,430.836,0.906
0.072,416.29909868640596,430.848,0.902
0.073,416.29909868640596,430.832,0.904
0.074,416.29909868640596,430.781,0.904
0.075,416.29909868640596,430.703,0.907
0.076,416.29909868640596,430.591,0.903
0.077,416.29909868640596,430.492,0.907
0.078,416.29909868640596,430.356,0.908
0.079,416.29909868640596,430.227,0.909
0.08,416.29909868640596,430.063,0.911
0.081,416.29909868640596,429.89,0.912
0.082,416.29909868640596,429.737,0.916
0.083,416.29909868640596,429.582,0.914
0.084,416.29909868640596,429.424,0.916
0.085,416.29909868640596,429.221,0.919
0.086,416.29909868640596,429.061,0.921
0.087,416.29909868640596,428.904,0.922
0.088,416.29909868640596,428.739,0.92
0.089,416.29909868640596,428.583,0.924
0.09,416.29909868640596,428.44,0.923
0.091,416.29909868640596,428.32,0.923
0.092,416.29909868640596,427.799,0.921
0.093,416.29909868640596,427.661,0.926
0.094,416.29909868640596,427.509,0.929
0.095,416.29909868640596,427.355,0.929
0.096,416.29909868640596,427.222,0.933
0.097,416.29909868640596,427.09,0.933
0.098,416.29909868640596,426.975,0.933
