time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.283
0.001,0.0,0.0,0.341
0.002,0.0,0.0,0.34
0.003,0.0,0.0,0.374
0.004,0.0,0.0,0.303
0.005,0.0,0.0,0.236
0.006,0.0,0.0,0.223
0.007,0.0,0.0,0.201
0.008,0.0,0.0,0.189
0.009,0.0,0.0,0.207
0.01,0.0,0.0,0.224
0.011,0.0,0.0,0.184
0.012,0.0,0.0,0.188
0.013,0.0,0.0,0.234
0.014,0.0,0.0,0.209
0.015,0.0,0.0,0.164
0.016,0.0,0.0,0.171
0.017,0.0,0.0,0.18
0.018,0.0,0.0,0.164
0.019,0.0,0.0,0.154
0.02,0.0,0.0,0.159
0.021,0.0,0.0,0.25
0.022,0.0,0.0,0.233
0.023,0.0,0.0,0.154
0.024,0.0,0.0,0.134
0.025,0.0,0.0,0.144
0.026,0.0,0.0,0.163
0.027,0.0,0.0,0.223
0.028,0.0,0.0,0.242
0.029,0.0,0.0,0.279
0.03,0.0,0.0,0.316
0.031,0.0,0.0,0.337
0.032,0.0,0.0,0.367
0.033,0.0,0.0,0.345
0.034,0.0,0.0,0.355
0.035,0.0,0.0,0.35
0.036,0.0,0.0,0.297
0.037,0.0,0.0,0.31
0.038,0.0,0.0,0.365
0.039,0.0,0.0,0.386
0.04,0.0,0.0,0.359
0.041,0.0,0.0,0.299
0.042,0.0,0.0,0.282
0.043,0.0,0.0,0.289
0.044,0.0,0.0,0.268
0.045,0.0,0.0,0.224
0.046,0.0,0.0,0.195
0.047,0.0,0.0,0.19
0.048,0.0,0.0,0.156
0.049,0.0,0.0,0.107
0.05,0.0,0.0,0.081
0.051,0.0,0.0,0.094
0.052,0.0,0.0,0.1
0.053,0.0,0.0,0.075
0.054,0.0,0.0,0.076
0.055,0.0,0.0,0.082
0.056,0.0,0.0,0.075
0.057,0.0,0.0,0.05
0.058,0.0,0.0,0.031
0.059,0.0,0.0,0.024
0.06,0.0,0.0,0.023
0.061,0.0,0.0,0.018
0.062,0.0,0.0,0.02
0.063,0.0,0.0,0.018
0.064,0.0,0.0,0.013
0.065,0.0,0.0,0.015
0.066,0.0,0.0,0.018
0.067,0.0,0.0,0.017
0.068,0.0,0.0,0.016
0.069,0.0,0.0,0.021
0.07,0.0,0.0,0.025
0.071,0.0,0.0,0.022
0.072,0.0,0.0,0.021
0.073,0.0,0.0,0.021
0.074,0.0,0.0,0.02
0.075,0.0,0.0,0.021
0.076,0.0,0.0,0.023
0.077,0.0,0.0,0.031
0.078,0.0,0.0,0.038
0.079,0.0,0.0,0.041
0.08,0.0,0.0,0.042
0.081,0.0,0.0,0.047
0.082,0.0,0.0,0.046
0.083,0.0,0.0,0.035
0.084,0.0,0.0,0.025
0.085,0.0,0.0,0.02
0.086,0.0,0.0,0.024
0.087,0.0,0.0,0.032
0.088,0.0,0.0,0.046
0.089,0.0,0.0,0.073
0.09,0.0,0.0,0.101
0.091,0.0,0.0,0.121
0.092,0.0,0.0,0.136
0.093,0.0,0.0,0.12
0.094,0.0,0.0,0.1
0.095,0.0,0.0,0.09
0.096,0.0,0.0,0.081
0.097,0.0,0.0,0.08
0.098,0.0,0.0,0.079
0.099,0.0,0.0,0.076
0.1,0.0,0.0,0.065
0.101,0.0,0.0,0.07
0.102,0.0,0.0,0.071
0.103,0.0,0.0,0.071
0.104,0.0,0.0,0.066
0.105,0.0,0.0,0.069
0.106,0.0,0.0,0.075
0.107,0.0,0.0,0.083
0.108,0.0,0.0,0.089
0.109,0.0,0.0,0.097
0.11,0.0,0.0,0.098
0.111,0.0,0.0,0.094
0.112,0.0,0.0,0.094
0.113,0.0,0.0,0.116
0.114,0.0,0.0,0.139
0.115,0.0,0.0,0.146
0.116,0.0,0.0,0.155
0.117,0.0,0.0,0.176
0.118,0.0,0.0,0.191
0.119,0.0,0.0,0.185
0.12,0.0,0.0,0.182
0.121,0.0,0.0,0.196
0.122,0.0,0.0,0.184
0.123,0.0,0.0,0.15
0.124,0.0,0.0,0.13
0.125,0.0,0.0,0.101
0.126,0.0,0.0,0.076
0.127,0.0,0.0,0.069
0.128,0.0,0.0,0.097
0.129,0.0,0.0,0.115
0.13,0.0,0.0,0.167
0.131,0.0,0.0,0.216
0.132,0.0,0.0,0.289
0.133,0.0,0.0,0.375
0.134,0.0,630.703,0.448
0.135,0.0,630.713,0.509
0.136,0.0,630.613,0.576
0.137,0.0,630.693,0.659
0.138,626.5683406262236,630.78,0.726
0.139,626.5683406262236,630.882,0.768
