time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.205
0.001,0.0,0.0,0.391
0.002,0.0,501.993,0.557
0.003,0.0,501.666,0.613
0.004,0.0,499.919,0.645
0.005,0.0,499.356,0.7
0.006,0.0,498.85,0.695
0.007,0.0,495.891,0.697
0.008,0.0,495.374,0.707
0.009,0.0,495.012,0.707
0.01,0.0,494.548,0.716
0.011,0.0,494.018,0.697
0.012,0.0,493.517,0.68
0.013,0.0,493.111,0.656
0.014,0.0,492.728,0.618
0.015,0.0,492.339,0.561
0.016,0.0,491.119,0.538
0.017,0.0,491.072,0.515
0.018,0.0,490.965,0.465
0.019,0.0,490.794,0.432
0.02,0.0,490.825,0.437
0.021,0.0,490.885,0.41
0.022,0.0,0.0,0.377
0.023,0.0,0.0,0.396
0.024,0.0,0.0,0.395
0.025,0.0,0.0,0.344
0.026,0.0,0.0,0.354
0.027,0.0,0.0,0.376
0.028,0.0,0.0,0.358
0.029,0.0,0.0,0.351
0.03,0.0,0.0,0.37
0.031,0.0,0.0,0.371
0.032,0.0,0.0,0.343
0.033,0.0,0.0,0.334
0.034,0.0,0.0,0.348
0.035,0.0,0.0,0.329
0.036,0.0,0.0,0.3
0.037,0.0,0.0,0.292
0.038,0.0,0.0,0.295
0.039,0.0,0.0,0.294
0.04,0.0,0.0,0.267
0.041,0.0,0.0,0.256
0.042,0.0,0.0,0.259
0.043,0.0,0.0,0.256
0.044,0.0,0.0,0.249
0.045,0.0,0.0,0.239
0.046,0.0,0.0,0.218
0.047,0.0,0.0,0.198
0.048,0.0,0.0,0.189
0.049,0.0,0.0,0.16
0.05,0.0,0.0,0.139
0.051,0.0,0.0,0.136
0.052,0.0,0.0,0.158
0.053,0.0,0.0,0.164
0.054,0.0,0.0,0.173
0.055,0.0,0.0,0.221
0.056,0.0,0.0,0.256
0.057,0.0,0.0,0.249
0.058,0.0,0.0,0.25
0.059,0.0,0.0,0.26
0.06,0.0,0.0,0.24
0.061,0.0,0.0,0.213
0.062,0.0,0.0,0.185
0.063,0.0,0.0,0.18
0.064,0.0,0.0,0.164
0.065,0.0,0.0,0.132
0.066,0.0,0.0,0.116
0.067,0.0,0.0,0.095
0.068,0.0,0.0,0.08
0.069,0.0,0.0,0.079
0.07,0.0,0.0,0.077
0.071,0.0,0.0,0.066
0.072,0.0,0.0,0.054
0.073,0.0,0.0,0.054
0.074,0.0,0.0,0.052
0.075,0.0,0.0,0.041
0.076,0.0,0.0,0.034
0.077,0.0,0.0,0.031
0.078,0.0,0.0,0.032
0.079,0.0,0.0,0.036
0.08,0.0,0.0,0.037
0.081,0.0,0.0,0.039
0.082,0.0,0.0,0.035
0.083,0.0,0.0,0.035
0.084,0.0,0.0,0.039
0.085,0.0,0.0,0.047
0.086,0.0,0.0,0.059
0.087,0.0,0.0,0.067
0.088,0.0,0.0,0.066
0.089,0.0,0.0,0.061
0.09,0.0,0.0,0.052
0.091,0.0,0.0,0.04
0.092,0.0,0.0,0.037
0.093,0.0,0.0,0.037
0.094,0.0,0.0,0.031
0.095,0.0,0.0,0.023
0.096,0.0,0.0,0.02
0.097,0.0,0.0,0.017
0.098,0.0,0.0,0.012
0.099,0.0,0.0,0.01
0.1,0.0,0.0,0.008
0.101,0.0,0.0,0.007
0.102,0.0,0.0,0.009
0.103,0.0,0.0,0.013
0.104,0.0,0.0,0.02
0.105,0.0,0.0,0.024
0.106,0.0,0.0,0.016
0.107,0.0,0.0,0.02
0.108,0.0,0.0,0.019
0.109,0.0,0.0,0.016
0.11,0.0,0.0,0.019
0.111,0.0,0.0,0.018
0.112,0.0,0.0,0.014
0.113,0.0,0.0,0.017
0.114,0.0,0.0,0.028
0.115,0.0,0.0,0.04
0.116,0.0,0.0,0.043
0.117,0.0,0.0,0.031
0.118,0.0,0.0,0.023
0.119,0.0,0.0,0.024
0.12,0.0,0.0,0.03
0.121,0.0,0.0,0.033
0.122,0.0,0.0,0.043
0.123,0.0,0.0,0.049
0.124,0.0,0.0,0.045
