time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.087
0.001,0.0,0.0,0.143
0.002,0.0,0.0,0.159
0.003,0.0,0.0,0.144
0.004,0.0,0.0,0.142
0.005,0.0,0.0,0.138
0.006,0.0,0.0,0.127
0.007,0.0,0.0,0.129
0.008,0.0,0.0,0.118
0.009,0.0,0.0,0.128
0.01,0.0,0.0,0.137
0.011,0.0,0.0,0.144
0.012,0.0,0.0,0.144
0.013,0.0,0.0,0.152
0.014,0.0,0.0,0.157
0.015,0.0,0.0,0.177
0.016,0.0,0.0,0.202
0.017,0.0,0.0,0.21
0.018,0.0,0.0,0.227
0.019,0.0,0.0,0.258
0.02,0.0,0.0,0.258
0.021,0.0,0.0,0.278
0.022,0.0,0.0,0.325
0.023,0.0,0.0,0.372
0.024,0.0,0.0,0.443
0.025,0.0,0.0,0.5
0.026,0.0,0.0,0.496
0.027,0.0,0.0,0.442
0.028,0.0,0.0,0.379
0.029,0.0,0.0,0.309
0.03,0.0,0.0,0.257
0.031,0.0,0.0,0.278
0.032,0.0,0.0,0.327
0.033,0.0,0.0,0.415
0.034,0.0,0.0,0.508
0.035,416.83761962030763,0.0,0.591
0.036,416.83761962030763,0.0,0.677
0.037,416.83761962030763,0.0,0.728
0.038,416.83761962030763,0.0,0.772
0.039,416.83761962030763,417.616,0.802
0.04,416.83761962030763,417.226,0.832
0.041,416.83761962030763,416.807,0.857
0.042,416.83761962030763,416.446,0.866
0.043,416.83761962030763,416.182,0.874
0.044,416.83761962030763,415.886,0.876
0.045,416.83761962030763,415.768,0.885
0.046,416.83761962030763,415.544,0.893
0.047,416.83761962030763,415.398,0.9
0.048,416.83761962030763,415.249,0.908
0.049,416.83761962030763,414.678,0.913
0.05,416.83761962030763,414.593,0.919
0.051,416.83761962030763,414.437,0.921
0.052,416.83761962030763,414.387,0.923
0.053,416.83761962030763,414.292,0.926
0.054,416.83761962030763,414.206,0.922
0.055,416.83761962030763,414.192,0.922
0.056,416.83761962030763,414.09,0.92
0.057,416.83761962030763,414.095,0.922
0.058,416.83761962030763,414.052,0.923
0.059,416.83761962030763,414.073,0.923
0.06,416.83761962030763,414.097,0.924
0.061,416.83761962030763,414.062,0.923
0.062,416.83761962030763,414.155,0.924
0.063,416.83761962030763,414.153,0.923
0.064,416.83761962030763,414.262,0.921
0.065,416.83761962030763,414.313,0.923
0.066,416.83761962030763,414.356,0.921
0.067,416.83761962030763,414.44,0.921
0.068,416.83761962030763,414.424,0.916
0.069,416.83761962030763,414.511,0.914
0.07,416.83761962030763,414.486,0.913
0.071,416.83761962030763,414.482,0.912
0.072,416.83761962030763,414.517,0.914
0.073,416.83761962030763,414.448,0.912
0.074,416.83761962030763,414.477,0.915
0.075,416.83761962030763,414.404,0.916
0.076,416.83761962030763,414.411,0.917
0.077,416.83761962030763,414.382,0.92
0.078,416.83761962030763,414.304,0.92
0.079,416.83761962030763,414.342,0.923
0.08,416.83761962030763,414.258,0.923
0.081,416.83761962030763,414.278,0.925
0.082,416.83761962030763,414.231,0.929
0.083,416.83761962030763,414.212,0.929
0.084,416.83761962030763,414.238,0.931
0.085,416.83761962030763,414.172,0.929
0.086,416.83761962030763,414.233,0.931
0.087,416.83761962030763,414.191,0.93
0.088,416.83761962030763,414.207,0.929
0.089,416.83761962030763,414.238,0.93
0.09,416.83761962030763,414.211,0.928
0.091,416.83761962030763,414.277,0.927
0.092,416.83761962030763,414.23,0.925
0.093,416.83761962030763,414.299,0.926
0.094,416.83761962030763,414.304,0.927
0.095,416.83761962030763,414.296,0.925
0.096,416.83761962030763,414.358,0.927
0.097,416.83761962030763,414.316,0.927
0.098,416.83761962030763,414.375,0.927
0.099,416.83761962030763,414.314,0.927
0.1,416.83761962030763,414.335,0.927
0.101,416.83761962030763,414.379,0.929
0.102,416.83761962030763,414.33,0.926
0.103,416.83761962030763,414.391,0.926
0.104,416.83761962030763,414.354,0.925
0.105,416.83761962030763,414.418,0.924
0.106,416.83761962030763,414.412,0.926
0.107,416.83761962030763,414.398,0.925
0.108,416.83761962030763,414.484,0.926
0.109,416.83761962030763,414.457,0.923
0.11,416.83761962030763,414.536,0.923
0.111,416.83761962030763,414.517,0.924
0.112,416.83761962030763,414.553,0.922
0.113,416.83761962030763,414.595,0.923
0.114,416.83761962030763,414.547,0.922
0.115,416.83761962030763,414.625,0.923
0.116,416.83761962030763,414.588,0.922
0.117,416.83761962030763,414.631,0.921
0.118,416.83761962030763,414.641,0.924
0.119,416.83761962030763,414.622,0.922
0.12,416.83761962030763,414.68,0.922
0.121,416.83761962030763,414.599,0.921
0.122,416.83761962030763,414.644,0.922
0.123,416.83761962030763,414.604,0.923
0.124,416.83761962030763,414.584,0.921
0.125,416.83761962030763,414.613,0.922
0.126,416.83761962030763,414.54,0.92
0.127,416.83761962030763,414.588,0.92
0.128,416.83761962030763,414.49,0.919
0.129,416.83761962030763,414.477,0.918
0.13,416.83761962030763,414.452,0.919
0.131,416.83761962030763,414.341,0.918
0.132,416.83761962030763,414.326,0.921
0.133,416.83761962030763,414.172,0.921
0.134,416.83761962030763,414.122,0.922
0.135,416.83761962030763,413.973,0.925
0.136,416.83761962030763,413.819,0.925
0.137,416.83761962030763,413.753,0.926
0.138,416.83761962030763,413.551,0.925
0.139,416.83761962030763,413.472,0.927
0.14,416.83761962030763,413.294,0.929
0.141,416.83761962030763,413.187,0.928
0.142,416.83761962030763,413.092,0.93
0.143,416.83761962030763,412.914,0.931
0.144,416.83761962030763,412.877,0.933
0.145,416.83761962030763,412.734,0.933
0.146,416.83761962030763,412.69,0.934
0.147,416.83761962030763,412.611,0.936
0.148,416.83761962030763,412.527,0.936
0.149,416.83761962030763,412.518,0.937
0.15,416.83761962030763,412.41,0.938
0.151,416.83761962030763,412.419,0.938
0.152,416.83761962030763,412.359,0.937
0.153,416.83761962030763,412.328,0.935
0.154,416.83761962030763,412.354,0.935
0.155,416.83761962030763,412.308,0.933
0.156,416.83761962030763,412.364,0.934
0.157,416.83761962030763,412.313,0.934
0.158,416.83761962030763,412.355,0.933
0.159,416.83761962030763,412.392,0.934
0.16,416.83761962030763,412.387,0.932
0.161,416.83761962030763,412.48,0.933
0.162,416.83761962030763,412.468,0.93
0.163,416.83761962030763,412.563,0.93
0.164,416.83761962030763,412.57,0.93
0.165,416.83761962030763,412.59,0.929
0.166,416.83761962030763,412.678,0.929
0.167,416.83761962030763,412.642,0.928
0.168,416.83761962030763,412.7,0.928
0.169,416.83761962030763,412.643,0.927
0.17,416.83761962030763,412.642,0.926
0.171,416.83761962030763,412.644,0.927
0.172,416.83761962030763,412.556,0.926
0.173,416.83761962030763,412.577,0.927
0.174,416.83761962030763,412.485,0.927
0.175,416.83761962030763,412.486,0.927
0.176,416.83761962030763,412.446,0.928
0.177,416.83761962030763,412.388,0.927
0.178,416.83761962030763,412.42,0.928
0.179,416.83761962030763,412.354,0.927
0.18,416.83761962030763,412.406,0.928
0.181,416.83761962030763,412.377,0.93
0.182,416.83761962030763,412.385,0.931
0.183,416.83761962030763,412.448,0.932
0.184,416.83761962030763,412.463,0.931
0.185,416.83761962030763,412.574,0.933
0.186,416.83761962030763,412.601,0.932
0.187,416.83761962030763,412.717,0.931
0.188,416.83761962030763,412.84,0.932
0.189,416.83761962030763,412.932,0.93
0.19,416.83761962030763,413.134,0.928
0.191,416.83761962030763,413.259,0.924
0.192,416.83761962030763,413.488,0.922
0.193,416.83761962030763,413.636,0.921
0.194,416.83761962030763,413.81,0.919
0.195,416.83761962030763,414.05,0.917
0.196,416.83761962030763,414.184,0.914
0.197,416.83761962030763,414.411,0.914
0.198,416.83761962030763,414.535,0.91
0.199,416.83761962030763,415.034,0.907
0.2,416.83761962030763,415.197,0.912
0.201,416.83761962030763,415.279,0.911
0.202,416.83761962030763,415.441,0.912
0.203,416.83761962030763,415.477,0.913
0.204,416.83761962030763,415.586,0.912
0.205,416.83761962030763,415.608,0.916
0.206,416.83761962030763,415.598,0.915
0.207,416.83761962030763,415.64,0.918
0.208,416.83761962030763,415.568,0.917
