time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.123
0.001,0.0,0.0,0.195
0.002,0.0,0.0,0.281
0.003,0.0,461.886,0.335
0.004,0.0,462.136,0.383
0.005,0.0,462.13,0.391
0.006,0.0,461.711,0.412
0.007,0.0,462.302,0.413
0.008,0.0,462.709,0.457
0.009,0.0,462.862,0.462
0.01,0.0,462.846,0.429
0.011,0.0,463.011,0.448
0.012,0.0,463.291,0.458
0.013,0.0,463.353,0.455
0.014,0.0,463.061,0.417
0.015,0.0,462.778,0.395
0.016,0.0,462.692,0.347
0.017,0.0,462.253,0.308
0.018,0.0,0.0,0.296
0.019,0.0,0.0,0.28
0.02,0.0,0.0,0.266
0.021,0.0,0.0,0.229
0.022,0.0,0.0,0.269
0.023,0.0,456.26,0.306
0.024,0.0,455.748,0.338
0.025,0.0,455.039,0.386
0.026,0.0,454.551,0.418
0.027,0.0,454.179,0.438
0.028,0.0,454.052,0.471
0.029,0.0,453.778,0.529
0.03,0.0,453.679,0.563
0.031,0.0,453.769,0.574
0.032,0.0,453.769,0.536
0.033,0.0,453.724,0.481
0.034,0.0,453.811,0.389
0.035,0.0,0.0,0.292
0.036,0.0,0.0,0.219
0.037,0.0,0.0,0.183
0.038,0.0,0.0,0.134
0.039,0.0,0.0,0.113
0.04,0.0,0.0,0.096
0.041,0.0,0.0,0.078
0.042,0.0,0.0,0.069
0.043,0.0,0.0,0.061
0.044,0.0,0.0,0.055
0.045,0.0,0.0,0.055
0.046,0.0,0.0,0.061
0.047,0.0,0.0,0.063
0.048,0.0,0.0,0.06
0.049,0.0,0.0,0.057
0.05,0.0,0.0,0.064
0.051,0.0,0.0,0.069
0.052,0.0,0.0,0.071
0.053,0.0,0.0,0.081
0.054,0.0,0.0,0.093
0.055,0.0,0.0,0.097
0.056,0.0,0.0,0.098
0.057,0.0,0.0,0.113
0.058,0.0,0.0,0.119
0.059,0.0,0.0,0.133
0.06,0.0,0.0,0.157
0.061,0.0,0.0,0.171
0.062,0.0,0.0,0.18
0.063,0.0,0.0,0.169
0.064,0.0,0.0,0.128
0.065,0.0,0.0,0.106
0.066,0.0,0.0,0.086
0.067,0.0,0.0,0.06
0.068,0.0,0.0,0.039
0.069,0.0,0.0,0.027
0.07,0.0,0.0,0.019
0.071,0.0,0.0,0.013
0.072,0.0,0.0,0.014
0.073,0.0,0.0,0.014
0.074,0.0,0.0,0.014
0.075,0.0,0.0,0.013
0.076,0.0,0.0,0.012
0.077,0.0,0.0,0.01
0.078,0.0,0.0,0.011
0.079,0.0,0.0,0.011
0.08,0.0,0.0,0.011
0.081,0.0,0.0,0.012
0.082,0.0,0.0,0.012
0.083,0.0,0.0,0.011
0.084,0.0,0.0,0.011
0.085,0.0,0.0,0.01
0.086,0.0,0.0,0.009
0.087,0.0,0.0,0.008
0.088,0.0,0.0,0.008
0.089,0.0,0.0,0.012
0.09,0.0,0.0,0.017
0.091,0.0,0.0,0.021
0.092,0.0,0.0,0.024
0.093,0.0,0.0,0.029
0.094,0.0,0.0,0.04
0.095,0.0,0.0,0.051
0.096,0.0,0.0,0.05
0.097,0.0,0.0,0.042
0.098,0.0,0.0,0.034
0.099,0.0,0.0,0.028
0.1,0.0,0.0,0.023
0.101,0.0,0.0,0.02
0.102,0.0,0.0,0.018
0.103,0.0,0.0,0.016
0.104,0.0,0.0,0.015
0.105,0.0,0.0,0.013
0.106,0.0,0.0,0.009
0.107,0.0,0.0,0.008
0.108,0.0,0.0,0.008
