time,ref_freq,est_freq,confidence
0.0,1178.0892723333602,58.766,0.038
0.001,1178.0892723333602,58.8,0.036
0.002,1178.0892723333602,58.796,0.03
0.003,1178.0892723333602,58.749,0.029
0.004,1178.0892723333602,58.74,0.031
0.005,1178.0892723333602,58.753,0.03
0.006,1178.0892723333602,58.973,0.026
0.007,1178.0892723333602,58.933,0.026
0.008,1178.0892723333602,58.944,0.026
0.009,1178.0892723333602,58.716,0.023
0.01,1178.0892723333602,58.648,0.021
0.011,1178.0892723333602,58.86,0.021
0.012,1178.0892723333602,58.639,0.021
0.013,1178.0892723333602,58.639,0.021
0.014,1178.0892723333602,58.828,0.019
0.015,1178.0892723333602,58.809,0.018
0.016,1178.0892723333602,58.586,0.018
0.017,1178.0892723333602,58.612,0.019
0.018,1178.0892723333602,73.87,0.025
0.019,1178.0892723333602,73.503,0.026
0.02,1178.0892723333602,73.547,0.035
0.021,1178.0892723333602,73.564,0.047
0.022,1178.0892723333602,73.567,0.053
0.023,1178.0892723333602,73.592,0.052
0.024,1178.0892723333602,73.604,0.055
0.025,1178.0892723333602,73.588,0.062
0.026,1178.0892723333602,73.584,0.07
0.027,1178.0892723333602,73.598,0.07
0.028,1178.0892723333602,73.61,0.068
0.029,1178.0892723333602,73.604,0.069
0.03,1178.0892723333602,73.595,0.071
0.031,1178.0892723333602,73.586,0.069
0.032,1178.0892723333602,73.588,0.064
0.033,1178.0892723333602,73.597,0.061
0.034,1178.0892723333602,73.594,0.059
0.035,1178.0892723333602,73.585,0.058
0.036,1178.0892723333602,73.584,0.057
0.037,1178.0892723333602,73.586,0.053
0.038,1178.0892723333602,73.819,0.05
0.039,1178.0892723333602,73.329,0.048
0.04,1178.0892723333602,73.323,0.046
0.041,1178.0892723333602,73.322,0.044
0.042,1178.0892723333602,73.321,0.041
0.043,1178.0892723333602,73.315,0.039
0.044,1178.0892723333602,73.307,0.037
0.045,1178.0892723333602,73.301,0.036
0.046,1178.0892723333602,73.301,0.033
0.047,1178.0892723333602,73.297,0.029
0.048,1178.0892723333602,73.291,0.028
0.049,1178.0892723333602,73.292,0.027
0.05,1178.0892723333602,73.295,0.025
0.051,1178.0892723333602,73.29,0.023
0.052,1178.0892723333602,73.288,0.023
0.053,1178.0892723333602,73.29,0.022
0.054,1178.0892723333602,73.289,0.022
0.055,1178.0892723333602,73.281,0.021
0.056,1178.0892723333602,73.276,0.021
0.057,1178.0892723333602,73.274,0.021
0.058,1178.0892723333602,73.273,0.021
0.059,1178.0892723333602,73.27,0.021
0.06,1178.0892723333602,73.264,0.021
0.061,1178.0892723333602,73.265,0.021
0.062,1178.0892723333602,73.269,0.021
0.063,1178.0892723333602,73.273,0.021
0.064,1178.0892723333602,73.274,0.021
0.065,1178.0892723333602,73.278,0.021
0.066,1178.0892723333602,73.283,0.021
0.067,1178.0892723333602,73.291,0.021
0.068,1178.0892723333602,73.303,0.021
0.069,1178.0892723333602,73.312,0.021
0.07,1178.0892723333602,73.319,0.02
0.071,1178.0892723333602,73.332,0.02
0.072,1178.0892723333602,73.724,0.02
0.073,1178.0892723333602,73.732,0.02
0.074,1178.0892723333602,73.74,0.02
0.075,1178.0892723333602,73.75,0.019
0.076,1178.0892723333602,73.761,0.018
0.077,1178.0892723333602,73.772,0.017
0.078,1178.0892723333602,73.78,0.017
0.079,1178.0892723333602,73.789,0.016
0.08,1178.0892723333602,73.796,0.015
0.081,1178.0892723333602,73.799,0.015
0.082,1178.0892723333602,73.8,0.014
0.083,1178.0892723333602,73.802,0.014
0.084,1178.0892723333602,73.802,0.014
0.085,1178.0892723333602,73.441,0.013
0.086,1178.0892723333602,73.439,0.013
0.087,1178.0892723333602,73.432,0.013
0.088,1178.0892723333602,73.427,0.013
0.089,1178.0892723333602,73.428,0.013
0.09,1178.0892723333602,73.423,0.013
0.091,1178.0892723333602,73.41,0.013
0.092,1178.0892723333602,73.4,0.014
0.093,1178.0892723333602,73.398,0.013
0.094,1178.0892723333602,73.394,0.013
0.095,1178.0892723333602,73.385,0.013
0.096,1178.0892723333602,73.376,0.013
0.097,1178.0892723333602,73.372,0.012
0.098,1178.0892723333602,73.371,0.012
0.099,1178.0892723333602,73.366,0.012
0.1,1178.0892723333602,73.362,0.011
0.101,1178.0892723333602,73.361,0.011
0.102,1178.0892723333602,73.359,0.01
0.103,1178.0892723333602,73.36,0.01
0.104,1178.0892723333602,73.363,0.01
0.105,1178.0892723333602,73.366,0.009
0.106,1178.0892723333602,73.369,0.009
0.107,1178.0892723333602,73.374,0.009
0.108,1178.0892723333602,84.789,0.009
0.109,1178.0892723333602,84.782,0.009
0.11,1178.0892723333602,84.781,0.009
0.111,1178.0892723333602,84.776,0.009
0.112,1178.0892723333602,84.771,0.009
0.113,1178.0892723333602,84.764,0.009
0.114,1178.0892723333602,84.748,0.009
0.115,1178.0892723333602,84.742,0.009
0.116,1178.0892723333602,84.739,0.009
0.117,1178.0892723333602,84.729,0.01
0.118,1178.0892723333602,84.715,0.01
0.119,1178.0892723333602,84.705,0.01
0.12,1178.0892723333602,84.702,0.01
0.121,1178.0892723333602,84.7,0.01
0.122,1178.0892723333602,84.69,0.011
0.123,1178.0892723333602,84.678,0.011
0.124,1178.0892723333602,84.675,0.01
0.125,1178.0892723333602,84.671,0.011
0.126,1178.0892723333602,84.665,0.011
0.127,1178.0892723333602,84.655,0.011
0.128,1178.0892723333602,84.646,0.011
0.129,1178.0892723333602,84.642,0.011
0.13,1178.0892723333602,84.641,0.011
0.131,1178.0892723333602,84.64,0.011
0.132,1178.0892723333602,84.635,0.011
0.133,1178.0892723333602,84.63,0.011
0.134,1178.0892723333602,84.628,0.012
0.135,1178.0892723333602,84.63,0.012
0.136,1178.0892723333602,84.634,0.012
0.137,1178.0892723333602,84.632,0.012
0.138,1178.0892723333602,84.633,0.012
0.139,1178.0892723333602,84.642,0.012
0.14,1178.0892723333602,84.651,0.012
0.141,1178.0892723333602,84.658,0.012
0.142,1178.0892723333602,84.666,0.013
0.143,1178.0892723333602,84.675,0.013
0.144,1178.0892723333602,84.689,0.013
0.145,1178.0892723333602,84.707,0.013
0.146,1178.0892723333602,84.72,0.013
0.147,1178.0892723333602,84.724,0.013
0.148,1178.0892723333602,84.735,0.013
0.149,1178.0892723333602,84.754,0.013
0.15,1178.0892723333602,84.762,0.013
0.151,1178.0892723333602,84.76,0.013
0.152,1178.0892723333602,84.758,0.013
0.153,1178.0892723333602,84.765,0.013
0.154,1178.0892723333602,84.769,0.013
0.155,1178.0892723333602,84.756,0.013
0.156,1178.0892723333602,84.737,0.014
0.157,1178.0892723333602,84.726,0.014
0.158,1178.0892723333602,84.719,0.014
0.159,1178.0892723333602,84.702,0.014
0.16,1178.0892723333602,84.673,0.014
0.161,1178.0892723333602,84.649,0.014
0.162,1178.0892723333602,84.633,0.014
0.163,1178.0892723333602,84.612,0.014
0.164,1178.0892723333602,84.584,0.014
0.165,1178.0892723333602,84.557,0.015
0.166,1178.0892723333602,84.534,0.014
0.167,1178.0892723333602,84.515,0.014
0.168,1178.0892723333602,84.49,0.014
0.169,1178.0892723333602,84.462,0.014
0.17,1178.0892723333602,84.441,0.014
0.171,1178.0892723333602,84.427,0.013
0.172,1178.0892723333602,84.409,0.013
0.173,1178.0892723333602,84.383,0.013
0.174,1178.0892723333602,84.365,0.012
0.175,1178.0892723333602,73.714,0.011
0.176,1178.0892723333602,73.715,0.011
0.177,1178.0892723333602,73.706,0.011
0.178,1178.0892723333602,73.703,0.012
0.179,1178.0892723333602,73.705,0.012
0.18,1178.0892723333602,73.703,0.012
0.181,1178.0892723333602,73.696,0.012
0.182,1178.0892723333602,73.694,0.012
0.183,1178.0892723333602,73.695,0.012
0.184,1178.0892723333602,73.692,0.012
0.185,1178.0892723333602,73.687,0.012
0.186,1178.0892723333602,73.688,0.012
0.187,1178.0892723333602,73.688,0.013
0.188,1178.0892723333602,73.686,0.013
0.189,1178.0892723333602,73.684,0.013
0.19,1178.0892723333602,73.685,0.013
0.191,1178.0892723333602,73.684,0.014
0.192,1178.0892723333602,73.682,0.014
0.193,1178.0892723333602,73.684,0.014
0.194,1178.0892723333602,73.686,0.014
0.195,1178.0892723333602,73.684,0.015
0.196,1178.0892723333602,73.682,0.015
0.197,1178.0892723333602,73.685,0.016
0.198,1178.0892723333602,73.685,0.016
0.199,1178.0892723333602,73.678,0.017
0.2,1178.0892723333602,73.676,0.017
0.201,1178.0892723333602,73.681,0.018
0.202,1178.0892723333602,73.682,0.018
0.203,1178.0892723333602,73.674,0.019
0.204,990.6507488863691,73.673,0.02
0.205,990.6507488863691,73.68,0.02
0.206,990.6507488863691,73.68,0.021
0.207,990.6507488863691,73.672,0.022
0.208,990.6507488863691,73.667,0.022
0.209,990.6507488863691,73.668,0.023
0.21,990.6507488863691,73.669,0.022
0.211,990.6507488863691,73.663,0.023
0.212,990.6507488863691,73.653,0.024
0.213,990.6507488863691,73.648,0.024
0.214,990.6507488863691,73.646,0.024
0.215,990.6507488863691,73.636,0.024
0.216,990.6507488863691,73.625,0.024
0.217,990.6507488863691,73.617,0.025
0.218,990.6507488863691,73.606,0.024
0.219,990.6507488863691,73.586,0.023
0.22,990.6507488863691,73.574,0.024
0.221,990.6507488863691,73.572,0.024
0.222,990.6507488863691,73.556,0.024
0.223,990.6507488863691,73.529,0.023
0.224,990.6507488863691,73.519,0.023
0.225,990.6507488863691,73.522,0.023
0.226,990.6507488863691,73.506,0.022
0.227,990.6507488863691,73.271,0.022
0.228,990.6507488863691,73.262,0.021
0.229,990.6507488863691,73.475,0.021
0.23,990.6507488863691,73.263,0.021
0.231,990.6507488863691,73.245,0.021
0.232,990.6507488863691,73.24,0.02
0.233,990.6507488863691,73.246,0.02
0.234,990.6507488863691,73.246,0.02
0.235,990.6507488863691,73.243,0.02
0.236,990.6507488863691,73.246,0.02
0.237,990.6507488863691,73.245,0.02
0.238,990.6507488863691,73.243,0.021
0.239,990.6507488863691,73.25,0.021
0.24,990.6507488863691,73.262,0.022
0.241,990.6507488863691,73.266,0.022
0.242,990.6507488863691,73.264,0.022
0.243,990.6507488863691,73.272,0.022
0.244,990.6507488863691,73.29,0.022
0.245,990.6507488863691,73.301,0.023
0.246,990.6507488863691,73.303,0.023
0.247,990.6507488863691,73.308,0.022
0.248,990.6507488863691,73.329,0.022
0.249,990.6507488863691,73.54,0.023
0.25,990.6507488863691,73.542,0.024
0.251,990.6507488863691,73.553,0.023
0.252,990.6507488863691,73.576,0.022
0.253,990.6507488863691,73.589,0.023
0.254,990.6507488863691,73.592,0.024
0.255,990.6507488863691,73.601,0.025
0.256,990.6507488863691,73.618,0.024
0.257,990.6507488863691,73.63,0.023
0.258,990.6507488863691,73.633,0.024
0.259,990.6507488863691,73.636,0.024
0.26,990.6507488863691,73.644,0.024
0.261,990.6507488863691,73.653,0.023
0.262,990.6507488863691,73.654,0.022
0.263,990.6507488863691,73.652,0.022
0.264,990.6507488863691,73.652,0.023
0.265,990.6507488863691,73.657,0.022
