time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.037
0.001,0.0,0.0,0.036
0.002,0.0,0.0,0.034
0.003,0.0,0.0,0.032
0.004,0.0,0.0,0.029
0.005,0.0,0.0,0.027
0.006,0.0,0.0,0.027
0.007,0.0,0.0,0.026
0.008,0.0,0.0,0.025
0.009,0.0,0.0,0.024
0.01,0.0,0.0,0.025
0.011,0.0,0.0,0.024
0.012,0.0,0.0,0.022
0.013,0.0,0.0,0.02
0.014,0.0,0.0,0.019
0.015,0.0,0.0,0.02
0.016,0.0,0.0,0.021
0.017,0.0,0.0,0.022
0.018,0.0,0.0,0.022
0.019,0.0,0.0,0.022
0.02,0.0,0.0,0.023
0.021,0.0,0.0,0.023
0.022,0.0,0.0,0.024
0.023,0.0,0.0,0.024
0.024,0.0,0.0,0.024
0.025,0.0,0.0,0.026
0.026,0.0,0.0,0.029
0.027,0.0,0.0,0.03
0.028,0.0,0.0,0.029
0.029,0.0,0.0,0.026
0.03,0.0,0.0,0.027
0.031,0.0,0.0,0.028
0.032,0.0,0.0,0.026
0.033,0.0,0.0,0.023
0.034,0.0,0.0,0.023
0.035,0.0,0.0,0.028
0.036,0.0,0.0,0.03
0.037,0.0,0.0,0.028
0.038,0.0,0.0,0.027
0.039,0.0,0.0,0.028
0.04,0.0,0.0,0.032
0.041,0.0,0.0,0.034
0.042,0.0,0.0,0.035
0.043,0.0,0.0,0.035
0.044,0.0,0.0,0.039
0.045,0.0,0.0,0.043
0.046,0.0,0.0,0.043
0.047,0.0,0.0,0.036
0.048,0.0,0.0,0.035
0.049,0.0,0.0,0.036
0.05,0.0,0.0,0.038
0.051,0.0,0.0,0.04
0.052,0.0,0.0,0.04
0.053,0.0,0.0,0.037
0.054,0.0,0.0,0.036
0.055,0.0,0.0,0.038
0.056,0.0,0.0,0.039
0.057,0.0,0.0,0.037
0.058,0.0,0.0,0.033
0.059,0.0,0.0,0.032
0.06,0.0,0.0,0.033
0.061,0.0,0.0,0.033
0.062,0.0,0.0,0.032
0.063,0.0,0.0,0.031
0.064,0.0,0.0,0.03
0.065,0.0,0.0,0.031
0.066,0.0,0.0,0.03
0.067,0.0,0.0,0.029
0.068,0.0,0.0,0.027
0.069,0.0,0.0,0.028
0.07,0.0,0.0,0.029
0.071,0.0,0.0,0.028
0.072,0.0,0.0,0.028
0.073,0.0,0.0,0.029
0.074,0.0,0.0,0.031
0.075,0.0,0.0,0.031
0.076,0.0,0.0,0.03
0.077,0.0,0.0,0.029
0.078,0.0,0.0,0.029
0.079,0.0,0.0,0.031
0.08,0.0,0.0,0.031
0.081,0.0,0.0,0.03
0.082,0.0,0.0,0.031
0.083,0.0,0.0,0.033
0.084,0.0,0.0,0.034
0.085,0.0,0.0,0.032
0.086,0.0,0.0,0.029
0.087,0.0,0.0,0.029
0.088,0.0,0.0,0.028
0.089,0.0,0.0,0.028
0.09,0.0,0.0,0.028
0.091,0.0,0.0,0.029
0.092,0.0,0.0,0.029
0.093,0.0,0.0,0.029
0.094,0.0,0.0,0.029
0.095,0.0,0.0,0.029
0.096,0.0,0.0,0.03
0.097,0.0,0.0,0.029
0.098,0.0,0.0,0.027
0.099,0.0,0.0,0.028
0.1,0.0,0.0,0.03
0.101,0.0,0.0,0.028
0.102,0.0,0.0,0.026
0.103,0.0,0.0,0.027
0.104,0.0,0.0,0.028
0.105,0.0,0.0,0.028
0.106,0.0,0.0,0.027
0.107,0.0,0.0,0.027
0.108,0.0,0.0,0.028
0.109,0.0,0.0,0.028
0.11,0.0,0.0,0.026
0.111,0.0,0.0,0.026
0.112,0.0,0.0,0.025
0.113,0.0,0.0,0.024
0.114,0.0,0.0,0.024
0.115,0.0,0.0,0.024
0.116,0.0,0.0,0.024
0.117,0.0,0.0,0.025
0.118,0.0,0.0,0.023
0.119,0.0,0.0,0.023
0.12,0.0,0.0,0.024
0.121,0.0,0.0,0.023
0.122,0.0,0.0,0.021
0.123,0.0,0.0,0.021
0.124,661.07165406752,0.0,0.021
0.125,661.07165406752,0.0,0.02
0.126,661.07165406752,0.0,0.02
0.127,661.07165406752,0.0,0.019
0.128,661.07165406752,0.0,0.018
0.129,661.07165406752,0.0,0.019
0.13,661.07165406752,0.0,0.018
0.131,661.07165406752,0.0,0.017
0.132,661.07165406752,0.0,0.016
0.133,661.07165406752,0.0,0.016
0.134,661.07165406752,0.0,0.015
0.135,661.07165406752,0.0,0.016
0.136,661.07165406752,0.0,0.017
0.137,661.07165406752,0.0,0.019
0.138,661.07165406752,0.0,0.019
0.139,661.07165406752,0.0,0.019
0.14,661.07165406752,0.0,0.019
0.141,661.07165406752,0.0,0.019
0.142,661.07165406752,0.0,0.017
0.143,661.07165406752,0.0,0.016
0.144,661.07165406752,0.0,0.015
0.145,661.07165406752,0.0,0.013
0.146,661.07165406752,0.0,0.012
0.147,661.07165406752,0.0,0.011
0.148,661.07165406752,0.0,0.009
0.149,661.07165406752,0.0,0.008
0.15,661.07165406752,0.0,0.007
0.151,661.07165406752,0.0,0.007
0.152,661.07165406752,0.0,0.006
0.153,661.07165406752,0.0,0.006
0.154,661.07165406752,0.0,0.006
0.155,661.07165406752,0.0,0.005
0.156,661.07165406752,0.0,0.005
0.157,661.07165406752,0.0,0.005
0.158,661.07165406752,0.0,0.005
0.159,661.07165406752,0.0,0.005
0.16,661.07165406752,0.0,0.004
0.161,661.07165406752,0.0,0.005
0.162,661.07165406752,0.0,0.005
0.163,661.07165406752,0.0,0.005
0.164,661.07165406752,0.0,0.005
0.165,661.07165406752,0.0,0.005
0.166,661.07165406752,0.0,0.005
0.167,661.07165406752,0.0,0.005
0.168,661.07165406752,0.0,0.004
0.169,661.07165406752,0.0,0.004
0.17,661.07165406752,0.0,0.004
0.171,661.07165406752,0.0,0.004
0.172,661.07165406752,0.0,0.004
0.173,661.07165406752,0.0,0.004
0.174,661.07165406752,0.0,0.004
0.175,661.07165406752,0.0,0.004
0.176,661.07165406752,0.0,0.004
0.177,661.07165406752,0.0,0.003
0.178,661.07165406752,0.0,0.004
0.179,661.07165406752,0.0,0.003
0.18,661.07165406752,0.0,0.003
0.181,661.07165406752,0.0,0.003
0.182,661.07165406752,0.0,0.003
0.183,661.07165406752,0.0,0.003
0.184,661.07165406752,0.0,0.003
0.185,661.07165406752,0.0,0.003
0.186,661.07165406752,0.0,0.002
0.187,661.07165406752,0.0,0.002
0.188,661.07165406752,0.0,0.002
0.189,661.07165406752,0.0,0.002
0.19,661.07165406752,0.0,0.002
0.191,661.07165406752,0.0,0.002
0.192,661.07165406752,0.0,0.002
0.193,661.07165406752,0.0,0.002
0.194,661.07165406752,0.0,0.002
0.195,661.07165406752,0.0,0.001
0.196,661.07165406752,0.0,0.001
0.197,661.07165406752,0.0,0.001
0.198,661.07165406752,0.0,0.001
0.199,661.07165406752,0.0,0.001
0.2,661.07165406752,0.0,0.001
0.201,661.07165406752,0.0,0.001
0.202,661.07165406752,0.0,0.001
0.203,661.07165406752,0.0,0.001
0.204,661.07165406752,0.0,0.001
0.205,661.07165406752,0.0,0.001
0.206,661.07165406752,0.0,0.001
0.207,661.07165406752,0.0,0.001
0.208,661.07165406752,0.0,0.001
0.209,661.07165406752,0.0,0.001
0.21,661.07165406752,0.0,0.001
0.211,661.07165406752,0.0,0.001
0.212,661.07165406752,0.0,0.001
0.213,661.07165406752,0.0,0.001
0.214,661.07165406752,0.0,0.001
0.215,661.07165406752,0.0,0.002
0.216,661.07165406752,0.0,0.002
0.217,661.07165406752,0.0,0.002
0.218,661.07165406752,0.0,0.002
0.219,661.07165406752,0.0,0.002
0.22,661.07165406752,0.0,0.002
0.221,661.07165406752,0.0,0.002
0.222,661.07165406752,0.0,0.002
0.223,661.07165406752,0.0,0.002
0.224,661.07165406752,0.0,0.002
0.225,661.07165406752,0.0,0.001
0.226,661.07165406752,0.0,0.001
0.227,661.07165406752,0.0,0.001
0.228,661.07165406752,0.0,0.001
0.229,661.07165406752,0.0,0.001
0.23,661.07165406752,0.0,0.001
0.231,661.07165406752,0.0,0.001
0.232,661.07165406752,0.0,0.001
0.233,661.07165406752,0.0,0.001
0.234,661.07165406752,0.0,0.001
0.235,661.07165406752,0.0,0.001
0.236,661.07165406752,0.0,0.001
0.237,661.07165406752,0.0,0.001
0.238,661.07165406752,0.0,0.001
0.239,661.07165406752,0.0,0.001
0.24,661.07165406752,0.0,0.001
0.241,661.07165406752,0.0,0.001
0.242,661.07165406752,0.0,0.001
0.243,661.07165406752,0.0,0.001
0.244,661.07165406752,0.0,0.001
0.245,661.07165406752,0.0,0.001
0.246,661.07165406752,0.0,0.001
0.247,661.07165406752,0.0,0.001
0.248,661.07165406752,0.0,0.001
0.249,661.07165406752,0.0,0.001
0.25,661.07165406752,0.0,0.002
0.251,661.07165406752,0.0,0.002
0.252,661.07165406752,0.0,0.002
0.253,661.07165406752,0.0,0.002
0.254,661.07165406752,0.0,0.002
0.255,661.07165406752,0.0,0.002
0.256,661.07165406752,0.0,0.002
0.257,661.07165406752,0.0,0.002
0.258,661.07165406752,0.0,0.002
0.259,661.07165406752,0.0,0.002
0.26,661.07165406752,0.0,0.001
0.261,661.07165406752,0.0,0.001
0.262,661.07165406752,0.0,0.001
0.263,661.07165406752,0.0,0.001
0.264,661.07165406752,0.0,0.001
0.265,661.07165406752,0.0,0.001
0.266,661.07165406752,0.0,0.001
0.267,661.07165406752,0.0,0.001
0.268,661.07165406752,0.0,0.001
0.269,661.07165406752,0.0,0.001
0.27,661.07165406752,0.0,0.001
0.271,661.07165406752,0.0,0.001
0.272,661.07165406752,0.0,0.001
0.273,661.07165406752,0.0,0.001
0.274,661.07165406752,0.0,0.001
0.275,661.07165406752,0.0,0.0
0.276,661.07165406752,0.0,0.0
0.277,661.07165406752,0.0,0.0
0.278,661.07165406752,0.0,0.0
0.279,661.07165406752,0.0,0.0
0.28,661.07165406752,0.0,0.0
0.281,661.07165406752,0.0,0.0
0.282,661.07165406752,0.0,0.0
0.283,661.07165406752,0.0,0.0
0.284,661.07165406752,0.0,0.0
0.285,661.07165406752,0.0,0.0
0.286,661.07165406752,0.0,0.0
0.287,661.07165406752,0.0,0.0
0.288,661.07165406752,0.0,0.001
0.289,661.07165406752,0.0,0.001
0.29,661.07165406752,0.0,0.001
0.291,661.07165406752,0.0,0.001
0.292,661.07165406752,0.0,0.001
0.293,661.07165406752,0.0,0.001
0.294,661.07165406752,0.0,0.001
0.295,661.07165406752,0.0,0.001
0.296,661.07165406752,0.0,0.001
0.297,661.07165406752,0.0,0.001
0.298,661.07165406752,0.0,0.001
0.299,661.07165406752,0.0,0.001
0.3,661.07165406752,0.0,0.001
0.301,661.07165406752,0.0,0.001
0.302,661.07165406752,0.0,0.001
0.303,661.07165406752,0.0,0.001
0.304,661.07165406752,0.0,0.001
0.305,661.07165406752,0.0,0.001
0.306,661.07165406752,0.0,0.0
0.307,661.07165406752,0.0,0.0
0.308,661.07165406752,0.0,0.0
0.309,661.07165406752,0.0,0.0
0.31,661.07165406752,0.0,0.0
0.311,661.07165406752,0.0,0.0
0.312,661.07165406752,0.0,0.0
0.313,661.07165406752,0.0,0.0
0.314,661.07165406752,0.0,0.0
0.315,661.07165406752,0.0,0.0
0.316,661.07165406752,0.0,0.0
0.317,661.07165406752,0.0,0.0
0.318,661.07165406752,0.0,0.0
0.319,661.07165406752,0.0,0.0
0.32,661.07165406752,0.0,0.0
0.321,661.07165406752,0.0,0.0
0.322,661.07165406752,0.0,0.0
0.323,661.07165406752,0.0,0.0
0.324,661.07165406752,0.0,0.0
0.325,661.07165406752,0.0,0.0
0.326,661.07165406752,0.0,0.0
0.327,661.07165406752,0.0,0.0
0.328,661.07165406752,0.0,0.0
0.329,661.07165406752,0.0,0.0
0.33,661.07165406752,0.0,0.0
0.331,661.07165406752,0.0,0.0
0.332,661.07165406752,0.0,0.0
0.333,661.07165406752,0.0,0.0
0.334,661.07165406752,0.0,0.0
0.335,661.07165406752,0.0,0.0
0.336,661.07165406752,0.0,0.0
0.337,661.07165406752,0.0,0.0
0.338,661.07165406752,0.0,0.0
0.339,661.07165406752,0.0,0.0
0.34,661.07165406752,0.0,0.0
0.341,661.07165406752,0.0,0.0
0.342,661.07165406752,0.0,0.0
0.343,661.07165406752,0.0,0.0
0.344,661.07165406752,0.0,0.0
0.345,661.07165406752,0.0,0.0
0.346,661.07165406752,0.0,0.0
0.347,661.07165406752,0.0,0.0
0.348,661.07165406752,0.0,0.0
0.349,661.07165406752,0.0,0.0
0.35,661.07165406752,0.0,0.0
0.351,661.07165406752,0.0,0.0
0.352,661.07165406752,0.0,0.0
0.353,661.07165406752,0.0,0.0
0.354,661.07165406752,0.0,0.0
0.355,661.07165406752,0.0,0.0
0.356,661.07165406752,0.0,0.0
0.357,661.07165406752,0.0,0.0
0.358,661.07165406752,0.0,0.0
0.359,882.431635311972,0.0,0.0
0.36,882.431635311972,0.0,0.0
0.361,882.431635311972,0.0,0.0
0.362,882.431635311972,0.0,0.0
0.363,882.431635311972,0.0,0.0
0.364,882.431635311972,0.0,0.0
