time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.082
0.001,0.0,0.0,0.087
0.002,0.0,0.0,0.08
0.003,0.0,0.0,0.074
0.004,0.0,0.0,0.076
0.005,0.0,0.0,0.077
0.006,0.0,0.0,0.081
0.007,0.0,0.0,0.079
0.008,0.0,0.0,0.078
0.009,0.0,0.0,0.075
0.01,0.0,0.0,0.076
0.011,0.0,0.0,0.084
0.012,0.0,0.0,0.082
0.013,0.0,0.0,0.074
0.014,0.0,0.0,0.067
0.015,0.0,0.0,0.07
0.016,0.0,0.0,0.076
0.017,0.0,0.0,0.079
0.018,0.0,0.0,0.079
0.019,0.0,0.0,0.081
0.02,0.0,0.0,0.086
0.021,0.0,0.0,0.096
0.022,0.0,0.0,0.091
0.023,0.0,0.0,0.084
0.024,0.0,0.0,0.087
0.025,0.0,0.0,0.094
0.026,0.0,0.0,0.095
0.027,0.0,0.0,0.096
0.028,0.0,0.0,0.095
0.029,0.0,0.0,0.089
0.03,0.0,0.0,0.082
0.031,0.0,0.0,0.079
0.032,0.0,0.0,0.081
0.033,0.0,0.0,0.074
0.034,0.0,0.0,0.067
0.035,0.0,0.0,0.068
0.036,0.0,0.0,0.07
0.037,0.0,0.0,0.064
0.038,0.0,0.0,0.06
0.039,0.0,0.0,0.061
0.04,0.0,0.0,0.058
0.041,0.0,0.0,0.053
0.042,0.0,0.0,0.048
0.043,0.0,0.0,0.044
0.044,0.0,0.0,0.041
0.045,0.0,0.0,0.037
0.046,441.206136243679,0.0,0.03
0.047,441.206136243679,0.0,0.026
0.048,441.206136243679,0.0,0.023
0.049,441.206136243679,0.0,0.02
0.05,441.206136243679,0.0,0.017
0.051,441.206136243679,0.0,0.016
0.052,441.206136243679,0.0,0.016
0.053,441.206136243679,0.0,0.015
0.054,441.206136243679,0.0,0.013
0.055,441.206136243679,0.0,0.013
0.056,441.206136243679,0.0,0.014
0.057,441.206136243679,0.0,0.013
0.058,441.206136243679,0.0,0.013
0.059,441.206136243679,0.0,0.013
0.06,441.206136243679,0.0,0.013
0.061,441.206136243679,0.0,0.014
0.062,441.206136243679,0.0,0.013
0.063,441.206136243679,0.0,0.013
0.064,441.206136243679,0.0,0.013
