time,ref_freq,est_freq,confidence
0.0,660.3668401920555,56.524,0.003
0.001,660.3668401920555,57.361,0.004
0.002,660.3668401920555,57.422,0.007
0.003,660.3668401920555,57.475,0.009
0.004,660.3668401920555,57.525,0.012
0.005,660.3668401920555,57.574,0.014
0.006,660.3668401920555,57.608,0.015
0.007,660.3668401920555,57.623,0.016
0.008,660.3668401920555,57.654,0.017
0.009,660.3668401920555,57.694,0.018
0.01,660.3668401920555,57.717,0.018
0.011,660.3668401920555,57.72,0.02
0.012,660.3668401920555,57.736,0.022
0.013,660.3668401920555,57.755,0.024
0.014,660.3668401920555,57.991,0.025
0.015,660.3668401920555,57.994,0.027
0.016,660.3668401920555,58.443,0.028
0.017,660.3668401920555,58.458,0.028
0.018,660.3668401920555,58.453,0.029
0.019,660.3668401920555,58.455,0.031
0.02,660.3668401920555,58.464,0.032
0.021,660.3668401920555,58.471,0.031
0.022,660.3668401920555,58.479,0.03
0.023,660.3668401920555,58.493,0.03
0.024,660.3668401920555,58.506,0.029
0.025,660.3668401920555,58.52,0.026
0.026,660.3668401920555,58.534,0.024
0.027,660.3668401920555,58.542,0.022
0.028,660.3668401920555,58.551,0.02
0.029,660.3668401920555,58.807,0.017
0.03,660.3668401920555,58.822,0.015
0.031,660.3668401920555,58.832,0.014
0.032,660.3668401920555,58.844,0.012
0.033,660.3668401920555,58.865,0.011
0.034,660.3668401920555,58.887,0.01
0.035,660.3668401920555,58.902,0.009
0.036,660.3668401920555,58.925,0.008
0.037,660.3668401920555,58.948,0.007
0.038,660.3668401920555,58.965,0.007
0.039,660.3668401920555,58.981,0.006
0.04,660.3668401920555,59.008,0.006
0.041,660.3668401920555,59.026,0.005
0.042,660.3668401920555,59.027,0.005
0.043,660.3668401920555,59.032,0.005
0.044,660.3668401920555,59.049,0.005
0.045,660.3668401920555,59.055,0.005
0.046,660.3668401920555,59.05,0.005
0.047,660.3668401920555,59.047,0.005
0.048,660.3668401920555,59.043,0.004
0.049,660.3668401920555,59.033,0.005
0.05,660.3668401920555,59.016,0.005
0.051,660.3668401920555,58.996,0.005
0.052,660.3668401920555,58.976,0.005
0.053,660.3668401920555,58.955,0.005
0.054,660.3668401920555,58.934,0.005
0.055,660.3668401920555,58.905,0.005
0.056,660.3668401920555,58.879,0.005
0.057,660.3668401920555,58.859,0.006
0.058,660.3668401920555,58.835,0.006
0.059,660.3668401920555,58.549,0.006
0.06,660.3668401920555,58.528,0.007
