time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.019
0.001,0.0,0.0,0.027
0.002,0.0,0.0,0.033
0.003,0.0,0.0,0.031
0.004,0.0,0.0,0.035
0.005,0.0,0.0,0.044
0.006,0.0,0.0,0.055
0.007,0.0,0.0,0.068
0.008,0.0,0.0,0.087
0.009,596.6313405612245,0.0,0.089
0.01,596.6313405612245,0.0,0.098
0.011,596.6313405612245,0.0,0.099
0.012,596.6313405612245,0.0,0.104
0.013,596.6313405612245,0.0,0.118
0.014,596.6313405612245,0.0,0.124
0.015,596.6313405612245,0.0,0.131
0.016,596.6313405612245,0.0,0.146
0.017,596.6313405612245,0.0,0.159
0.018,596.6313405612245,0.0,0.153
0.019,596.6313405612245,0.0,0.13
0.02,596.6313405612245,0.0,0.128
0.021,596.6313405612245,0.0,0.15
0.022,596.6313405612245,0.0,0.185
0.023,596.6313405612245,0.0,0.177
0.024,596.6313405612245,0.0,0.138
0.025,596.6313405612245,0.0,0.125
0.026,596.6313405612245,0.0,0.118
0.027,596.6313405612245,0.0,0.105
0.028,596.6313405612245,0.0,0.087
0.029,596.6313405612245,0.0,0.081
0.03,596.6313405612245,0.0,0.092
0.031,596.6313405612245,0.0,0.084
0.032,596.6313405612245,0.0,0.067
0.033,596.6313405612245,0.0,0.061
0.034,596.6313405612245,0.0,0.057
0.035,596.6313405612245,0.0,0.052
0.036,596.6313405612245,0.0,0.049
0.037,596.6313405612245,0.0,0.049
0.038,596.6313405612245,0.0,0.051
0.039,596.6313405612245,0.0,0.05
0.04,596.6313405612245,0.0,0.047
0.041,596.6313405612245,0.0,0.039
0.042,596.6313405612245,0.0,0.036
0.043,596.6313405612245,0.0,0.035
0.044,596.6313405612245,0.0,0.033
0.045,596.6313405612245,0.0,0.031
0.046,596.6313405612245,0.0,0.029
0.047,596.6313405612245,0.0,0.025
0.048,596.6313405612245,0.0,0.021
0.049,596.6313405612245,0.0,0.017
0.05,596.6313405612245,0.0,0.015
0.051,596.6313405612245,0.0,0.013
0.052,596.6313405612245,0.0,0.012
0.053,596.6313405612245,0.0,0.011
0.054,596.6313405612245,0.0,0.011
0.055,596.6313405612245,0.0,0.011
0.056,596.6313405612245,0.0,0.01
0.057,596.6313405612245,0.0,0.009
0.058,596.6313405612245,0.0,0.009
0.059,596.6313405612245,0.0,0.009
0.06,596.6313405612245,0.0,0.009
0.061,596.6313405612245,0.0,0.009
0.062,596.6313405612245,0.0,0.009
0.063,596.6313405612245,0.0,0.009
0.064,596.6313405612245,0.0,0.008
0.065,596.6313405612245,0.0,0.008
0.066,596.6313405612245,0.0,0.007
0.067,596.6313405612245,0.0,0.007
0.068,596.6313405612245,0.0,0.007
0.069,596.6313405612245,0.0,0.007
0.07,596.6313405612245,0.0,0.007
0.071,596.6313405612245,0.0,0.007
0.072,596.6313405612245,0.0,0.007
0.073,596.6313405612245,0.0,0.007
0.074,596.6313405612245,0.0,0.006
0.075,596.6313405612245,0.0,0.007
0.076,596.6313405612245,0.0,0.007
0.077,596.6313405612245,0.0,0.007
0.078,596.6313405612245,0.0,0.006
0.079,596.6313405612245,0.0,0.006
0.08,596.6313405612245,0.0,0.005
0.081,596.6313405612245,0.0,0.005
0.082,596.6313405612245,0.0,0.005
0.083,596.6313405612245,0.0,0.005
0.084,596.6313405612245,0.0,0.005
0.085,596.6313405612245,0.0,0.005
0.086,596.6313405612245,0.0,0.004
0.087,596.6313405612245,0.0,0.004
0.088,596.6313405612245,0.0,0.004
0.089,596.6313405612245,0.0,0.003
0.09,596.6313405612245,0.0,0.003
0.091,596.6313405612245,0.0,0.003
0.092,596.6313405612245,0.0,0.003
0.093,596.6313405612245,0.0,0.003
0.094,596.6313405612245,0.0,0.003
0.095,596.6313405612245,0.0,0.003
0.096,596.6313405612245,0.0,0.003
0.097,596.6313405612245,0.0,0.003
0.098,596.6313405612245,0.0,0.003
0.099,596.6313405612245,0.0,0.003
0.1,596.6313405612245,0.0,0.003
0.101,596.6313405612245,0.0,0.003
0.102,596.6313405612245,0.0,0.004
0.103,596.6313405612245,0.0,0.004
0.104,596.6313405612245,0.0,0.004
0.105,596.6313405612245,0.0,0.004
0.106,596.6313405612245,0.0,0.005
0.107,596.6313405612245,0.0,0.006
0.108,596.6313405612245,0.0,0.007
0.109,596.6313405612245,0.0,0.007
0.11,596.6313405612245,0.0,0.009
0.111,596.6313405612245,0.0,0.009
0.112,596.6313405612245,0.0,0.01
0.113,596.6313405612245,0.0,0.01
0.114,596.6313405612245,0.0,0.011
0.115,596.6313405612245,0.0,0.014
0.116,596.6313405612245,0.0,0.016
0.117,596.6313405612245,0.0,0.019
0.118,596.6313405612245,0.0,0.02
0.119,596.6313405612245,0.0,0.019
0.12,596.6313405612245,0.0,0.022
0.121,596.6313405612245,0.0,0.023
0.122,596.6313405612245,0.0,0.024
0.123,596.6313405612245,0.0,0.026
0.124,596.6313405612245,0.0,0.03
0.125,596.6313405612245,0.0,0.033
0.126,596.6313405612245,0.0,0.032
0.127,596.6313405612245,0.0,0.033
0.128,596.6313405612245,0.0,0.033
0.129,596.6313405612245,0.0,0.033
0.13,596.6313405612245,0.0,0.034
0.131,596.6313405612245,0.0,0.035
0.132,596.6313405612245,0.0,0.037
0.133,596.6313405612245,0.0,0.038
0.134,596.6313405612245,0.0,0.043
0.135,596.6313405612245,0.0,0.046
0.136,596.6313405612245,0.0,0.045
0.137,596.6313405612245,0.0,0.051
0.138,596.6313405612245,0.0,0.053
0.139,596.6313405612245,0.0,0.054
0.14,596.6313405612245,0.0,0.059
0.141,596.6313405612245,0.0,0.063
0.142,596.6313405612245,0.0,0.06
0.143,596.6313405612245,0.0,0.055
0.144,596.6313405612245,0.0,0.058
0.145,596.6313405612245,0.0,0.053
0.146,596.6313405612245,0.0,0.048
0.147,596.6313405612245,0.0,0.05
0.148,596.6313405612245,0.0,0.05
0.149,596.6313405612245,0.0,0.054
0.15,596.6313405612245,0.0,0.05
0.151,596.6313405612245,0.0,0.047
0.152,596.6313405612245,0.0,0.045
0.153,596.6313405612245,0.0,0.042
0.154,596.6313405612245,0.0,0.044
0.155,596.6313405612245,0.0,0.041
0.156,596.6313405612245,0.0,0.041
0.157,596.6313405612245,0.0,0.047
0.158,596.6313405612245,0.0,0.046
0.159,596.6313405612245,0.0,0.044
0.16,596.6313405612245,0.0,0.043
0.161,596.6313405612245,0.0,0.043
0.162,596.6313405612245,0.0,0.041
0.163,596.6313405612245,0.0,0.041
0.164,596.6313405612245,0.0,0.047
0.165,596.6313405612245,0.0,0.047
0.166,596.6313405612245,0.0,0.049
0.167,596.6313405612245,0.0,0.049
0.168,596.6313405612245,0.0,0.045
0.169,596.6313405612245,0.0,0.044
0.17,596.6313405612245,0.0,0.042
0.171,596.6313405612245,0.0,0.042
0.172,596.6313405612245,0.0,0.042
0.173,596.6313405612245,0.0,0.042
0.174,596.6313405612245,0.0,0.042
0.175,596.6313405612245,0.0,0.037
0.176,596.6313405612245,0.0,0.034
0.177,596.6313405612245,0.0,0.033
0.178,596.6313405612245,0.0,0.031
0.179,596.6313405612245,0.0,0.031
0.18,796.4134693877552,0.0,0.03
0.181,796.4134693877552,0.0,0.03
0.182,796.4134693877552,0.0,0.029
0.183,796.4134693877552,0.0,0.028
0.184,796.4134693877552,0.0,0.031
0.185,796.4134693877552,0.0,0.032
0.186,796.4134693877552,0.0,0.032
0.187,796.4134693877552,0.0,0.032
0.188,796.4134693877552,0.0,0.033
0.189,796.4134693877552,0.0,0.037
0.19,796.4134693877552,0.0,0.038
0.191,796.4134693877552,0.0,0.036
0.192,796.4134693877552,0.0,0.036
0.193,796.4134693877552,0.0,0.038
0.194,796.4134693877552,0.0,0.042
0.195,796.4134693877552,0.0,0.045
0.196,796.4134693877552,0.0,0.049
0.197,796.4134693877552,0.0,0.05
0.198,796.4134693877552,0.0,0.054
0.199,796.4134693877552,0.0,0.059
0.2,796.4134693877552,0.0,0.06
0.201,796.4134693877552,0.0,0.065
0.202,796.4134693877552,0.0,0.072
0.203,796.4134693877552,0.0,0.079
0.204,796.4134693877552,0.0,0.088
0.205,796.4134693877552,0.0,0.094
0.206,796.4134693877552,0.0,0.093
0.207,796.4134693877552,0.0,0.086
0.208,796.4134693877552,0.0,0.085
0.209,796.4134693877552,0.0,0.085
0.21,796.4134693877552,0.0,0.083
0.211,796.4134693877552,0.0,0.081
0.212,796.4134693877552,0.0,0.08
0.213,796.4134693877552,0.0,0.08
0.214,796.4134693877552,0.0,0.077
0.215,796.4134693877552,0.0,0.071
0.216,796.4134693877552,0.0,0.062
0.217,796.4134693877552,0.0,0.055
0.218,796.4134693877552,0.0,0.053
0.219,796.4134693877552,0.0,0.052
0.22,796.4134693877552,0.0,0.049
0.221,796.4134693877552,0.0,0.047
0.222,796.4134693877552,0.0,0.044
0.223,796.4134693877552,0.0,0.04
0.224,796.4134693877552,0.0,0.038
0.225,796.4134693877552,0.0,0.037
0.226,796.4134693877552,0.0,0.036
0.227,796.4134693877552,0.0,0.034
0.228,796.4134693877552,0.0,0.034
0.229,796.4134693877552,0.0,0.034
0.23,796.4134693877552,0.0,0.034
0.231,796.4134693877552,0.0,0.034
0.232,796.4134693877552,0.0,0.032
0.233,796.4134693877552,0.0,0.032
0.234,796.4134693877552,0.0,0.033
0.235,796.4134693877552,0.0,0.034
0.236,796.4134693877552,0.0,0.035
0.237,796.4134693877552,0.0,0.035
0.238,796.4134693877552,0.0,0.035
0.239,796.4134693877552,0.0,0.035
0.24,796.4134693877552,0.0,0.035
0.241,796.4134693877552,0.0,0.034
0.242,796.4134693877552,0.0,0.034
0.243,796.4134693877552,0.0,0.032
0.244,796.4134693877552,0.0,0.032
0.245,796.4134693877552,0.0,0.033
0.246,796.4134693877552,0.0,0.033
0.247,796.4134693877552,0.0,0.034
0.248,796.4134693877552,0.0,0.033
0.249,796.4134693877552,0.0,0.033
0.25,796.4134693877552,0.0,0.035
0.251,796.4134693877552,0.0,0.036
0.252,796.4134693877552,0.0,0.037
0.253,796.4134693877552,0.0,0.037
0.254,796.4134693877552,0.0,0.037
0.255,796.4134693877552,0.0,0.039
0.256,796.4134693877552,0.0,0.04
0.257,796.4134693877552,0.0,0.04
0.258,796.4134693877552,0.0,0.04
0.259,796.4134693877552,0.0,0.04
0.26,796.4134693877552,0.0,0.041
0.261,796.4134693877552,0.0,0.041
0.262,796.4134693877552,0.0,0.041
0.263,796.4134693877552,0.0,0.04
0.264,796.4134693877552,0.0,0.039
0.265,796.4134693877552,0.0,0.039
0.266,796.4134693877552,0.0,0.039
0.267,796.4134693877552,0.0,0.038
0.268,796.4134693877552,0.0,0.037
0.269,796.4134693877552,0.0,0.036
0.27,796.4134693877552,0.0,0.036
0.271,796.4134693877552,0.0,0.035
0.272,796.4134693877552,0.0,0.034
0.273,796.4134693877552,0.0,0.032
0.274,796.4134693877552,0.0,0.031
0.275,796.4134693877552,0.0,0.03
0.276,796.4134693877552,0.0,0.03
0.277,796.4134693877552,0.0,0.028
0.278,796.4134693877552,0.0,0.026
0.279,796.4134693877552,0.0,0.025
