time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.087
0.001,0.0,0.0,0.095
0.002,0.0,58.713,0.101
0.003,0.0,0.0,0.095
0.004,0.0,0.0,0.095
0.005,0.0,58.686,0.101
0.006,0.0,58.7,0.1
0.007,0.0,0.0,0.093
0.008,0.0,0.0,0.088
0.009,0.0,0.0,0.089
0.01,0.0,0.0,0.092
0.011,0.0,0.0,0.091
0.012,0.0,0.0,0.086
0.013,0.0,0.0,0.087
0.014,0.0,0.0,0.088
0.015,0.0,0.0,0.083
0.016,0.0,0.0,0.081
0.017,0.0,0.0,0.082
0.018,0.0,0.0,0.085
0.019,0.0,0.0,0.086
0.02,0.0,0.0,0.089
0.021,0.0,0.0,0.089
0.022,0.0,0.0,0.089
0.023,0.0,0.0,0.091
0.024,0.0,0.0,0.088
0.025,0.0,0.0,0.086
0.026,0.0,0.0,0.09
0.027,0.0,0.0,0.087
0.028,0.0,0.0,0.084
0.029,0.0,0.0,0.089
0.03,0.0,0.0,0.09
0.031,0.0,0.0,0.09
0.032,0.0,0.0,0.093
0.033,0.0,0.0,0.088
0.034,0.0,0.0,0.09
0.035,0.0,58.435,0.103
0.036,0.0,58.44,0.101
0.037,0.0,0.0,0.099
0.038,0.0,58.441,0.107
0.039,0.0,58.452,0.101
0.04,0.0,0.0,0.099
0.041,0.0,58.449,0.105
0.042,0.0,0.0,0.098
0.043,0.0,0.0,0.095
0.044,0.0,58.444,0.102
0.045,0.0,0.0,0.095
0.046,0.0,0.0,0.09
0.047,0.0,0.0,0.096
0.048,0.0,0.0,0.089
0.049,0.0,0.0,0.085
0.05,0.0,0.0,0.091
0.051,0.0,0.0,0.087
0.052,0.0,0.0,0.087
0.053,0.0,0.0,0.095
0.054,0.0,0.0,0.09
0.055,0.0,0.0,0.087
0.056,0.0,0.0,0.095
0.057,0.0,0.0,0.089
0.058,0.0,0.0,0.086
0.059,0.0,0.0,0.095
0.06,0.0,0.0,0.093
0.061,0.0,0.0,0.091
0.062,0.0,0.0,0.099
0.063,0.0,0.0,0.093
0.064,0.0,0.0,0.088
0.065,0.0,0.0,0.097
0.066,0.0,0.0,0.094
0.067,0.0,0.0,0.087
0.068,0.0,0.0,0.095
0.069,0.0,0.0,0.091
0.07,0.0,0.0,0.086
0.071,0.0,0.0,0.092
0.072,0.0,0.0,0.087
0.073,0.0,0.0,0.081
0.074,0.0,0.0,0.086
0.075,0.0,0.0,0.081
0.076,0.0,0.0,0.073
0.077,0.0,0.0,0.08
0.078,0.0,0.0,0.078
0.079,0.0,0.0,0.07
0.08,0.0,0.0,0.075
0.081,0.0,0.0,0.072
0.082,0.0,0.0,0.066
0.083,0.0,0.0,0.071
0.084,0.0,0.0,0.07
0.085,0.0,0.0,0.063
0.086,0.0,0.0,0.065
0.087,0.0,0.0,0.063
0.088,0.0,0.0,0.056
0.089,0.0,0.0,0.056
0.09,0.0,0.0,0.056
0.091,0.0,0.0,0.05
0.092,0.0,0.0,0.05
0.093,0.0,0.0,0.049
0.094,0.0,0.0,0.043
0.095,0.0,0.0,0.043
0.096,0.0,0.0,0.042
0.097,0.0,0.0,0.037
0.098,0.0,0.0,0.036
0.099,0.0,0.0,0.035
0.1,0.0,0.0,0.031
0.101,0.0,0.0,0.029
0.102,0.0,0.0,0.028
0.103,0.0,0.0,0.024
0.104,0.0,0.0,0.024
0.105,0.0,0.0,0.022
0.106,0.0,0.0,0.019
0.107,0.0,0.0,0.018
0.108,0.0,0.0,0.017
0.109,0.0,0.0,0.015
0.11,0.0,0.0,0.014
0.111,0.0,0.0,0.014
0.112,0.0,0.0,0.012
0.113,0.0,0.0,0.011
0.114,0.0,0.0,0.011
0.115,0.0,0.0,0.009
0.116,500.84975551020403,0.0,0.009
0.117,500.84975551020403,0.0,0.009
0.118,500.84975551020403,0.0,0.008
0.119,500.84975551020403,0.0,0.008
0.12,500.84975551020403,0.0,0.009
0.121,500.84975551020403,0.0,0.008
0.122,500.84975551020403,0.0,0.008
0.123,500.84975551020403,0.0,0.008
0.124,500.84975551020403,0.0,0.008
0.125,500.84975551020403,0.0,0.008
0.126,500.84975551020403,0.0,0.008
0.127,500.84975551020403,0.0,0.008
0.128,500.84975551020403,0.0,0.008
0.129,500.84975551020403,0.0,0.009
0.13,500.84975551020403,0.0,0.008
0.131,500.84975551020403,0.0,0.008
0.132,500.84975551020403,0.0,0.009
0.133,500.84975551020403,0.0,0.008
0.134,500.84975551020403,0.0,0.008
0.135,500.84975551020403,0.0,0.009
0.136,500.84975551020403,0.0,0.009
0.137,500.84975551020403,0.0,0.008
0.138,500.84975551020403,0.0,0.009
0.139,500.84975551020403,0.0,0.009
0.14,500.84975551020403,0.0,0.009
0.141,500.84975551020403,0.0,0.01
0.142,500.84975551020403,0.0,0.01
