time,ref_freq,est_freq,confidence
0.0,661.5901328207772,0.0,0.081
0.001,661.5901328207772,0.0,0.079
0.002,661.5901328207772,0.0,0.077
0.003,661.5901328207772,0.0,0.074
0.004,661.5901328207772,0.0,0.072
0.005,661.5901328207772,0.0,0.071
0.006,661.5901328207772,0.0,0.068
0.007,661.5901328207772,0.0,0.063
0.008,661.5901328207772,0.0,0.058
0.009,661.5901328207772,0.0,0.058
0.01,661.5901328207772,0.0,0.065
0.011,661.5901328207772,0.0,0.079
0.012,661.5901328207772,0.0,0.095
0.013,661.5901328207772,0.0,0.109
0.014,661.5901328207772,0.0,0.125
0.015,661.5901328207772,0.0,0.149
0.016,661.5901328207772,0.0,0.174
0.017,661.5901328207772,0.0,0.195
0.018,661.5901328207772,778.35,0.21
0.019,661.5901328207772,778.123,0.23
0.02,661.5901328207772,777.856,0.25
0.021,661.5901328207772,777.634,0.263
0.022,661.5901328207772,773.54,0.276
0.023,661.5901328207772,773.417,0.291
0.024,661.5901328207772,777.137,0.301
0.025,661.5901328207772,773.198,0.314
0.026,661.5901328207772,773.121,0.327
0.027,661.5901328207772,773.118,0.332
0.028,661.5901328207772,773.078,0.333
0.029,661.5901328207772,773.001,0.345
0.03,661.5901328207772,773.036,0.36
0.031,661.5901328207772,773.167,0.365
0.032,661.5901328207772,773.298,0.364
0.033,661.5901328207772,776.657,0.372
0.034,661.5901328207772,779.818,0.382
0.035,661.5901328207772,776.92,0.396
0.036,661.5901328207772,777.111,0.407
0.037,661.5901328207772,780.136,0.412
0.038,661.5901328207772,780.307,0.42
0.039,661.5901328207772,780.484,0.422
0.04,661.5901328207772,778.047,0.427
0.041,661.5901328207772,780.972,0.435
0.042,661.5901328207772,781.219,0.439
0.043,661.5901328207772,781.491,0.438
0.044,661.5901328207772,781.773,0.433
0.045,661.5901328207772,782.003,0.427
0.046,661.5901328207772,782.245,0.423
0.047,661.5901328207772,782.585,0.417
0.048,661.5901328207772,782.898,0.406
0.049,661.5901328207772,783.135,0.392
0.05,661.5901328207772,783.388,0.382
0.051,661.5901328207772,783.661,0.376
0.052,661.5901328207772,783.886,0.368
0.053,661.5901328207772,786.656,0.363
0.054,661.5901328207772,786.804,0.357
0.055,661.5901328207772,786.936,0.354
0.056,661.5901328207772,787.033,0.357
0.057,661.5901328207772,787.136,0.359
0.058,661.5901328207772,787.202,0.358
0.059,661.5901328207772,787.234,0.36
0.06,661.5901328207772,787.264,0.364
0.061,661.5901328207772,787.295,0.365
0.062,661.5901328207772,787.303,0.364
0.063,661.5901328207772,787.284,0.365
0.064,661.5901328207772,787.282,0.365
0.065,661.5901328207772,787.291,0.364
0.066,661.5901328207772,787.278,0.363
0.067,661.5901328207772,787.263,0.365
0.068,661.5901328207772,787.286,0.364
0.069,661.5901328207772,787.322,0.361
0.07,661.5901328207772,787.347,0.359
0.071,661.5901328207772,787.372,0.357
0.072,661.5901328207772,787.423,0.352
0.073,661.5901328207772,787.482,0.347
0.074,661.5901328207772,787.55,0.345
0.075,661.5901328207772,787.629,0.343
0.076,661.5901328207772,787.714,0.339
0.077,661.5901328207772,787.79,0.334
0.078,661.5901328207772,787.895,0.33
0.079,661.5901328207772,788.0,0.326
0.08,661.5901328207772,788.07,0.32
0.081,661.5901328207772,788.128,0.315
0.082,661.5901328207772,788.222,0.31
0.083,661.5901328207772,788.327,0.304
0.084,661.5901328207772,788.389,0.3
0.085,661.5901328207772,788.438,0.298
0.086,661.5901328207772,788.519,0.294
0.087,661.5901328207772,788.603,0.29
0.088,661.5901328207772,788.647,0.288
0.089,661.5901328207772,788.681,0.286
0.09,661.5901328207772,788.733,0.282
0.091,661.5901328207772,788.763,0.278
0.092,661.5901328207772,788.777,0.274
0.093,661.5901328207772,788.818,0.27
0.094,661.5901328207772,788.871,0.265
0.095,661.5901328207772,788.876,0.259
0.096,661.5901328207772,788.864,0.252
0.097,661.5901328207772,788.904,0.245
0.098,661.5901328207772,788.948,0.24
0.099,661.5901328207772,788.951,0.234
0.1,661.5901328207772,788.922,0.227
0.101,661.5901328207772,788.926,0.22
0.102,661.5901328207772,788.938,0.215
0.103,661.5901328207772,788.935,0.21
