time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.098
0.001,0.0,0.0,0.097
0.002,0.0,0.0,0.09
0.003,0.0,0.0,0.085
0.004,0.0,0.0,0.082
0.005,0.0,0.0,0.081
0.006,0.0,0.0,0.08
0.007,0.0,0.0,0.082
0.008,0.0,0.0,0.082
0.009,0.0,0.0,0.084
0.01,0.0,0.0,0.092
0.011,0.0,345.976,0.113
0.012,0.0,343.662,0.15
0.013,0.0,343.335,0.198
0.014,0.0,342.955,0.258
0.015,0.0,342.653,0.326
0.016,0.0,342.342,0.395
0.017,0.0,342.036,0.465
0.018,0.0,341.828,0.526
0.019,0.0,338.468,0.585
0.02,0.0,338.323,0.63
0.021,0.0,338.201,0.658
0.022,0.0,338.019,0.682
0.023,0.0,337.883,0.708
0.024,0.0,337.768,0.727
0.025,0.0,337.634,0.735
0.026,0.0,337.526,0.733
0.027,0.0,337.379,0.74
0.028,0.0,337.243,0.744
0.029,0.0,337.159,0.74
0.03,0.0,336.987,0.736
0.031,0.0,336.807,0.73
0.032,0.0,336.721,0.719
0.033,0.0,335.806,0.711
0.034,0.0,335.622,0.709
0.035,0.0,335.503,0.704
0.036,0.0,335.33,0.699
0.037,0.0,335.146,0.69
0.038,0.0,335.002,0.685
0.039,0.0,334.127,0.693
0.04,0.0,333.948,0.692
0.041,0.0,333.778,0.69
0.042,0.0,333.566,0.709
0.043,0.0,333.37,0.715
0.044,0.0,333.201,0.717
0.045,0.0,332.983,0.731
0.046,0.0,332.786,0.733
0.047,0.0,331.996,0.743
0.048,0.0,331.845,0.762
0.049,0.0,331.671,0.768
0.05,0.0,331.511,0.769
0.051,0.0,331.362,0.781
0.052,0.0,331.2,0.777
0.053,0.0,331.048,0.767
0.054,0.0,330.912,0.766
0.055,0.0,330.764,0.758
0.056,0.0,330.64,0.746
0.057,0.0,330.533,0.741
0.058,0.0,330.409,0.731
0.059,660.8842907735002,330.323,0.716
0.06,660.8842907735002,330.275,0.706
0.061,660.8842907735002,330.205,0.687
0.062,660.8842907735002,330.164,0.667
0.063,660.8842907735002,330.168,0.654
0.064,660.8842907735002,330.166,0.631
0.065,660.8842907735002,330.189,0.609
0.066,660.8842907735002,330.26,0.593
0.067,660.8842907735002,330.318,0.56
0.068,660.8842907735002,330.381,0.526
0.069,660.8842907735002,330.483,0.495
0.07,660.8842907735002,330.606,0.45
0.071,660.8842907735002,330.737,0.406
0.072,660.8842907735002,330.889,0.367
0.073,660.8842907735002,663.789,0.35
0.074,660.8842907735002,664.0,0.393
0.075,660.8842907735002,664.243,0.436
0.076,660.8842907735002,664.463,0.477
0.077,660.8842907735002,664.668,0.522
0.078,660.8842907735002,664.904,0.563
0.079,660.8842907735002,665.135,0.601
0.08,660.8842907735002,665.337,0.639
0.081,660.8842907735002,665.543,0.671
0.082,660.8842907735002,665.735,0.701
0.083,660.8842907735002,665.909,0.729
0.084,660.8842907735002,666.072,0.753
0.085,660.8842907735002,666.211,0.773
0.086,660.8842907735002,666.905,0.793
0.087,660.8842907735002,667.045,0.811
0.088,660.8842907735002,667.174,0.824
0.089,660.8842907735002,667.284,0.836
0.09,660.8842907735002,667.386,0.845
0.091,660.8842907735002,667.482,0.852
0.092,660.8842907735002,667.562,0.859
0.093,660.8842907735002,667.637,0.864
0.094,660.8842907735002,667.697,0.868
0.095,660.8842907735002,667.748,0.873
0.096,660.8842907735002,667.796,0.877
0.097,660.8842907735002,667.832,0.882
0.098,660.8842907735002,667.86,0.886
0.099,660.8842907735002,667.885,0.891
0.1,660.8842907735002,667.903,0.894
0.101,660.8842907735002,667.916,0.898
0.102,660.8842907735002,667.924,0.902
0.103,660.8842907735002,667.931,0.906
0.104,660.8842907735002,667.931,0.91
0.105,660.8842907735002,667.927,0.914
0.106,660.8842907735002,667.925,0.917
0.107,660.8842907735002,667.918,0.921
0.108,660.8842907735002,667.911,0.925
0.109,660.8842907735002,667.91,0.928
0.11,660.8842907735002,667.901,0.931
0.111,660.8842907735002,667.883,0.934
0.112,660.8842907735002,667.875,0.937
0.113,660.8842907735002,667.872,0.939
0.114,660.8842907735002,667.859,0.941
0.115,660.8842907735002,667.848,0.943
0.116,660.8842907735002,667.842,0.945
0.117,660.8842907735002,667.836,0.947
0.118,660.8842907735002,667.833,0.948
0.119,660.8842907735002,667.829,0.949
0.12,660.8842907735002,667.824,0.95
0.121,660.8842907735002,667.829,0.95
0.122,660.8842907735002,667.828,0.951
0.123,660.8842907735002,667.82,0.951
0.124,660.8842907735002,667.821,0.951
0.125,660.8842907735002,667.825,0.952
0.126,660.8842907735002,667.827,0.951
0.127,660.8842907735002,667.833,0.951
0.128,660.8842907735002,667.836,0.951
0.129,660.8842907735002,667.84,0.951
0.13,660.8842907735002,667.847,0.951
0.131,660.8842907735002,667.85,0.951
0.132,660.8842907735002,667.854,0.951
0.133,660.8842907735002,667.862,0.95
0.134,660.8842907735002,667.861,0.95
0.135,660.8842907735002,667.861,0.95
0.136,660.8842907735002,667.864,0.949
0.137,660.8842907735002,667.86,0.949
0.138,660.8842907735002,667.85,0.948
0.139,660.8842907735002,667.841,0.948
0.14,660.8842907735002,667.827,0.947
0.141,660.8842907735002,667.807,0.947
0.142,660.8842907735002,667.784,0.947
0.143,660.8842907735002,667.755,0.946
0.144,660.8842907735002,667.722,0.946
0.145,660.8842907735002,667.684,0.946
0.146,660.8842907735002,667.637,0.945
0.147,660.8842907735002,667.589,0.945
0.148,660.8842907735002,667.538,0.945
0.149,660.8842907735002,667.476,0.945
0.15,660.8842907735002,667.411,0.946
0.151,660.8842907735002,667.345,0.946
0.152,660.8842907735002,667.269,0.946
0.153,660.8842907735002,667.188,0.946
0.154,660.8842907735002,667.101,0.947
0.155,660.8842907735002,667.006,0.948
0.156,660.8842907735002,666.91,0.948
0.157,660.8842907735002,666.813,0.948
0.158,660.8842907735002,666.709,0.949
0.159,660.8842907735002,666.605,0.949
0.16,660.8842907735002,666.498,0.95
0.161,660.8842907735002,666.386,0.951
0.162,660.8842907735002,666.271,0.952
0.163,660.8842907735002,666.153,0.953
0.164,660.8842907735002,666.033,0.953
0.165,660.8842907735002,665.541,0.954
0.166,660.8842907735002,665.415,0.956
0.167,660.8842907735002,665.287,0.957
0.168,660.8842907735002,665.157,0.958
0.169,660.8842907735002,665.024,0.96
0.17,660.8842907735002,664.898,0.961
0.171,660.8842907735002,664.768,0.962
0.172,660.8842907735002,664.633,0.963
0.173,660.8842907735002,664.509,0.964
0.174,660.8842907735002,664.389,0.964
0.175,660.8842907735002,664.265,0.965
0.176,660.8842907735002,664.146,0.965
0.177,660.8842907735002,664.031,0.966
0.178,660.8842907735002,663.924,0.966
0.179,660.8842907735002,663.829,0.966
0.18,660.8842907735002,663.739,0.966
0.181,660.8842907735002,663.66,0.966
0.182,660.8842907735002,663.599,0.966
0.183,660.8842907735002,663.55,0.966
0.184,660.8842907735002,663.516,0.966
0.185,660.8842907735002,663.499,0.965
0.186,660.8842907735002,663.495,0.965
0.187,660.8842907735002,663.511,0.964
0.188,660.8842907735002,663.546,0.963
0.189,660.8842907735002,663.593,0.961
0.19,660.8842907735002,663.663,0.96
0.191,660.8842907735002,663.76,0.958
0.192,660.8842907735002,663.875,0.956
0.193,660.8842907735002,664.013,0.954
0.194,660.8842907735002,664.174,0.952
