time,ref_freq,est_freq,confidence
0.0,0.0,440.805,0.53
0.001,0.0,440.851,0.558
0.002,0.0,440.905,0.586
0.003,0.0,440.867,0.611
0.004,0.0,440.759,0.64
0.005,0.0,440.679,0.677
0.006,0.0,440.616,0.708
0.007,0.0,440.478,0.735
0.008,0.0,440.295,0.757
0.009,0.0,439.139,0.778
0.01,0.0,438.981,0.797
0.011,0.0,438.76,0.809
0.012,0.0,438.569,0.829
0.013,0.0,438.423,0.849
0.014,0.0,438.267,0.857
0.015,0.0,438.099,0.863
0.016,0.0,437.956,0.874
0.017,0.0,437.854,0.884
0.018,0.0,437.713,0.885
0.019,441.6766042940084,437.548,0.884
0.02,441.6766042940084,437.429,0.89
0.021,441.6766042940084,437.38,0.895
0.022,441.6766042940084,437.285,0.893
0.023,441.6766042940084,437.168,0.89
0.024,441.6766042940084,437.121,0.895
0.025,441.6766042940084,437.114,0.899
0.026,441.6766042940084,437.075,0.897
0.027,441.6766042940084,436.993,0.896
0.028,441.6766042940084,436.998,0.901
0.029,441.6766042940084,437.014,0.904
0.03,441.6766042940084,437.01,0.903
0.031,441.6766042940084,436.976,0.902
0.032,441.6766042940084,436.994,0.906
0.033,441.6766042940084,437.033,0.909
0.034,441.6766042940084,437.044,0.907
0.035,441.6766042940084,437.065,0.908
0.036,441.6766042940084,437.087,0.911
0.037,441.6766042940084,437.136,0.912
0.038,441.6766042940084,437.154,0.912
0.039,441.6766042940084,437.208,0.914
0.04,441.6766042940084,437.261,0.917
0.041,441.6766042940084,437.295,0.917
0.042,441.6766042940084,437.332,0.918
0.043,441.6766042940084,437.382,0.92
0.044,441.6766042940084,437.438,0.922
0.045,441.6766042940084,437.451,0.922
0.046,441.6766042940084,437.491,0.922
0.047,441.6766042940084,437.529,0.925
0.048,441.6766042940084,437.565,0.926
0.049,441.6766042940084,437.585,0.927
0.05,441.6766042940084,437.602,0.927
0.051,441.6766042940084,437.635,0.929
0.052,441.6766042940084,437.639,0.93
0.053,441.6766042940084,437.658,0.93
0.054,441.6766042940084,437.643,0.929
0.055,441.6766042940084,437.649,0.93
0.056,441.6766042940084,437.639,0.931
0.057,441.6766042940084,437.631,0.929
0.058,441.6766042940084,437.628,0.929
0.059,441.6766042940084,437.608,0.929
0.06,441.6766042940084,437.604,0.93
0.061,441.6766042940084,437.58,0.927
0.062,441.6766042940084,437.585,0.926
0.063,441.6766042940084,437.562,0.927
0.064,441.6766042940084,437.561,0.926
0.065,441.6766042940084,437.567,0.924
0.066,441.6766042940084,437.571,0.923
0.067,441.6766042940084,437.587,0.925
0.068,441.6766042940084,437.589,0.924
0.069,441.6766042940084,437.626,0.923
0.07,441.6766042940084,437.637,0.923
0.071,441.6766042940084,437.678,0.923
0.072,441.6766042940084,437.713,0.922
0.073,441.6766042940084,437.766,0.922
0.074,441.6766042940084,437.828,0.923
0.075,441.6766042940084,437.884,0.923
0.076,441.6766042940084,437.969,0.924
0.077,441.6766042940084,438.031,0.923
0.078,441.6766042940084,438.113,0.924
0.079,441.6766042940084,438.183,0.925
0.08,441.6766042940084,438.281,0.924
0.081,441.6766042940084,438.374,0.924
0.082,441.6766042940084,438.454,0.925
0.083,441.6766042940084,438.55,0.926
0.084,441.6766042940084,438.641,0.925
0.085,441.6766042940084,438.741,0.925
0.086,441.6766042940084,438.808,0.925
0.087,441.6766042940084,438.898,0.926
0.088,441.6766042940084,438.989,0.925
0.089,441.6766042940084,439.075,0.924
0.09,441.6766042940084,439.15,0.926
0.091,441.6766042940084,439.229,0.926
0.092,441.6766042940084,439.322,0.926
0.093,441.6766042940084,439.381,0.925
0.094,441.6766042940084,439.454,0.926
0.095,441.6766042940084,439.526,0.926
0.096,441.6766042940084,439.609,0.925
0.097,441.6766042940084,439.676,0.925
0.098,441.6766042940084,439.753,0.925
0.099,441.6766042940084,439.845,0.925
0.1,441.6766042940084,439.926,0.923
0.101,441.6766042940084,440.015,0.922
0.102,441.6766042940084,440.099,0.921
0.103,441.6766042940084,440.562,0.921
0.104,441.6766042940084,440.648,0.92
0.105,441.6766042940084,440.744,0.92
0.106,441.6766042940084,440.844,0.921
0.107,441.6766042940084,440.956,0.921
0.108,441.6766042940084,441.06,0.921
0.109,441.6766042940084,441.159,0.921
0.11,441.6766042940084,441.272,0.922
0.111,441.6766042940084,441.377,0.922
0.112,441.6766042940084,441.485,0.921
0.113,441.6766042940084,441.59,0.921
0.114,441.6766042940084,441.704,0.922
0.115,441.6766042940084,441.805,0.922
0.116,441.6766042940084,441.905,0.921
0.117,441.6766042940084,442.004,0.922
0.118,441.6766042940084,442.095,0.921
0.119,441.6766042940084,442.178,0.921
0.12,441.6766042940084,442.248,0.92
0.121,441.6766042940084,442.32,0.921
0.122,441.6766042940084,442.378,0.92
0.123,441.6766042940084,442.429,0.919
0.124,441.6766042940084,442.461,0.919
0.125,441.6766042940084,442.488,0.919
0.126,441.6766042940084,442.508,0.919
0.127,441.6766042940084,442.51,0.917
0.128,441.6766042940084,442.501,0.918
0.129,441.6766042940084,442.477,0.918
0.13,441.6766042940084,442.453,0.918
0.131,441.6766042940084,442.408,0.918
0.132,441.6766042940084,442.359,0.919
0.133,441.6766042940084,442.297,0.92
0.134,441.6766042940084,442.225,0.919
0.135,441.6766042940084,442.15,0.919
0.136,441.6766042940084,442.059,0.919
0.137,441.6766042940084,441.966,0.919
0.138,441.6766042940084,441.862,0.918
0.139,441.6766042940084,441.759,0.917
0.14,441.6766042940084,441.645,0.917
0.141,441.6766042940084,441.535,0.916
0.142,441.6766042940084,441.426,0.915
0.143,441.6766042940084,441.312,0.913
0.144,441.6766042940084,441.207,0.913
0.145,441.6766042940084,441.091,0.91
0.146,441.6766042940084,440.988,0.908
0.147,441.6766042940084,440.88,0.907
0.148,441.6766042940084,440.786,0.905
0.149,441.6766042940084,440.682,0.903
0.15,441.6766042940084,440.58,0.899
0.151,441.6766042940084,440.073,0.899
0.152,441.6766042940084,439.976,0.9
0.153,441.6766042940084,439.878,0.9
0.154,441.6766042940084,439.776,0.9
0.155,441.6766042940084,439.693,0.899
0.156,441.6766042940084,439.603,0.899
0.157,441.6766042940084,439.503,0.898
0.158,441.6766042940084,439.405,0.897
0.159,441.6766042940084,439.307,0.897
0.16,441.6766042940084,439.21,0.896
0.161,441.6766042940084,439.092,0.895
0.162,441.6766042940084,438.987,0.894
0.163,441.6766042940084,438.886,0.893
0.164,441.6766042940084,438.77,0.892
0.165,441.6766042940084,438.642,0.89
0.166,441.6766042940084,438.498,0.888
0.167,441.6766042940084,438.372,0.886
0.168,441.6766042940084,438.219,0.883
0.169,441.6766042940084,438.066,0.879
0.17,441.6766042940084,437.921,0.875
0.171,441.6766042940084,437.774,0.869
0.172,441.6766042940084,437.621,0.862
0.173,441.6766042940084,437.453,0.853
0.174,441.6766042940084,437.317,0.844
0.175,441.6766042940084,437.163,0.834
0.176,441.6766042940084,437.008,0.82
0.177,441.6766042940084,436.153,0.809
0.178,441.6766042940084,435.955,0.798
0.179,441.6766042940084,435.748,0.785
0.18,441.6766042940084,435.52,0.769
0.181,441.6766042940084,435.314,0.753
0.182,441.6766042940084,435.112,0.74
0.183,441.6766042940084,434.901,0.721
0.184,441.6766042940084,434.678,0.698
0.185,441.6766042940084,434.47,0.677
0.186,441.6766042940084,434.273,0.651
0.187,441.6766042940084,434.064,0.621
0.188,441.6766042940084,432.605,0.59
0.189,441.6766042940084,432.326,0.563
0.19,441.6766042940084,432.068,0.536
0.191,441.6766042940084,431.802,0.515
