time,ref_freq,est_freq,confidence
0.0,660.3668401920555,0.0,0.336
0.001,660.3668401920555,0.0,0.348
0.002,660.3668401920555,0.0,0.36
0.003,660.3668401920555,0.0,0.37
0.004,660.3668401920555,0.0,0.38
0.005,660.3668401920555,0.0,0.387
0.006,660.3668401920555,0.0,0.392
0.007,660.3668401920555,0.0,0.405
0.008,660.3668401920555,0.0,0.416
0.009,660.3668401920555,0.0,0.433
0.01,660.3668401920555,0.0,0.453
0.011,660.3668401920555,0.0,0.464
0.012,660.3668401920555,0.0,0.465
0.013,660.3668401920555,0.0,0.463
0.014,660.3668401920555,0.0,0.465
0.015,660.3668401920555,0.0,0.462
0.016,660.3668401920555,0.0,0.459
0.017,660.3668401920555,0.0,0.463
0.018,660.3668401920555,0.0,0.469
0.019,660.3668401920555,0.0,0.46
0.02,660.3668401920555,0.0,0.445
0.021,660.3668401920555,0.0,0.432
0.022,660.3668401920555,0.0,0.418
0.023,660.3668401920555,0.0,0.399
0.024,660.3668401920555,0.0,0.378
0.025,660.3668401920555,0.0,0.356
0.026,660.3668401920555,0.0,0.332
0.027,660.3668401920555,0.0,0.304
0.028,660.3668401920555,0.0,0.271
0.029,660.3668401920555,0.0,0.239
0.03,660.3668401920555,0.0,0.211
0.031,660.3668401920555,0.0,0.187
0.032,660.3668401920555,0.0,0.164
0.033,660.3668401920555,0.0,0.144
0.034,660.3668401920555,0.0,0.122
0.035,660.3668401920555,0.0,0.101
0.036,660.3668401920555,0.0,0.083
0.037,660.3668401920555,0.0,0.072
0.038,660.3668401920555,0.0,0.071
0.039,660.3668401920555,0.0,0.07
0.04,660.3668401920555,0.0,0.069
0.041,660.3668401920555,0.0,0.069
0.042,660.3668401920555,0.0,0.069
0.043,660.3668401920555,0.0,0.068
0.044,660.3668401920555,0.0,0.069
0.045,660.3668401920555,0.0,0.07
0.046,660.3668401920555,0.0,0.07
0.047,660.3668401920555,0.0,0.069
0.048,660.3668401920555,0.0,0.069
0.049,660.3668401920555,0.0,0.071
0.05,660.3668401920555,0.0,0.072
0.051,660.3668401920555,0.0,0.071
0.052,660.3668401920555,0.0,0.07
0.053,660.3668401920555,0.0,0.07
0.054,660.3668401920555,0.0,0.069
0.055,660.3668401920555,0.0,0.071
0.056,660.3668401920555,0.0,0.074
0.057,660.3668401920555,0.0,0.074
0.058,660.3668401920555,0.0,0.076
0.059,660.3668401920555,0.0,0.079
0.06,660.3668401920555,0.0,0.081
0.061,660.3668401920555,0.0,0.082
0.062,660.3668401920555,0.0,0.084
0.063,660.3668401920555,0.0,0.087
0.064,660.3668401920555,0.0,0.088
0.065,660.3668401920555,0.0,0.088
0.066,660.3668401920555,0.0,0.088
0.067,660.3668401920555,0.0,0.089
0.068,660.3668401920555,0.0,0.088
0.069,660.3668401920555,0.0,0.088
0.07,660.3668401920555,0.0,0.087
0.071,660.3668401920555,0.0,0.084
0.072,660.3668401920555,0.0,0.078
0.073,660.3668401920555,0.0,0.072
0.074,660.3668401920555,0.0,0.067
0.075,660.3668401920555,0.0,0.062
0.076,660.3668401920555,0.0,0.057
0.077,660.3668401920555,0.0,0.059
0.078,660.3668401920555,0.0,0.059
0.079,660.3668401920555,0.0,0.057
0.08,660.3668401920555,0.0,0.055
0.081,660.3668401920555,0.0,0.053
0.082,660.3668401920555,0.0,0.051
0.083,660.3668401920555,0.0,0.049
0.084,660.3668401920555,0.0,0.048
0.085,660.3668401920555,0.0,0.046
0.086,660.3668401920555,0.0,0.044
0.087,660.3668401920555,0.0,0.042
0.088,660.3668401920555,0.0,0.04
0.089,660.3668401920555,0.0,0.039
0.09,660.3668401920555,0.0,0.038
0.091,660.3668401920555,0.0,0.038
0.092,660.3668401920555,0.0,0.038
0.093,660.3668401920555,0.0,0.038
0.094,660.3668401920555,0.0,0.041
0.095,660.3668401920555,0.0,0.044
0.096,660.3668401920555,0.0,0.046
0.097,660.3668401920555,0.0,0.048
0.098,660.3668401920555,0.0,0.049
0.099,660.3668401920555,0.0,0.049
0.1,660.3668401920555,0.0,0.048
0.101,660.3668401920555,0.0,0.049
0.102,660.3668401920555,0.0,0.051
0.103,660.3668401920555,0.0,0.052
0.104,660.3668401920555,0.0,0.052
0.105,660.3668401920555,0.0,0.052
