time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.684
0.001,0.0,0.0,0.717
0.002,0.0,0.0,0.747
0.003,0.0,0.0,0.778
0.004,0.0,0.0,0.802
0.005,0.0,0.0,0.824
0.006,0.0,0.0,0.841
0.007,0.0,0.0,0.853
0.008,0.0,0.0,0.863
0.009,0.0,0.0,0.871
0.01,0.0,0.0,0.877
0.011,0.0,0.0,0.882
0.012,0.0,0.0,0.886
0.013,0.0,0.0,0.889
0.014,0.0,0.0,0.892
0.015,0.0,0.0,0.894
0.016,495.28730602040815,0.0,0.894
0.017,495.28730602040815,0.0,0.893
0.018,495.28730602040815,0.0,0.895
0.019,495.28730602040815,0.0,0.896
0.02,495.28730602040815,0.0,0.894
0.021,495.28730602040815,0.0,0.894
0.022,495.28730602040815,0.0,0.895
0.023,495.28730602040815,0.0,0.892
0.024,495.28730602040815,0.0,0.89
0.025,495.28730602040815,0.0,0.888
0.026,495.28730602040815,0.0,0.886
0.027,495.28730602040815,0.0,0.881
0.028,495.28730602040815,0.0,0.876
0.029,495.28730602040815,0.0,0.871
0.03,495.28730602040815,0.0,0.874
0.031,495.28730602040815,0.0,0.877
0.032,495.28730602040815,0.0,0.882
0.033,495.28730602040815,0.0,0.886
0.034,495.28730602040815,0.0,0.888
0.035,495.28730602040815,0.0,0.887
0.036,495.28730602040815,0.0,0.885
0.037,495.28730602040815,0.0,0.887
0.038,495.28730602040815,0.0,0.893
0.039,495.28730602040815,0.0,0.897
0.04,495.28730602040815,499.918,0.902
0.041,495.28730602040815,499.651,0.905
0.042,495.28730602040815,499.414,0.908
0.043,495.28730602040815,499.188,0.909
0.044,495.28730602040815,498.987,0.911
0.045,495.28730602040815,498.807,0.913
0.046,495.28730602040815,498.643,0.915
0.047,495.28730602040815,498.498,0.915
0.048,495.28730602040815,498.373,0.915
0.049,495.28730602040815,498.254,0.914
0.05,495.28730602040815,498.153,0.914
0.051,495.28730602040815,498.067,0.913
0.052,495.28730602040815,497.978,0.911
0.053,495.28730602040815,497.898,0.91
0.054,495.28730602040815,497.832,0.908
0.055,495.28730602040815,497.23,0.907
0.056,495.28730602040815,497.162,0.906
0.057,495.28730602040815,497.105,0.906
0.058,495.28730602040815,497.04,0.906
0.059,495.28730602040815,496.963,0.906
0.06,495.28730602040815,496.89,0.906
0.061,495.28730602040815,496.807,0.906
0.062,495.28730602040815,496.717,0.905
0.063,495.28730602040815,496.629,0.904
0.064,495.28730602040815,496.53,0.903
0.065,495.28730602040815,496.417,0.903
0.066,495.28730602040815,496.298,0.902
0.067,495.28730602040815,496.176,0.901
0.068,495.28730602040815,0.0,0.899
0.069,495.28730602040815,0.0,0.897
0.07,495.28730602040815,0.0,0.895
0.071,495.28730602040815,0.0,0.892
0.072,495.28730602040815,0.0,0.888
0.073,495.28730602040815,0.0,0.883
0.074,495.28730602040815,0.0,0.875
0.075,495.28730602040815,0.0,0.866
0.076,495.28730602040815,0.0,0.857
0.077,495.28730602040815,0.0,0.848
0.078,495.28730602040815,0.0,0.837
0.079,495.28730602040815,0.0,0.828
0.08,495.28730602040815,0.0,0.817
0.081,495.28730602040815,0.0,0.804
0.082,495.28730602040815,0.0,0.791
0.083,495.28730602040815,0.0,0.779
0.084,495.28730602040815,0.0,0.761
0.085,495.28730602040815,0.0,0.744
0.086,495.28730602040815,0.0,0.722
0.087,495.28730602040815,0.0,0.694
0.088,495.28730602040815,0.0,0.66
0.089,495.28730602040815,0.0,0.626
0.09,495.28730602040815,0.0,0.587
0.091,495.28730602040815,0.0,0.563
0.092,495.28730602040815,0.0,0.614
0.093,495.28730602040815,0.0,0.663
0.094,495.28730602040815,0.0,0.702
0.095,495.28730602040815,0.0,0.743
0.096,495.28730602040815,0.0,0.777
0.097,495.28730602040815,0.0,0.805
0.098,495.28730602040815,0.0,0.833
0.099,495.28730602040815,0.0,0.856
0.1,495.28730602040815,0.0,0.874
0.101,495.28730602040815,0.0,0.885
0.102,495.28730602040815,0.0,0.894
0.103,495.28730602040815,0.0,0.899
0.104,495.28730602040815,166.324,0.902
0.105,495.28730602040815,166.381,0.905
0.106,495.28730602040815,166.45,0.909
0.107,495.28730602040815,166.495,0.909
0.108,495.28730602040815,166.527,0.911
0.109,495.28730602040815,166.569,0.912
0.11,495.28730602040815,166.581,0.911
0.111,495.28730602040815,166.576,0.913
0.112,495.28730602040815,166.586,0.915
0.113,495.28730602040815,166.577,0.915
0.114,495.28730602040815,166.551,0.917
0.115,495.28730602040815,166.536,0.918
0.116,495.28730602040815,166.499,0.918
0.117,495.28730602040815,166.449,0.919
0.118,495.28730602040815,166.407,0.921
0.119,495.28730602040815,166.346,0.922
0.12,495.28730602040815,166.275,0.924
0.121,495.28730602040815,166.221,0.927
0.122,495.28730602040815,166.146,0.927
0.123,495.28730602040815,166.064,0.928
0.124,495.28730602040815,166.006,0.93
0.125,495.28730602040815,165.941,0.93
0.126,495.28730602040815,165.871,0.93
0.127,495.28730602040815,165.826,0.931
0.128,495.28730602040815,165.645,0.929
0.129,495.28730602040815,165.596,0.928
0.13,495.28730602040815,165.573,0.928
0.131,495.28730602040815,165.553,0.927
0.132,495.28730602040815,165.542,0.925
0.133,495.28730602040815,165.714,0.925
0.134,495.28730602040815,165.739,0.923
0.135,495.28730602040815,165.774,0.922
0.136,495.28730602040815,165.85,0.924
0.137,495.28730602040815,165.928,0.922
0.138,495.28730602040815,166.01,0.922
0.139,495.28730602040815,166.133,0.923
