time,ref_freq,est_freq,confidence
0.0,0.0,330.909,0.653
0.001,0.0,330.905,0.666
0.002,0.0,330.937,0.677
0.003,0.0,330.892,0.688
0.004,0.0,330.875,0.699
0.005,0.0,330.901,0.711
0.006,0.0,330.848,0.714
0.007,0.0,330.81,0.719
0.008,0.0,330.812,0.727
0.009,0.0,330.751,0.729
0.01,0.0,330.704,0.733
0.011,0.0,330.689,0.742
0.012,0.0,330.613,0.742
0.013,0.0,330.548,0.741
0.014,0.0,330.536,0.748
0.015,0.0,330.466,0.746
0.016,0.0,330.393,0.738
0.017,0.0,330.365,0.738
0.018,0.0,330.293,0.732
0.019,0.0,330.238,0.724
0.02,0.0,330.221,0.717
0.021,0.0,330.15,0.704
0.022,0.0,330.077,0.696
0.023,0.0,330.083,0.69
0.024,0.0,330.038,0.67
0.025,0.0,329.977,0.65
0.026,0.0,330.012,0.634
0.027,0.0,330.016,0.611
0.028,0.0,329.992,0.59
0.029,0.0,330.061,0.573
0.03,0.0,330.093,0.548
0.031,0.0,330.106,0.532
0.032,0.0,330.226,0.521
0.033,0.0,330.308,0.498
0.034,0.0,330.348,0.483
0.035,0.0,330.487,0.48
0.036,0.0,330.598,0.465
0.037,0.0,330.672,0.45
0.038,0.0,330.82,0.439
0.039,0.0,330.942,0.422
0.04,0.0,331.018,0.41
0.041,0.0,331.493,0.405
0.042,0.0,165.23,0.403
0.043,0.0,165.307,0.429
0.044,0.0,165.384,0.452
0.045,0.0,165.41,0.48
0.046,0.0,165.48,0.505
0.047,0.0,165.556,0.526
0.048,0.0,165.568,0.556
0.049,0.0,165.616,0.577
0.05,0.0,165.675,0.597
0.051,0.0,165.68,0.62
0.052,0.0,165.824,0.643
0.053,0.0,165.873,0.658
0.054,0.0,165.862,0.673
0.055,0.0,165.878,0.692
0.056,0.0,165.916,0.701
0.057,0.0,165.892,0.71
0.058,0.0,165.886,0.726
0.059,0.0,165.897,0.728
0.06,0.0,165.735,0.736
0.061,0.0,165.704,0.749
0.062,0.0,165.698,0.757
0.063,0.0,165.634,0.77
0.064,0.0,165.585,0.782
0.065,0.0,165.56,0.789
0.066,0.0,165.478,0.799
0.067,0.0,165.409,0.812
0.068,0.0,165.368,0.818
0.069,0.0,165.273,0.828
0.07,0.0,165.194,0.835
0.071,0.0,165.143,0.839
0.072,0.0,165.039,0.844
0.073,0.0,164.952,0.849
0.074,0.0,164.893,0.851
0.075,0.0,164.796,0.855
0.076,0.0,164.714,0.858
0.077,0.0,164.658,0.86
0.078,0.0,164.568,0.862
0.079,0.0,164.492,0.864
0.08,0.0,164.444,0.864
0.081,0.0,164.371,0.866
0.082,0.0,164.135,0.874
0.083,0.0,164.089,0.875
0.084,0.0,164.029,0.881
0.085,0.0,163.974,0.89
0.086,0.0,163.942,0.89
0.087,0.0,163.902,0.893
0.088,0.0,163.867,0.898
0.089,0.0,163.852,0.896
0.09,0.0,163.832,0.897
0.091,0.0,163.813,0.902
0.092,0.0,163.814,0.898
0.093,0.0,163.814,0.897
0.094,0.0,163.813,0.899
0.095,0.0,163.829,0.894
0.096,0.0,163.848,0.893
0.097,0.0,163.864,0.894
0.098,0.0,163.899,0.888
0.099,0.0,163.936,0.884
0.1,0.0,163.968,0.885
0.101,0.0,164.014,0.878
0.102,0.0,164.061,0.873
0.103,0.0,164.1,0.873
0.104,0.0,164.319,0.867
0.105,0.0,164.368,0.87
0.106,0.0,164.408,0.87
0.107,0.0,164.465,0.87
