time,ref_freq,est_freq,confidence
0.0,0.0,417.965,0.126
0.001,0.0,417.804,0.154
0.002,0.0,417.804,0.183
0.003,0.0,417.879,0.203
0.004,0.0,417.711,0.22
0.005,0.0,417.457,0.241
0.006,0.0,417.388,0.259
0.007,0.0,417.376,0.268
0.008,0.0,417.205,0.286
0.009,0.0,416.996,0.3
0.01,0.0,416.838,0.304
0.011,0.0,414.919,0.313
0.012,0.0,414.758,0.33
0.013,0.0,414.572,0.338
0.014,0.0,414.341,0.339
0.015,0.0,414.175,0.344
0.016,0.0,414.088,0.344
0.017,0.0,413.983,0.336
0.018,0.0,413.862,0.331
0.019,0.0,413.766,0.335
0.02,0.0,413.698,0.338
0.021,0.0,413.625,0.334
0.022,0.0,413.522,0.334
0.023,0.0,413.489,0.336
0.024,0.0,413.477,0.328
0.025,0.0,413.368,0.308
0.026,0.0,413.264,0.295
0.027,0.0,413.278,0.285
0.028,0.0,413.315,0.269
0.029,0.0,413.251,0.255
0.03,0.0,413.209,0.246
0.031,0.0,413.182,0.235
0.032,0.0,413.131,0.227
0.033,0.0,413.071,0.22
0.034,0.0,413.035,0.204
0.035,0.0,412.973,0.19
0.036,0.0,412.884,0.182
0.037,0.0,412.846,0.175
0.038,0.0,412.832,0.165
0.039,0.0,412.767,0.15
0.04,0.0,412.693,0.143
0.041,0.0,412.623,0.133
0.042,0.0,412.538,0.124
0.043,0.0,412.423,0.118
0.044,0.0,412.331,0.109
0.045,0.0,0.0,0.098
0.046,0.0,0.0,0.097
0.047,0.0,0.0,0.096
0.048,0.0,0.0,0.096
0.049,0.0,0.0,0.09
0.05,0.0,0.0,0.086
0.051,0.0,0.0,0.084
0.052,0.0,0.0,0.081
0.053,0.0,0.0,0.078
0.054,0.0,0.0,0.076
0.055,0.0,0.0,0.072
0.056,0.0,0.0,0.067
0.057,0.0,0.0,0.062
0.058,0.0,0.0,0.058
0.059,0.0,0.0,0.054
0.06,0.0,0.0,0.058
0.061,0.0,0.0,0.063
0.062,0.0,0.0,0.065
0.063,0.0,0.0,0.067
0.064,0.0,0.0,0.072
0.065,0.0,0.0,0.077
0.066,0.0,0.0,0.081
0.067,0.0,0.0,0.085
0.068,0.0,0.0,0.09
0.069,0.0,0.0,0.094
0.07,0.0,0.0,0.097
0.071,0.0,788.625,0.101
0.072,0.0,788.552,0.104
0.073,0.0,788.513,0.103
0.074,0.0,788.428,0.105
0.075,0.0,788.332,0.108
0.076,0.0,788.292,0.11
0.077,0.0,788.245,0.106
0.078,0.0,788.173,0.102
0.079,0.0,788.12,0.101
0.08,0.0,788.105,0.102
0.081,0.0,788.06,0.101
0.082,0.0,0.0,0.096
0.083,0.0,0.0,0.092
0.084,0.0,0.0,0.089
0.085,0.0,0.0,0.085
0.086,0.0,0.0,0.079
0.087,0.0,0.0,0.074
0.088,0.0,0.0,0.072
0.089,0.0,0.0,0.07
0.09,0.0,0.0,0.067
0.091,0.0,0.0,0.063
0.092,0.0,0.0,0.059
0.093,0.0,0.0,0.055
0.094,0.0,0.0,0.052
0.095,0.0,0.0,0.049
0.096,0.0,0.0,0.045
0.097,0.0,0.0,0.042
0.098,0.0,0.0,0.041
0.099,0.0,0.0,0.04
0.1,0.0,0.0,0.039
0.101,0.0,0.0,0.039
0.102,0.0,0.0,0.04
0.103,0.0,0.0,0.041
0.104,0.0,0.0,0.043
0.105,0.0,0.0,0.047
0.106,0.0,0.0,0.051
0.107,0.0,0.0,0.056
0.108,0.0,0.0,0.061
0.109,0.0,0.0,0.065
0.11,0.0,0.0,0.07
0.111,0.0,0.0,0.074
0.112,0.0,0.0,0.079
0.113,0.0,0.0,0.082
0.114,0.0,0.0,0.084
0.115,0.0,0.0,0.086
0.116,0.0,0.0,0.085
0.117,0.0,0.0,0.085
0.118,0.0,0.0,0.085
0.119,0.0,0.0,0.085
0.12,0.0,0.0,0.084
0.121,0.0,0.0,0.082
0.122,0.0,0.0,0.081
0.123,0.0,0.0,0.078
0.124,0.0,0.0,0.073
0.125,0.0,0.0,0.069
0.126,0.0,0.0,0.065
0.127,0.0,0.0,0.06
0.128,0.0,0.0,0.056
0.129,0.0,0.0,0.053
0.13,0.0,0.0,0.053
0.131,0.0,0.0,0.054
0.132,0.0,0.0,0.054
0.133,0.0,0.0,0.054
0.134,0.0,0.0,0.054
0.135,0.0,0.0,0.054
0.136,0.0,0.0,0.054
0.137,0.0,0.0,0.053
0.138,0.0,0.0,0.053
0.139,0.0,0.0,0.052
0.14,0.0,0.0,0.051
0.141,0.0,0.0,0.052
0.142,0.0,0.0,0.052
0.143,0.0,0.0,0.054
0.144,0.0,0.0,0.055
0.145,0.0,0.0,0.057
0.146,0.0,0.0,0.058
0.147,0.0,0.0,0.06
0.148,0.0,0.0,0.062
0.149,0.0,0.0,0.064
0.15,0.0,0.0,0.065
0.151,0.0,0.0,0.067
0.152,0.0,0.0,0.069
0.153,0.0,0.0,0.071
0.154,0.0,0.0,0.073
0.155,0.0,0.0,0.075
0.156,0.0,0.0,0.076
0.157,0.0,0.0,0.077
0.158,0.0,0.0,0.078
0.159,0.0,0.0,0.079
0.16,0.0,0.0,0.079
0.161,0.0,0.0,0.078
0.162,0.0,0.0,0.076
0.163,0.0,0.0,0.075
0.164,0.0,0.0,0.073
0.165,0.0,0.0,0.071
0.166,0.0,0.0,0.068
0.167,0.0,0.0,0.066
0.168,0.0,0.0,0.063
0.169,0.0,0.0,0.064
0.17,0.0,0.0,0.071
0.171,0.0,0.0,0.08
0.172,0.0,0.0,0.09
0.173,0.0,365.838,0.103
0.174,0.0,365.755,0.117
0.175,0.0,365.686,0.132
0.176,0.0,365.625,0.149
0.177,0.0,365.576,0.167
0.178,0.0,365.506,0.188
0.179,0.0,359.57,0.207
0.18,0.0,363.27,0.226
0.181,0.0,363.22,0.24
0.182,0.0,359.43,0.254
0.183,0.0,359.377,0.263
0.184,0.0,361.109,0.265
0.185,0.0,359.216,0.271
0.186,0.0,359.128,0.275
0.187,0.0,359.044,0.278
0.188,0.0,358.931,0.284
0.189,0.0,358.8,0.29
0.19,0.0,358.674,0.299
0.191,0.0,358.522,0.309
0.192,0.0,358.338,0.311
