time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.163
0.001,0.0,0.0,0.167
0.002,0.0,0.0,0.171
0.003,0.0,0.0,0.167
0.004,0.0,0.0,0.171
0.005,0.0,0.0,0.171
0.006,0.0,0.0,0.169
0.007,0.0,0.0,0.162
0.008,0.0,0.0,0.159
0.009,0.0,0.0,0.149
0.01,0.0,0.0,0.141
0.011,0.0,0.0,0.134
0.012,0.0,0.0,0.122
0.013,0.0,0.0,0.116
0.014,0.0,0.0,0.114
0.015,0.0,0.0,0.113
0.016,0.0,0.0,0.112
0.017,0.0,0.0,0.108
0.018,0.0,0.0,0.104
0.019,0.0,0.0,0.103
0.02,0.0,0.0,0.1
0.021,0.0,0.0,0.095
0.022,0.0,0.0,0.089
0.023,0.0,0.0,0.085
0.024,0.0,0.0,0.077
0.025,0.0,0.0,0.071
0.026,0.0,0.0,0.07
0.027,0.0,0.0,0.067
0.028,0.0,0.0,0.064
0.029,0.0,0.0,0.061
0.03,0.0,0.0,0.058
0.031,0.0,0.0,0.055
0.032,0.0,0.0,0.051
0.033,0.0,0.0,0.051
0.034,0.0,0.0,0.054
0.035,0.0,0.0,0.059
0.036,0.0,0.0,0.071
0.037,0.0,0.0,0.088
0.038,0.0,0.0,0.105
0.039,0.0,0.0,0.127
0.04,0.0,0.0,0.163
0.041,0.0,488.122,0.206
0.042,0.0,488.223,0.245
0.043,0.0,488.169,0.292
0.044,0.0,488.005,0.355
0.045,0.0,487.851,0.415
0.046,0.0,487.729,0.463
0.047,0.0,487.682,0.527
0.048,0.0,487.651,0.59
0.049,0.0,487.639,0.636
0.05,0.0,487.572,0.668
0.051,0.0,487.632,0.701
0.052,0.0,487.764,0.731
0.053,0.0,487.884,0.746
0.054,0.0,487.974,0.76
0.055,0.0,488.179,0.776
0.056,0.0,488.488,0.788
0.057,0.0,488.818,0.793
0.058,0.0,489.139,0.797
0.059,0.0,489.561,0.801
0.06,0.0,491.113,0.806
0.061,0.0,491.609,0.813
0.062,0.0,492.133,0.815
0.063,0.0,492.753,0.816
0.064,0.0,493.471,0.815
0.065,0.0,495.148,0.813
0.066,0.0,495.939,0.821
0.067,0.0,496.742,0.821
0.068,0.0,497.561,0.814
0.069,0.0,499.263,0.809
0.07,0.0,500.115,0.815
0.071,0.0,500.955,0.815
0.072,0.0,501.819,0.802
0.073,0.0,504.35,0.791
0.074,0.0,505.204,0.807
0.075,0.0,506.108,0.819
0.076,0.0,507.004,0.826
0.077,0.0,507.853,0.82
0.078,0.0,509.41,0.809
0.079,0.0,510.196,0.822
0.08,0.0,510.929,0.83
0.081,0.0,512.398,0.851
0.082,0.0,513.042,0.867
0.083,0.0,513.574,0.875
0.084,988.7286244530331,514.03,0.879
0.085,988.7286244530331,514.425,0.877
0.086,988.7286244530331,514.804,0.874
0.087,988.7286244530331,515.115,0.871
0.088,988.7286244530331,515.399,0.869
0.089,988.7286244530331,515.652,0.864
0.09,988.7286244530331,516.476,0.865
0.091,988.7286244530331,516.656,0.867
0.092,988.7286244530331,516.827,0.869
0.093,988.7286244530331,516.989,0.868
0.094,988.7286244530331,517.146,0.868
0.095,988.7286244530331,517.275,0.868
0.096,988.7286244530331,517.398,0.868
0.097,988.7286244530331,517.516,0.867
0.098,988.7286244530331,517.63,0.866
0.099,988.7286244530331,517.725,0.865
0.1,988.7286244530331,517.815,0.864
0.101,988.7286244530331,517.899,0.86
0.102,988.7286244530331,517.976,0.857
0.103,988.7286244530331,518.055,0.855
0.104,988.7286244530331,518.127,0.852
0.105,988.7286244530331,518.198,0.846
0.106,988.7286244530331,518.258,0.842
0.107,988.7286244530331,518.321,0.835
0.108,988.7286244530331,518.373,0.827
0.109,988.7286244530331,518.416,0.817
0.11,988.7286244530331,518.447,0.808
0.111,988.7286244530331,519.507,0.798
0.112,988.7286244530331,519.579,0.787
0.113,988.7286244530331,519.656,0.773
0.114,988.7286244530331,519.728,0.758
0.115,988.7286244530331,519.796,0.741
0.116,988.7286244530331,519.867,0.72
0.117,988.7286244530331,519.935,0.697
0.118,988.7286244530331,520.015,0.672
0.119,988.7286244530331,520.103,0.645
0.12,988.7286244530331,520.193,0.614
0.121,988.7286244530331,518.428,0.582
0.122,988.7286244530331,518.449,0.551
0.123,988.7286244530331,518.483,0.522
0.124,988.7286244530331,516.377,0.492
0.125,988.7286244530331,516.347,0.458
0.126,988.7286244530331,516.323,0.423
0.127,988.7286244530331,516.325,0.385
0.128,988.7286244530331,516.341,0.352
0.129,988.7286244530331,524.264,0.323
0.13,988.7286244530331,524.617,0.306
0.131,988.7286244530331,524.955,0.293
0.132,988.7286244530331,525.302,0.282
0.133,988.7286244530331,525.641,0.274
0.134,988.7286244530331,525.962,0.267
0.135,988.7286244530331,526.238,0.263
0.136,988.7286244530331,526.499,0.26
0.137,988.7286244530331,526.74,0.259
0.138,988.7286244530331,526.953,0.261
0.139,988.7286244530331,527.129,0.264
0.14,988.7286244530331,527.283,0.268
0.141,988.7286244530331,532.447,0.273
0.142,988.7286244530331,532.499,0.282
0.143,988.7286244530331,532.548,0.292
0.144,988.7286244530331,532.597,0.298
0.145,988.7286244530331,532.646,0.304
0.146,988.7286244530331,532.682,0.308
0.147,988.7286244530331,532.715,0.311
0.148,988.7286244530331,532.731,0.312
0.149,988.7286244530331,532.734,0.314
0.15,988.7286244530331,532.715,0.313
0.151,988.7286244530331,532.68,0.313
0.152,988.7286244530331,532.621,0.312
0.153,988.7286244530331,532.563,0.31
0.154,988.7286244530331,532.496,0.307
0.155,988.7286244530331,532.431,0.305
0.156,988.7286244530331,532.354,0.301
0.157,988.7286244530331,532.287,0.298
0.158,988.7286244530331,532.202,0.295
0.159,988.7286244530331,532.122,0.293
0.16,988.7286244530331,532.036,0.292
0.161,988.7286244530331,527.31,0.291
0.162,988.7286244530331,527.206,0.294
0.163,988.7286244530331,527.083,0.295
0.164,988.7286244530331,526.955,0.297
0.165,988.7286244530331,526.827,0.297
0.166,988.7286244530331,526.694,0.295
0.167,988.7286244530331,526.55,0.291
0.168,988.7286244530331,526.42,0.286
0.169,988.7286244530331,526.298,0.278
0.17,988.7286244530331,526.173,0.269
0.171,988.7286244530331,526.047,0.259
0.172,988.7286244530331,525.942,0.248
0.173,988.7286244530331,525.837,0.237
0.174,988.7286244530331,525.737,0.226
0.175,988.7286244530331,525.652,0.216
0.176,988.7286244530331,525.597,0.207
0.177,988.7286244530331,0.0,0.198
0.178,988.7286244530331,0.0,0.19
0.179,988.7286244530331,0.0,0.183
0.18,988.7286244530331,0.0,0.175
0.181,988.7286244530331,0.0,0.169
0.182,988.7286244530331,0.0,0.164
0.183,988.7286244530331,0.0,0.159
0.184,988.7286244530331,0.0,0.155
0.185,988.7286244530331,0.0,0.151
0.186,988.7286244530331,0.0,0.149
0.187,988.7286244530331,0.0,0.148
0.188,988.7286244530331,0.0,0.152
0.189,988.7286244530331,0.0,0.155
0.19,988.7286244530331,0.0,0.159
0.191,988.7286244530331,0.0,0.162
0.192,988.7286244530331,0.0,0.163
0.193,988.7286244530331,0.0,0.163
0.194,988.7286244530331,0.0,0.165
0.195,988.7286244530331,0.0,0.166
0.196,988.7286244530331,0.0,0.168
0.197,988.7286244530331,0.0,0.169
0.198,988.7286244530331,0.0,0.167
0.199,988.7286244530331,0.0,0.165
0.2,988.7286244530331,0.0,0.163
0.201,988.7286244530331,0.0,0.16
0.202,988.7286244530331,0.0,0.154
0.203,988.7286244530331,0.0,0.149
0.204,988.7286244530331,0.0,0.149
0.205,988.7286244530331,0.0,0.155
0.206,988.7286244530331,0.0,0.158
0.207,988.7286244530331,0.0,0.16
0.208,988.7286244530331,0.0,0.164
0.209,988.7286244530331,0.0,0.167
0.21,988.7286244530331,0.0,0.169
0.211,988.7286244530331,0.0,0.171
0.212,988.7286244530331,0.0,0.174
0.213,988.7286244530331,0.0,0.171
0.214,988.7286244530331,0.0,0.171
