time,ref_freq,est_freq,confidence
0.0,0.0,203.594,0.248
0.001,0.0,203.744,0.267
0.002,0.0,203.79,0.288
0.003,0.0,203.798,0.307
0.004,0.0,203.821,0.317
0.005,0.0,203.844,0.326
0.006,0.0,203.846,0.334
0.007,0.0,203.759,0.328
0.008,0.0,203.678,0.306
0.009,0.0,203.601,0.285
0.01,0.0,203.539,0.266
0.011,0.0,201.218,0.233
0.012,0.0,199.723,0.204
0.013,0.0,0.0,0.18
0.014,0.0,0.0,0.16
0.015,0.0,0.0,0.138
0.016,0.0,0.0,0.134
0.017,0.0,0.0,0.151
0.018,0.0,0.0,0.163
0.019,0.0,0.0,0.166
0.02,0.0,0.0,0.179
0.021,0.0,175.54,0.224
0.022,0.0,175.314,0.28
0.023,0.0,174.274,0.325
0.024,0.0,174.047,0.369
0.025,0.0,173.865,0.404
0.026,0.0,173.679,0.427
0.027,0.0,173.444,0.436
0.028,0.0,173.229,0.429
0.029,0.0,173.075,0.413
0.03,0.0,172.895,0.384
0.031,0.0,167.756,0.384
0.032,0.0,166.541,0.409
0.033,0.0,165.574,0.422
0.034,0.0,165.378,0.405
0.035,0.0,165.158,0.371
0.036,0.0,164.938,0.325
0.037,0.0,164.769,0.27
0.038,0.0,164.625,0.205
0.039,0.0,0.0,0.15
0.04,0.0,0.0,0.152
0.041,0.0,0.0,0.179
0.042,0.0,144.681,0.211
0.043,0.0,144.571,0.238
0.044,0.0,142.512,0.251
0.045,0.0,142.414,0.261
0.046,0.0,141.718,0.281
0.047,0.0,141.653,0.301
0.048,0.0,141.573,0.304
0.049,0.0,141.464,0.303
0.05,0.0,141.369,0.299
0.051,0.0,141.328,0.288
0.052,0.0,141.3,0.262
0.053,0.0,141.243,0.242
0.054,0.0,141.219,0.223
0.055,0.0,141.239,0.202
0.056,0.0,0.0,0.179
0.057,0.0,0.0,0.164
0.058,0.0,0.0,0.146
0.059,0.0,0.0,0.129
0.06,0.0,0.0,0.12
0.061,0.0,0.0,0.11
0.062,0.0,0.0,0.101
0.063,0.0,0.0,0.094
0.064,0.0,0.0,0.082
0.065,0.0,0.0,0.069
0.066,0.0,0.0,0.058
0.067,0.0,0.0,0.05
0.068,0.0,0.0,0.055
0.069,0.0,0.0,0.065
0.07,0.0,0.0,0.077
0.071,0.0,0.0,0.086
0.072,0.0,0.0,0.098
0.073,0.0,0.0,0.111
0.074,0.0,0.0,0.12
0.075,0.0,0.0,0.126
0.076,0.0,0.0,0.139
0.077,0.0,0.0,0.153
0.078,0.0,0.0,0.167
0.079,0.0,0.0,0.176
0.08,0.0,0.0,0.184
0.081,0.0,201.597,0.202
0.082,0.0,201.443,0.218
0.083,0.0,201.291,0.221
0.084,0.0,201.062,0.228
0.085,0.0,200.792,0.243
0.086,0.0,200.587,0.245
0.087,0.0,199.622,0.25
0.088,0.0,199.47,0.248
0.089,0.0,199.296,0.236
0.09,0.0,198.395,0.22
0.091,0.0,199.106,0.211
0.092,0.0,199.033,0.204
0.093,0.0,0.0,0.188
