time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.242
0.001,0.0,0.0,0.241
0.002,0.0,0.0,0.249
0.003,0.0,0.0,0.26
0.004,0.0,0.0,0.264
0.005,0.0,0.0,0.261
0.006,0.0,0.0,0.254
0.007,0.0,0.0,0.249
0.008,0.0,0.0,0.249
0.009,0.0,0.0,0.25
0.01,0.0,0.0,0.258
0.011,0.0,0.0,0.267
0.012,0.0,0.0,0.283
0.013,0.0,0.0,0.309
0.014,0.0,0.0,0.328
0.015,0.0,0.0,0.356
0.016,0.0,0.0,0.384
0.017,0.0,0.0,0.414
0.018,0.0,0.0,0.443
0.019,0.0,0.0,0.482
0.02,0.0,124.204,0.523
0.021,0.0,124.22,0.569
0.022,0.0,124.253,0.603
0.023,0.0,124.295,0.624
0.024,0.0,124.318,0.633
0.025,0.0,124.302,0.648
0.026,0.0,124.282,0.663
0.027,0.0,124.275,0.677
0.028,0.0,124.278,0.68
0.029,0.0,124.266,0.682
0.03,0.0,124.275,0.675
0.031,0.0,124.291,0.676
0.032,0.0,124.302,0.664
0.033,0.0,124.29,0.656
0.034,0.0,124.292,0.655
0.035,0.0,124.302,0.659
0.036,0.0,124.321,0.659
0.037,0.0,124.317,0.665
0.038,0.0,124.338,0.668
0.039,0.0,124.351,0.678
0.04,0.0,124.342,0.691
0.041,0.0,124.304,0.698
0.042,0.0,124.268,0.704
0.043,0.0,124.232,0.715
0.044,0.0,124.187,0.72
0.045,0.0,124.114,0.719
0.046,0.0,124.05,0.712
0.047,0.0,123.979,0.713
0.048,0.0,123.62,0.718
0.049,0.0,123.521,0.72
0.05,0.0,123.43,0.715
0.051,0.0,123.329,0.702
0.052,0.0,122.96,0.689
0.053,0.0,122.812,0.693
0.054,0.0,122.694,0.696
0.055,0.0,122.581,0.696
0.056,0.0,122.447,0.687
0.057,0.0,122.343,0.664
0.058,0.0,122.278,0.639
0.059,0.0,122.223,0.615
0.06,0.0,121.772,0.586
0.061,0.0,121.698,0.566
0.062,0.0,121.653,0.553
0.063,0.0,121.185,0.543
0.064,0.0,121.131,0.547
0.065,0.0,121.134,0.549
0.066,0.0,121.6,0.529
0.067,0.0,121.622,0.512
0.068,0.0,0.0,0.494
0.069,0.0,0.0,0.482
0.07,0.0,0.0,0.468
0.071,0.0,0.0,0.461
0.072,0.0,0.0,0.46
0.073,0.0,0.0,0.457
0.074,0.0,0.0,0.436
0.075,0.0,0.0,0.412
0.076,0.0,0.0,0.392
0.077,0.0,0.0,0.36
0.078,0.0,0.0,0.329
0.079,0.0,0.0,0.311
0.08,0.0,0.0,0.297
0.081,0.0,0.0,0.272
0.082,0.0,0.0,0.245
0.083,0.0,0.0,0.221
0.084,0.0,0.0,0.205
0.085,0.0,0.0,0.191
0.086,0.0,0.0,0.178
0.087,0.0,0.0,0.17
0.088,0.0,0.0,0.168
0.089,0.0,0.0,0.165
0.09,0.0,0.0,0.162
0.091,0.0,0.0,0.155
0.092,0.0,0.0,0.15
0.093,0.0,0.0,0.151
0.094,0.0,0.0,0.157
0.095,0.0,0.0,0.165
0.096,0.0,0.0,0.178
0.097,0.0,0.0,0.194
0.098,0.0,0.0,0.208
0.099,0.0,0.0,0.223
0.1,0.0,0.0,0.236
0.101,0.0,0.0,0.254
0.102,0.0,0.0,0.279
0.103,0.0,0.0,0.311
0.104,0.0,0.0,0.346
0.105,0.0,0.0,0.376
0.106,0.0,0.0,0.402
0.107,0.0,0.0,0.426
0.108,0.0,0.0,0.443
0.109,0.0,0.0,0.456
0.11,0.0,0.0,0.468
0.111,0.0,0.0,0.483
0.112,0.0,0.0,0.497
0.113,0.0,0.0,0.492
0.114,0.0,0.0,0.485
0.115,0.0,0.0,0.486
0.116,0.0,0.0,0.484
0.117,0.0,0.0,0.474
0.118,0.0,0.0,0.466
0.119,0.0,0.0,0.468
0.12,0.0,0.0,0.471
0.121,0.0,0.0,0.458
0.122,0.0,0.0,0.436
