time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.28
0.001,0.0,0.0,0.289
0.002,0.0,0.0,0.3
0.003,0.0,0.0,0.309
0.004,0.0,0.0,0.308
0.005,0.0,0.0,0.311
0.006,0.0,0.0,0.312
0.007,0.0,0.0,0.319
0.008,0.0,0.0,0.319
0.009,0.0,0.0,0.319
0.01,0.0,0.0,0.332
0.011,0.0,0.0,0.35
0.012,0.0,0.0,0.367
0.013,0.0,0.0,0.392
0.014,0.0,0.0,0.414
0.015,0.0,0.0,0.437
0.016,0.0,0.0,0.445
0.017,0.0,0.0,0.453
0.018,0.0,0.0,0.464
0.019,0.0,0.0,0.482
0.02,0.0,0.0,0.484
0.021,0.0,0.0,0.492
0.022,0.0,0.0,0.498
0.023,0.0,0.0,0.506
0.024,0.0,0.0,0.515
0.025,0.0,0.0,0.523
0.026,0.0,0.0,0.528
0.027,0.0,0.0,0.534
0.028,0.0,0.0,0.536
0.029,0.0,0.0,0.532
0.03,0.0,0.0,0.532
0.031,0.0,0.0,0.531
0.032,0.0,0.0,0.528
0.033,0.0,0.0,0.508
0.034,0.0,0.0,0.497
0.035,0.0,0.0,0.48
0.036,0.0,0.0,0.459
0.037,0.0,0.0,0.425
0.038,0.0,0.0,0.41
0.039,0.0,0.0,0.392
0.04,0.0,0.0,0.374
0.041,0.0,0.0,0.365
0.042,0.0,0.0,0.359
0.043,0.0,0.0,0.345
0.044,0.0,0.0,0.331
0.045,0.0,0.0,0.326
0.046,0.0,0.0,0.321
0.047,0.0,0.0,0.314
0.048,0.0,0.0,0.318
0.049,0.0,0.0,0.326
0.05,0.0,0.0,0.323
0.051,0.0,0.0,0.318
0.052,0.0,0.0,0.32
0.053,0.0,0.0,0.321
0.054,0.0,0.0,0.308
0.055,0.0,0.0,0.293
0.056,0.0,0.0,0.301
0.057,0.0,0.0,0.311
0.058,0.0,0.0,0.301
0.059,0.0,0.0,0.285
0.06,0.0,0.0,0.275
0.061,0.0,0.0,0.288
0.062,0.0,0.0,0.329
0.063,0.0,0.0,0.357
0.064,0.0,0.0,0.387
0.065,0.0,0.0,0.402
0.066,0.0,0.0,0.409
0.067,0.0,0.0,0.421
0.068,0.0,0.0,0.462
0.069,0.0,0.0,0.509
0.07,0.0,0.0,0.548
0.071,0.0,0.0,0.563
0.072,0.0,0.0,0.577
0.073,0.0,0.0,0.59
0.074,0.0,0.0,0.597
0.075,0.0,0.0,0.592
0.076,0.0,0.0,0.607
0.077,0.0,0.0,0.624
0.078,0.0,0.0,0.642
0.079,0.0,0.0,0.638
0.08,0.0,0.0,0.633
0.081,0.0,0.0,0.632
0.082,0.0,0.0,0.63
0.083,0.0,0.0,0.618
0.084,0.0,0.0,0.62
0.085,0.0,0.0,0.633
0.086,0.0,0.0,0.639
0.087,0.0,0.0,0.632
0.088,0.0,0.0,0.639
0.089,0.0,0.0,0.656
0.09,0.0,0.0,0.663
0.091,0.0,0.0,0.653
0.092,0.0,0.0,0.657
0.093,0.0,0.0,0.679
0.094,0.0,0.0,0.702
0.095,0.0,0.0,0.71
0.096,0.0,0.0,0.722
0.097,0.0,0.0,0.733
0.098,0.0,0.0,0.733
0.099,0.0,0.0,0.723
0.1,0.0,0.0,0.726
0.101,0.0,0.0,0.742
0.102,0.0,0.0,0.756
0.103,0.0,0.0,0.759
0.104,0.0,0.0,0.766
0.105,0.0,0.0,0.775
0.106,0.0,0.0,0.776
0.107,0.0,0.0,0.768
0.108,0.0,0.0,0.76
0.109,0.0,0.0,0.764
0.11,0.0,0.0,0.771
0.111,0.0,0.0,0.774
0.112,0.0,0.0,0.776
0.113,0.0,0.0,0.775
0.114,0.0,0.0,0.77
0.115,0.0,0.0,0.76
0.116,0.0,0.0,0.755
0.117,0.0,0.0,0.754
0.118,0.0,0.0,0.756
0.119,0.0,0.0,0.755
0.12,0.0,0.0,0.755
0.121,0.0,0.0,0.756
0.122,0.0,0.0,0.762
0.123,0.0,0.0,0.758
0.124,0.0,0.0,0.751
0.125,0.0,0.0,0.752
0.126,0.0,0.0,0.759
0.127,0.0,0.0,0.76
0.128,0.0,0.0,0.768
0.129,0.0,0.0,0.781
0.13,0.0,0.0,0.792
0.131,0.0,0.0,0.787
0.132,0.0,0.0,0.784
0.133,0.0,0.0,0.782
0.134,0.0,0.0,0.78
0.135,0.0,0.0,0.779
0.136,0.0,0.0,0.783
0.137,0.0,0.0,0.781
0.138,0.0,0.0,0.783
0.139,0.0,0.0,0.779
0.14,0.0,0.0,0.765
0.141,0.0,0.0,0.744
0.142,0.0,0.0,0.722
0.143,0.0,0.0,0.705
0.144,0.0,0.0,0.692
0.145,0.0,0.0,0.685
0.146,0.0,0.0,0.682
0.147,0.0,0.0,0.664
0.148,0.0,0.0,0.636
0.149,0.0,0.0,0.614
0.15,0.0,0.0,0.59
0.151,0.0,0.0,0.561
0.152,0.0,0.0,0.551
0.153,0.0,0.0,0.541
0.154,0.0,0.0,0.521
0.155,0.0,0.0,0.514
0.156,0.0,0.0,0.51
0.157,0.0,0.0,0.492
0.158,0.0,0.0,0.475
0.159,0.0,0.0,0.465
0.16,0.0,0.0,0.472
0.161,0.0,0.0,0.483
0.162,0.0,0.0,0.5
0.163,0.0,0.0,0.52
0.164,0.0,0.0,0.526
0.165,0.0,0.0,0.52
0.166,0.0,0.0,0.518
0.167,0.0,0.0,0.518
0.168,0.0,0.0,0.523
