time,ref_freq,est_freq,confidence
0.0,0.0,200.278,0.089
0.001,0.0,200.183,0.093
0.002,0.0,200.119,0.097
0.003,0.0,200.119,0.1
0.004,0.0,200.064,0.101
0.005,0.0,199.947,0.096
0.006,0.0,199.852,0.089
0.007,0.0,196.992,0.087
0.008,0.0,196.859,0.088
0.009,0.0,196.781,0.09
0.01,0.0,196.683,0.09
0.011,0.0,196.52,0.089
0.012,0.0,196.391,0.092
0.013,0.0,196.328,0.094
0.014,0.0,196.245,0.093
0.015,0.0,196.095,0.089
0.016,0.0,190.201,0.089
0.017,0.0,190.198,0.093
0.018,0.0,190.202,0.096
0.019,0.0,190.186,0.101
0.02,0.0,190.119,0.104
0.021,0.0,190.035,0.106
0.022,0.0,190.009,0.108
0.023,0.0,190.006,0.108
0.024,0.0,189.974,0.107
0.025,0.0,189.955,0.107
0.026,0.0,189.016,0.105
0.027,0.0,189.011,0.104
0.028,0.0,189.963,0.102
0.029,0.0,189.999,0.1
0.03,0.0,189.056,0.094
0.031,0.0,189.039,0.088
0.032,0.0,190.016,0.076
0.033,0.0,48.815,0.079
0.034,0.0,48.828,0.08
0.035,0.0,48.84,0.077
0.036,0.0,49.006,0.077
0.037,0.0,49.02,0.081
0.038,0.0,49.043,0.084
0.039,0.0,49.071,0.089
0.04,0.0,49.094,0.095
0.041,0.0,49.104,0.098
0.042,0.0,49.111,0.101
0.043,0.0,49.123,0.105
0.044,0.0,49.135,0.108
0.045,0.0,49.143,0.11
0.046,0.0,49.147,0.11
0.047,0.0,49.15,0.112
0.048,0.0,49.149,0.116
0.049,0.0,49.331,0.117
0.05,0.0,49.336,0.119
0.051,0.0,49.341,0.118
0.052,0.0,49.138,0.118
0.053,0.0,49.127,0.119
0.054,0.0,49.115,0.119
0.055,0.0,49.104,0.116
0.056,0.0,49.094,0.113
0.057,0.0,49.083,0.119
0.058,0.0,49.068,0.127
0.059,0.0,48.825,0.135
0.06,0.0,48.822,0.142
0.061,0.0,48.61,0.152
0.062,0.0,48.807,0.165
0.063,0.0,48.796,0.179
0.064,0.0,48.572,0.19
0.065,0.0,48.56,0.202
0.066,0.0,48.758,0.219
0.067,0.0,48.759,0.234
0.068,0.0,48.756,0.253
0.069,0.0,48.748,0.272
0.07,0.0,48.741,0.283
0.071,0.0,48.736,0.288
0.072,0.0,48.728,0.297
0.073,0.0,48.717,0.301
0.074,0.0,48.703,0.299
0.075,0.0,48.694,0.304
0.076,0.0,48.694,0.314
0.077,0.0,48.695,0.307
0.078,0.0,48.702,0.306
0.079,0.0,48.7,0.322
0.08,0.0,48.695,0.334
0.081,0.0,48.695,0.334
0.082,0.0,48.702,0.331
0.083,0.0,48.7,0.341
0.084,0.0,48.696,0.354
0.085,0.0,48.697,0.366
0.086,0.0,48.709,0.377
0.087,0.0,48.725,0.381
0.088,0.0,48.74,0.379
0.089,0.0,48.745,0.389
0.09,0.0,48.747,0.41
0.091,0.0,48.763,0.424
0.092,0.0,48.917,0.442
0.093,0.0,48.928,0.452
0.094,0.0,48.934,0.451
0.095,0.0,48.943,0.462
0.096,0.0,48.956,0.478
0.097,0.0,48.973,0.491
0.098,0.0,48.987,0.486
0.099,0.0,48.989,0.492
0.1,0.0,48.984,0.506
0.101,0.0,48.984,0.521
0.102,0.0,48.989,0.533
0.103,0.0,48.993,0.535
0.104,0.0,48.988,0.535
0.105,0.0,48.985,0.54
0.106,0.0,48.983,0.541
0.107,0.0,48.981,0.547
0.108,0.0,48.981,0.554
0.109,0.0,48.979,0.548
0.11,0.0,48.975,0.547
0.111,0.0,48.966,0.566
0.112,0.0,48.965,0.581
0.113,0.0,48.972,0.584
0.114,0.0,48.972,0.58
0.115,0.0,48.958,0.586
0.116,0.0,48.952,0.59
0.117,0.0,48.959,0.599
0.118,0.0,48.969,0.612
0.119,0.0,48.966,0.609
0.12,0.0,48.956,0.612
0.121,0.0,48.954,0.623
0.122,0.0,48.962,0.635
0.123,0.0,48.972,0.642
0.124,0.0,48.975,0.648
0.125,0.0,48.976,0.644
0.126,0.0,48.983,0.644
0.127,0.0,48.994,0.645
0.128,0.0,49.004,0.649
0.129,0.0,49.016,0.626
0.13,0.0,49.021,0.607
0.131,0.0,49.022,0.603
0.132,0.0,49.037,0.607
0.133,0.0,49.052,0.59
0.134,0.0,49.056,0.569
0.135,0.0,49.053,0.562
0.136,0.0,49.04,0.564
0.137,0.0,49.029,0.558
0.138,0.0,49.028,0.545
0.139,0.0,49.026,0.542
0.14,0.0,49.003,0.542
0.141,0.0,48.83,0.535
0.142,0.0,48.817,0.53
0.143,0.0,48.803,0.536
0.144,0.0,48.772,0.533
0.145,0.0,48.739,0.512
0.146,0.0,48.715,0.494
0.147,0.0,48.696,0.502
0.148,0.0,48.674,0.493
0.149,0.0,48.656,0.457
0.15,0.0,48.635,0.433
0.151,0.0,48.611,0.422
0.152,0.0,48.594,0.408
0.153,0.0,48.587,0.389
0.154,0.0,48.573,0.372
0.155,0.0,48.442,0.352
0.156,0.0,48.422,0.334
0.157,0.0,48.408,0.334
0.158,0.0,48.397,0.337
0.159,0.0,48.385,0.333
0.16,0.0,48.37,0.329
0.161,0.0,48.348,0.343
0.162,0.0,48.332,0.359
0.163,0.0,48.325,0.361
0.164,0.0,48.316,0.356
0.165,0.0,48.299,0.357
0.166,0.0,48.28,0.355
0.167,0.0,48.274,0.355
0.168,0.0,48.276,0.372
0.169,0.0,48.272,0.372
0.17,0.0,48.264,0.347
0.171,0.0,48.258,0.339
0.172,0.0,48.256,0.349
0.173,0.0,48.255,0.328
0.174,0.0,48.258,0.304
