time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.077
0.001,0.0,0.0,0.079
0.002,0.0,0.0,0.083
0.003,0.0,0.0,0.088
0.004,0.0,0.0,0.092
0.005,0.0,0.0,0.095
0.006,0.0,0.0,0.096
0.007,0.0,0.0,0.098
0.008,0.0,0.0,0.101
0.009,0.0,0.0,0.107
0.01,0.0,0.0,0.111
0.011,0.0,0.0,0.112
0.012,0.0,0.0,0.117
0.013,0.0,0.0,0.125
0.014,0.0,0.0,0.13
0.015,0.0,0.0,0.132
0.016,0.0,0.0,0.131
0.017,0.0,0.0,0.133
0.018,0.0,0.0,0.133
0.019,0.0,0.0,0.123
0.02,0.0,0.0,0.112
0.021,0.0,0.0,0.102
0.022,0.0,0.0,0.094
0.023,0.0,0.0,0.088
0.024,0.0,0.0,0.083
0.025,0.0,0.0,0.089
0.026,0.0,0.0,0.093
0.027,0.0,0.0,0.096
0.028,0.0,0.0,0.099
0.029,0.0,0.0,0.11
0.03,0.0,0.0,0.123
0.031,0.0,0.0,0.125
0.032,0.0,0.0,0.127
0.033,0.0,0.0,0.133
0.034,0.0,0.0,0.144
0.035,0.0,0.0,0.154
0.036,0.0,0.0,0.16
0.037,0.0,0.0,0.165
0.038,0.0,0.0,0.167
0.039,0.0,0.0,0.17
0.04,0.0,0.0,0.172
0.041,0.0,0.0,0.171
0.042,0.0,0.0,0.162
0.043,0.0,0.0,0.15
0.044,0.0,0.0,0.143
0.045,0.0,0.0,0.135
0.046,0.0,0.0,0.118
0.047,0.0,0.0,0.101
0.048,0.0,0.0,0.088
0.049,0.0,0.0,0.075
0.05,0.0,0.0,0.067
0.051,0.0,0.0,0.074
0.052,0.0,0.0,0.08
0.053,0.0,0.0,0.084
0.054,0.0,0.0,0.089
0.055,0.0,0.0,0.096
0.056,0.0,0.0,0.104
0.057,0.0,0.0,0.107
0.058,0.0,0.0,0.103
0.059,0.0,0.0,0.113
0.06,0.0,0.0,0.123
0.061,0.0,0.0,0.121
0.062,0.0,0.0,0.118
0.063,0.0,0.0,0.125
0.064,0.0,0.0,0.127
0.065,0.0,0.0,0.119
0.066,0.0,0.0,0.117
0.067,0.0,0.0,0.116
0.068,0.0,0.0,0.136
0.069,0.0,0.0,0.156
0.07,0.0,0.0,0.172
0.071,0.0,0.0,0.186
0.072,0.0,0.0,0.198
0.073,0.0,0.0,0.208
0.074,0.0,0.0,0.217
0.075,0.0,0.0,0.229
0.076,0.0,0.0,0.237
0.077,0.0,0.0,0.236
0.078,0.0,0.0,0.235
0.079,0.0,0.0,0.23
0.08,0.0,0.0,0.223
0.081,0.0,0.0,0.223
0.082,0.0,0.0,0.225
0.083,0.0,0.0,0.223
0.084,0.0,0.0,0.226
0.085,0.0,0.0,0.226
0.086,0.0,0.0,0.221
0.087,0.0,0.0,0.22
0.088,0.0,0.0,0.22
0.089,0.0,0.0,0.22
0.09,0.0,0.0,0.219
0.091,0.0,0.0,0.226
0.092,0.0,0.0,0.231
0.093,0.0,0.0,0.231
0.094,0.0,0.0,0.232
0.095,0.0,0.0,0.234
0.096,0.0,0.0,0.229
0.097,0.0,0.0,0.231
0.098,0.0,0.0,0.244
0.099,0.0,0.0,0.26
0.1,0.0,0.0,0.271
0.101,0.0,0.0,0.276
0.102,0.0,0.0,0.276
0.103,0.0,0.0,0.274
0.104,0.0,0.0,0.273
0.105,0.0,0.0,0.275
0.106,0.0,0.0,0.276
0.107,0.0,0.0,0.276
0.108,0.0,0.0,0.28
0.109,0.0,0.0,0.286
0.11,0.0,0.0,0.284
0.111,0.0,0.0,0.279
0.112,0.0,0.0,0.277
0.113,0.0,0.0,0.271
0.114,0.0,0.0,0.264
0.115,0.0,0.0,0.262
0.116,0.0,0.0,0.254
0.117,0.0,0.0,0.248
0.118,0.0,0.0,0.245
0.119,0.0,0.0,0.25
0.12,0.0,0.0,0.261
0.121,0.0,0.0,0.275
0.122,0.0,0.0,0.292
0.123,0.0,0.0,0.312
0.124,0.0,0.0,0.329
0.125,0.0,0.0,0.345
0.126,0.0,0.0,0.359
0.127,0.0,0.0,0.375
0.128,0.0,0.0,0.399
0.129,0.0,50.389,0.424
0.13,0.0,50.387,0.439
0.131,0.0,50.386,0.446
0.132,0.0,50.385,0.445
0.133,0.0,50.377,0.437
0.134,0.0,50.369,0.419
0.135,0.0,0.0,0.397
0.136,0.0,0.0,0.375
0.137,0.0,0.0,0.36
0.138,0.0,0.0,0.353
0.139,0.0,0.0,0.346
0.14,0.0,0.0,0.336
0.141,0.0,0.0,0.331
0.142,0.0,0.0,0.34
0.143,0.0,0.0,0.348
0.144,0.0,0.0,0.347
0.145,0.0,0.0,0.351
0.146,0.0,0.0,0.368
0.147,0.0,0.0,0.394
0.148,0.0,50.362,0.42
0.149,0.0,50.365,0.433
0.15,0.0,50.378,0.456
0.151,0.0,50.398,0.482
0.152,0.0,50.411,0.497
0.153,0.0,50.42,0.495
0.154,0.0,50.437,0.489
0.155,0.0,50.459,0.481
0.156,0.0,50.466,0.467
0.157,0.0,50.465,0.453
0.158,0.0,50.47,0.438
0.159,0.0,50.476,0.414
0.16,0.0,0.0,0.385
0.161,0.0,0.0,0.365
0.162,0.0,0.0,0.342
0.163,0.0,0.0,0.312
0.164,0.0,0.0,0.29
0.165,0.0,0.0,0.271
0.166,0.0,0.0,0.256
0.167,0.0,0.0,0.254
0.168,0.0,0.0,0.254
0.169,0.0,0.0,0.247
0.17,0.0,0.0,0.245
0.171,0.0,0.0,0.247
0.172,0.0,0.0,0.242
0.173,0.0,0.0,0.234
0.174,0.0,0.0,0.229
0.175,0.0,0.0,0.228
0.176,0.0,0.0,0.228
0.177,0.0,0.0,0.225
0.178,0.0,0.0,0.226
0.179,0.0,0.0,0.232
0.18,0.0,0.0,0.241
0.181,0.0,0.0,0.257
0.182,0.0,0.0,0.26
0.183,0.0,0.0,0.254
0.184,0.0,0.0,0.255
0.185,0.0,0.0,0.261
0.186,0.0,0.0,0.259
0.187,0.0,0.0,0.257
0.188,0.0,0.0,0.258
0.189,0.0,0.0,0.266
0.19,0.0,0.0,0.279
0.191,0.0,0.0,0.29
0.192,0.0,0.0,0.292
0.193,0.0,0.0,0.28
0.194,0.0,0.0,0.261
0.195,0.0,0.0,0.253
0.196,0.0,0.0,0.242
0.197,0.0,0.0,0.222
0.198,0.0,0.0,0.215
0.199,0.0,0.0,0.231
0.2,0.0,0.0,0.244
0.201,0.0,0.0,0.259
0.202,0.0,0.0,0.272
0.203,0.0,0.0,0.273
0.204,0.0,0.0,0.284
0.205,0.0,0.0,0.308
0.206,0.0,0.0,0.339
0.207,0.0,0.0,0.365
0.208,0.0,464.216,0.401
0.209,0.0,462.497,0.445
0.21,0.0,462.237,0.486
0.211,0.0,462.024,0.518
0.212,0.0,461.848,0.538
0.213,0.0,461.6,0.549
0.214,0.0,461.227,0.547
0.215,0.0,460.878,0.545
0.216,0.0,460.565,0.531
0.217,0.0,460.206,0.517
0.218,0.0,459.799,0.493
0.219,0.0,459.425,0.475
0.22,0.0,457.043,0.466
0.221,0.0,456.618,0.456
0.222,0.0,456.282,0.428
0.223,0.0,454.242,0.411
0.224,0.0,0.0,0.388
0.225,0.0,0.0,0.37
0.226,0.0,0.0,0.347
0.227,0.0,0.0,0.321
0.228,0.0,0.0,0.295
0.229,0.0,0.0,0.264
0.23,0.0,0.0,0.244
0.231,0.0,0.0,0.222
0.232,0.0,0.0,0.2
0.233,0.0,0.0,0.179
0.234,0.0,0.0,0.157
0.235,0.0,0.0,0.144
0.236,0.0,0.0,0.136
0.237,0.0,0.0,0.126
0.238,0.0,0.0,0.117
0.239,0.0,0.0,0.118
0.24,0.0,0.0,0.116
0.241,0.0,0.0,0.113
0.242,0.0,0.0,0.112
0.243,0.0,0.0,0.112
0.244,0.0,0.0,0.118
0.245,0.0,0.0,0.127
0.246,0.0,0.0,0.135
0.247,0.0,0.0,0.147
0.248,0.0,0.0,0.165
0.249,0.0,0.0,0.18
0.25,0.0,0.0,0.194
0.251,0.0,0.0,0.218
0.252,0.0,0.0,0.251
0.253,0.0,0.0,0.28
0.254,0.0,0.0,0.307
0.255,0.0,0.0,0.341
0.256,0.0,0.0,0.376
0.257,0.0,450.541,0.403
0.258,0.0,454.025,0.443
0.259,0.0,454.123,0.495
0.26,0.0,454.146,0.539
0.261,0.0,454.104,0.582
0.262,0.0,454.056,0.633
0.263,0.0,453.996,0.673
0.264,0.0,452.571,0.703
0.265,0.0,452.518,0.722
0.266,0.0,452.459,0.746
0.267,0.0,452.433,0.775
0.268,0.0,452.364,0.792
0.269,0.0,452.277,0.795
0.27,0.0,452.22,0.794
0.271,0.0,452.191,0.798
0.272,0.0,452.161,0.793
0.273,0.0,452.081,0.78
0.274,0.0,452.075,0.761
0.275,0.0,452.102,0.746
0.276,0.0,452.141,0.719
0.277,0.0,452.132,0.691
0.278,0.0,452.22,0.667
0.279,0.0,452.306,0.634
0.28,0.0,452.363,0.6
0.281,0.0,452.4,0.571
0.282,0.0,452.504,0.542
0.283,0.0,452.593,0.501
0.284,0.0,452.624,0.467
0.285,0.0,452.645,0.443
0.286,0.0,452.727,0.41
0.287,0.0,0.0,0.372
0.288,0.0,0.0,0.352
0.289,0.0,0.0,0.333
0.29,0.0,0.0,0.312
0.291,0.0,0.0,0.293
0.292,0.0,0.0,0.289
0.293,0.0,0.0,0.288
0.294,0.0,0.0,0.29
0.295,0.0,0.0,0.3
0.296,0.0,0.0,0.301
0.297,0.0,0.0,0.303
0.298,0.0,0.0,0.317
0.299,0.0,0.0,0.336
0.3,0.0,0.0,0.35
0.301,0.0,0.0,0.373
0.302,0.0,456.529,0.417
0.303,0.0,456.586,0.451
0.304,0.0,456.721,0.453
0.305,0.0,458.715,0.456
0.306,0.0,457.055,0.467
0.307,0.0,457.167,0.467
0.308,0.0,459.339,0.468
0.309,0.0,459.549,0.471
0.31,0.0,459.743,0.451
0.311,0.0,465.846,0.444
0.312,0.0,466.289,0.434
0.313,0.0,466.689,0.422
0.314,0.0,467.21,0.406
0.315,0.0,0.0,0.384
0.316,0.0,0.0,0.365
0.317,0.0,0.0,0.354
0.318,0.0,0.0,0.341
0.319,0.0,0.0,0.318
0.32,0.0,0.0,0.297
