time,ref_freq,est_freq,confidence
0.0,0.0,492.821,0.657
0.001,0.0,492.829,0.696
0.002,0.0,492.768,0.734
0.003,0.0,492.755,0.763
0.004,0.0,492.728,0.789
0.005,0.0,492.698,0.811
0.006,0.0,492.639,0.83
0.007,0.0,492.605,0.845
0.008,0.0,492.537,0.857
0.009,0.0,492.465,0.865
0.01,0.0,492.367,0.874
0.011,0.0,492.28,0.879
0.012,0.0,492.168,0.879
0.013,0.0,492.066,0.881
0.014,0.0,491.919,0.881
0.015,0.0,491.797,0.878
0.016,0.0,491.625,0.872
0.017,0.0,491.457,0.869
0.018,0.0,491.269,0.866
0.019,0.0,491.09,0.86
0.02,0.0,490.115,0.857
0.021,0.0,489.926,0.861
0.022,0.0,489.726,0.864
0.023,0.0,489.524,0.864
0.024,0.0,489.283,0.864
0.025,0.0,489.061,0.865
0.026,0.0,488.84,0.864
0.027,0.0,488.626,0.86
0.028,0.0,488.406,0.855
0.029,0.0,488.208,0.849
0.03,0.0,488.002,0.843
0.031,0.0,487.79,0.836
0.032,0.0,487.597,0.831
0.033,0.0,487.416,0.822
0.034,0.0,487.261,0.812
0.035,0.0,487.097,0.799
0.036,0.0,486.937,0.786
0.037,0.0,486.027,0.775
0.038,0.0,485.917,0.772
0.039,0.0,485.8,0.766
0.04,0.0,485.678,0.76
0.041,0.0,485.571,0.755
0.042,0.0,485.515,0.749
0.043,0.0,485.464,0.75
0.044,0.0,485.421,0.747
0.045,0.0,485.35,0.742
0.046,0.0,485.341,0.74
0.047,0.0,485.335,0.738
0.048,0.0,485.321,0.732
0.049,0.0,485.284,0.728
0.05,0.0,485.338,0.727
0.051,0.0,485.385,0.727
0.052,0.0,485.352,0.723
0.053,0.0,485.286,0.718
0.054,0.0,485.331,0.721
0.055,0.0,485.388,0.725
0.056,0.0,485.405,0.725
0.057,0.0,485.406,0.725
0.058,0.0,485.445,0.725
0.059,0.0,485.478,0.73
0.06,0.0,485.493,0.737
0.061,0.0,485.49,0.74
0.062,0.0,485.53,0.737
0.063,0.0,485.582,0.737
0.064,0.0,485.606,0.746
0.065,0.0,485.594,0.75
0.066,0.0,485.62,0.746
0.067,0.0,485.668,0.751
0.068,0.0,485.649,0.757
0.069,0.0,485.608,0.757
0.07,0.0,485.638,0.753
0.071,0.0,485.674,0.754
0.072,0.0,485.665,0.757
0.073,0.0,485.661,0.756
0.074,0.0,485.692,0.756
0.075,0.0,485.729,0.756
