time,ref_freq,est_freq,confidence
0.0,0.0,475.817,0.742
0.001,0.0,475.939,0.757
0.002,0.0,475.993,0.775
0.003,0.0,476.006,0.796
0.004,0.0,476.018,0.811
0.005,0.0,475.988,0.824
0.006,0.0,475.904,0.838
0.007,0.0,475.784,0.852
0.008,0.0,475.653,0.864
0.009,0.0,475.495,0.872
0.01,0.0,475.29,0.881
0.011,0.0,475.077,0.888
0.012,0.0,474.863,0.892
0.013,0.0,474.625,0.891
0.014,0.0,474.36,0.888
0.015,0.0,474.06,0.885
0.016,0.0,473.751,0.88
0.017,0.0,473.456,0.87
0.018,0.0,473.151,0.857
0.019,0.0,472.089,0.844
0.02,0.0,471.758,0.828
0.021,0.0,471.466,0.811
0.022,0.0,471.176,0.79
0.023,0.0,470.98,0.764
0.024,0.0,470.753,0.726
0.025,0.0,470.618,0.689
0.026,0.0,470.485,0.636
0.027,0.0,470.438,0.575
0.028,0.0,470.454,0.5
0.029,0.0,470.55,0.421
0.03,0.0,470.729,0.334
0.031,0.0,420.155,0.417
0.032,0.0,420.157,0.511
0.033,0.0,420.134,0.593
0.034,0.0,420.053,0.657
0.035,416.83761962030763,419.95,0.705
0.036,416.83761962030763,419.88,0.742
0.037,416.83761962030763,419.778,0.773
0.038,416.83761962030763,419.623,0.796
0.039,416.83761962030763,419.437,0.81
0.04,416.83761962030763,419.258,0.821
0.041,416.83761962030763,419.094,0.829
0.042,416.83761962030763,418.231,0.839
0.043,416.83761962030763,418.051,0.854
0.044,416.83761962030763,417.894,0.867
0.045,416.83761962030763,417.746,0.878
0.046,416.83761962030763,417.589,0.886
0.047,416.83761962030763,417.428,0.894
0.048,416.83761962030763,417.313,0.901
0.049,416.83761962030763,417.186,0.905
0.05,416.83761962030763,417.054,0.908
0.051,416.83761962030763,416.923,0.911
0.052,416.83761962030763,416.813,0.913
0.053,416.83761962030763,416.703,0.914
0.054,416.83761962030763,416.593,0.913
0.055,416.83761962030763,416.492,0.914
0.056,416.83761962030763,416.4,0.914
0.057,416.83761962030763,416.306,0.915
0.058,416.83761962030763,416.218,0.914
0.059,416.83761962030763,416.13,0.915
0.06,416.83761962030763,416.051,0.915
0.061,416.83761962030763,415.971,0.914
0.062,416.83761962030763,415.897,0.913
0.063,416.83761962030763,415.838,0.913
0.064,416.83761962030763,415.78,0.912
0.065,416.83761962030763,415.729,0.911
0.066,416.83761962030763,415.682,0.911
0.067,416.83761962030763,415.643,0.911
0.068,416.83761962030763,415.227,0.912
0.069,416.83761962030763,415.191,0.914
0.07,416.83761962030763,415.15,0.915
0.071,416.83761962030763,415.12,0.918
0.072,416.83761962030763,415.086,0.92
0.073,416.83761962030763,415.06,0.92
0.074,416.83761962030763,415.047,0.921
0.075,416.83761962030763,415.03,0.922
0.076,416.83761962030763,415.025,0.924
