time,ref_freq,est_freq,confidence
0.0,0.0,461.244,0.833
0.001,0.0,461.339,0.847
0.002,0.0,461.4,0.857
0.003,0.0,461.465,0.86
0.004,0.0,461.48,0.87
0.005,0.0,461.521,0.879
0.006,0.0,461.506,0.882
0.007,0.0,461.519,0.883
0.008,0.0,461.531,0.886
0.009,0.0,461.523,0.89
0.01,0.0,461.509,0.891
0.011,0.0,461.507,0.892
0.012,0.0,461.519,0.891
0.013,0.0,461.494,0.893
0.014,0.0,461.531,0.89
0.015,0.0,461.552,0.891
0.016,0.0,461.584,0.889
0.017,0.0,461.57,0.89
0.018,0.0,461.642,0.887
0.019,0.0,461.692,0.886
0.02,0.0,461.748,0.886
0.021,0.0,461.796,0.883
0.022,0.0,461.878,0.879
0.023,0.0,461.993,0.877
0.024,0.0,462.082,0.879
0.025,0.0,462.192,0.872
0.026,0.0,462.278,0.868
0.027,0.0,463.245,0.868
0.028,0.0,463.353,0.869
0.029,0.0,463.505,0.862
0.03,0.0,463.606,0.864
0.031,0.0,463.748,0.871
0.032,0.0,463.857,0.87
0.033,0.0,464.004,0.863
0.034,0.0,464.128,0.866
0.035,0.0,464.258,0.876
0.036,0.0,464.404,0.877
0.037,0.0,464.52,0.871
0.038,0.0,464.669,0.872
0.039,0.0,464.792,0.876
0.04,0.0,464.954,0.872
0.041,0.0,465.046,0.87
0.042,0.0,465.168,0.876
0.043,0.0,465.242,0.879
0.044,0.0,465.343,0.872
0.045,0.0,465.375,0.87
0.046,0.0,465.441,0.875
0.047,0.0,465.492,0.876
0.048,0.0,465.524,0.868
0.049,0.0,465.541,0.865
0.05,0.0,465.518,0.868
0.051,0.0,465.525,0.865
0.052,0.0,465.464,0.859
0.053,0.0,465.454,0.862
0.054,0.0,465.373,0.867
0.055,0.0,465.323,0.863
0.056,0.0,465.229,0.857
0.057,0.0,465.203,0.859
0.058,0.0,465.095,0.86
0.059,0.0,465.019,0.853
0.06,0.0,464.894,0.847
0.061,0.0,464.786,0.851
0.062,0.0,464.658,0.85
0.063,0.0,464.531,0.837
0.064,0.0,464.38,0.826
0.065,0.0,464.159,0.825
0.066,0.0,463.97,0.816
0.067,0.0,463.751,0.798
0.068,0.0,463.554,0.781
0.069,0.0,463.261,0.767
0.07,0.0,463.035,0.745
0.071,0.0,461.984,0.73
0.072,0.0,461.741,0.723
0.073,0.0,461.439,0.711
0.074,0.0,461.191,0.699
0.075,0.0,460.876,0.683
0.076,0.0,459.866,0.682
0.077,0.0,459.541,0.682
0.078,0.0,459.211,0.682
0.079,0.0,458.916,0.681
0.08,0.0,458.632,0.689
0.081,0.0,458.391,0.693
0.082,0.0,458.135,0.698
0.083,0.0,457.934,0.699
0.084,0.0,457.701,0.71
