time,ref_freq,est_freq,confidence
0.0,367.0818232969676,56.985,0.035
0.001,367.0818232969676,57.031,0.041
0.002,367.0818232969676,57.063,0.051
0.003,367.0818232969676,57.097,0.056
0.004,367.0818232969676,57.161,0.058
0.005,367.0818232969676,57.218,0.064
0.006,367.0818232969676,57.259,0.064
0.007,367.0818232969676,57.301,0.057
0.008,367.0818232969676,57.351,0.052
0.009,367.0818232969676,57.391,0.049
0.01,367.0818232969676,57.424,0.044
0.011,367.0818232969676,57.455,0.04
0.012,367.0818232969676,57.476,0.042
0.013,367.0818232969676,58.647,0.042
0.014,367.0818232969676,58.683,0.04
0.015,367.0818232969676,58.701,0.037
0.016,367.0818232969676,58.692,0.039
0.017,367.0818232969676,58.692,0.041
0.018,367.0818232969676,58.731,0.039
0.019,367.0818232969676,58.732,0.036
0.02,367.0818232969676,58.716,0.037
0.021,367.0818232969676,58.717,0.038
0.022,367.0818232969676,58.739,0.038
0.023,367.0818232969676,58.75,0.038
0.024,367.0818232969676,58.754,0.036
0.025,367.0818232969676,58.752,0.037
0.026,367.0818232969676,58.782,0.041
0.027,367.0818232969676,58.816,0.043
0.028,367.0818232969676,58.816,0.044
0.029,367.0818232969676,58.795,0.046
0.03,367.0818232969676,58.815,0.05
0.031,367.0818232969676,58.857,0.052
0.032,367.0818232969676,58.85,0.051
0.033,367.0818232969676,58.84,0.058
0.034,367.0818232969676,58.864,0.068
0.035,367.0818232969676,58.897,0.071
0.036,367.0818232969676,58.892,0.069
0.037,367.0818232969676,58.866,0.083
0.038,367.0818232969676,58.893,0.103
0.039,367.0818232969676,58.919,0.104
0.04,367.0818232969676,58.918,0.104
0.041,367.0818232969676,58.911,0.111
0.042,367.0818232969676,58.927,0.133
0.043,367.0818232969676,58.962,0.154
0.044,367.0818232969676,58.993,0.149
0.045,367.0818232969676,58.977,0.148
0.046,367.0818232969676,58.98,0.164
0.047,367.0818232969676,59.035,0.169
0.048,367.0818232969676,59.085,0.155
0.049,367.0818232969676,59.091,0.16
0.05,367.0818232969676,59.109,0.185
0.051,367.0818232969676,59.16,0.187
0.052,367.0818232969676,59.2,0.169
0.053,367.0818232969676,59.211,0.164
0.054,367.0818232969676,59.223,0.168
0.055,367.0818232969676,59.258,0.143
0.056,367.0818232969676,59.267,0.111
0.057,367.0818232969676,59.246,0.104
0.058,367.0818232969676,59.24,0.106
0.059,367.0818232969676,59.238,0.095
0.06,367.0818232969676,59.22,0.08
0.061,367.0818232969676,59.212,0.068
0.062,367.0818232969676,59.184,0.062
0.063,367.0818232969676,59.159,0.059
0.064,367.0818232969676,59.137,0.053
0.065,367.0818232969676,59.088,0.047
0.066,367.0818232969676,59.031,0.05
0.067,367.0818232969676,58.988,0.056
0.068,367.0818232969676,58.96,0.055
0.069,367.0818232969676,58.934,0.055
0.07,367.0818232969676,58.892,0.06
0.071,367.0818232969676,58.864,0.067
0.072,367.0818232969676,58.848,0.075
0.073,367.0818232969676,57.206,0.084
0.074,367.0818232969676,58.832,0.088
0.075,367.0818232969676,58.845,0.097
0.076,367.0818232969676,58.85,0.102
0.077,367.0818232969676,58.865,0.104
0.078,367.0818232969676,58.904,0.105
0.079,367.0818232969676,58.919,0.109
0.08,367.0818232969676,58.939,0.107
0.081,367.0818232969676,58.972,0.097
0.082,367.0818232969676,58.976,0.095
0.083,367.0818232969676,58.999,0.091
0.084,367.0818232969676,59.006,0.081
0.085,367.0818232969676,59.0,0.072
0.086,367.0818232969676,59.023,0.06
0.087,367.0818232969676,59.025,0.053
0.088,367.0818232969676,353.35,0.052
0.089,367.0818232969676,353.281,0.054
0.09,367.0818232969676,353.152,0.054
0.091,367.0818232969676,353.057,0.053
0.092,367.0818232969676,353.037,0.044
0.093,367.0818232969676,352.53,0.037
0.094,367.0818232969676,352.962,0.033
0.095,367.0818232969676,353.046,0.029
0.096,367.0818232969676,352.591,0.027
0.097,367.0818232969676,59.033,0.03
0.098,367.0818232969676,59.023,0.034
0.099,367.0818232969676,59.005,0.042
0.1,367.0818232969676,59.003,0.051
0.101,367.0818232969676,59.012,0.064
0.102,367.0818232969676,59.019,0.079
0.103,367.0818232969676,59.019,0.089
0.104,367.0818232969676,59.015,0.102
0.105,367.0818232969676,59.018,0.104
0.106,367.0818232969676,59.031,0.095
0.107,367.0818232969676,59.037,0.092
0.108,367.0818232969676,59.051,0.078
0.109,367.0818232969676,59.061,0.066
0.11,367.0818232969676,59.03,0.064
0.111,367.0818232969676,59.013,0.059
0.112,367.0818232969676,58.994,0.053
0.113,367.0818232969676,58.942,0.049
0.114,367.0818232969676,58.901,0.046
0.115,367.0818232969676,58.858,0.044
0.116,367.0818232969676,57.282,0.041
0.117,367.0818232969676,75.171,0.041
0.118,367.0818232969676,75.157,0.045
0.119,367.0818232969676,75.361,0.044
0.12,367.0818232969676,75.357,0.044
0.121,367.0818232969676,75.352,0.044
0.122,367.0818232969676,75.359,0.039
0.123,367.0818232969676,75.089,0.035
0.124,367.0818232969676,75.355,0.032
0.125,367.0818232969676,75.362,0.028
0.126,367.0818232969676,75.066,0.024
0.127,367.0818232969676,75.066,0.022
0.128,367.0818232969676,75.357,0.02
0.129,367.0818232969676,75.342,0.019
0.13,367.0818232969676,75.038,0.018
0.131,367.0818232969676,74.698,0.019
0.132,367.0818232969676,74.693,0.02
0.133,367.0818232969676,74.686,0.022
0.134,367.0818232969676,74.68,0.025
0.135,367.0818232969676,74.68,0.028
0.136,367.0818232969676,74.697,0.029
0.137,367.0818232969676,74.717,0.032
0.138,367.0818232969676,74.731,0.035
0.139,367.0818232969676,74.756,0.035
0.14,367.0818232969676,74.784,0.037
0.141,367.0818232969676,74.801,0.039
0.142,367.0818232969676,74.814,0.038
0.143,367.0818232969676,74.843,0.037
0.144,367.0818232969676,75.045,0.037
0.145,367.0818232969676,74.887,0.036
0.146,367.0818232969676,75.07,0.035
0.147,367.0818232969676,75.091,0.035
0.148,367.0818232969676,75.114,0.035
0.149,367.0818232969676,75.123,0.036
0.15,367.0818232969676,75.297,0.037
0.151,367.0818232969676,75.317,0.036
0.152,367.0818232969676,75.329,0.036
0.153,367.0818232969676,75.333,0.037
0.154,367.0818232969676,75.345,0.037
0.155,367.0818232969676,75.355,0.036
0.156,367.0818232969676,75.369,0.035
0.157,367.0818232969676,75.383,0.034
0.158,367.0818232969676,75.387,0.033
0.159,367.0818232969676,75.401,0.031
0.16,367.0818232969676,75.419,0.029
0.161,367.0818232969676,75.437,0.027
0.162,367.0818232969676,75.457,0.025
0.163,367.0818232969676,75.474,0.023
0.164,367.0818232969676,75.49,0.022
0.165,367.0818232969676,75.512,0.02
0.166,367.0818232969676,75.529,0.019
0.167,367.0818232969676,75.536,0.019
0.168,367.0818232969676,75.553,0.018
0.169,367.0818232969676,75.571,0.017
0.17,367.0818232969676,75.582,0.016
0.171,367.0818232969676,75.596,0.016
0.172,367.0818232969676,75.612,0.015
0.173,367.0818232969676,75.624,0.015
0.174,367.0818232969676,75.632,0.014
0.175,367.0818232969676,75.638,0.014
0.176,367.0818232969676,75.649,0.014
0.177,367.0818232969676,75.659,0.013
0.178,367.0818232969676,75.662,0.013
0.179,367.0818232969676,75.673,0.013
0.18,367.0818232969676,75.687,0.013
0.181,367.0818232969676,75.696,0.013
0.182,367.0818232969676,75.704,0.013
0.183,367.0818232969676,75.711,0.013
0.184,367.0818232969676,75.938,0.013
0.185,367.0818232969676,75.947,0.013
0.186,367.0818232969676,75.952,0.013
0.187,367.0818232969676,75.959,0.013
0.188,367.0818232969676,75.968,0.014
0.189,367.0818232969676,75.974,0.014
0.19,367.0818232969676,75.979,0.014
0.191,367.0818232969676,75.985,0.014
0.192,367.0818232969676,75.989,0.014
0.193,367.0818232969676,75.991,0.015
0.194,367.0818232969676,75.995,0.015
0.195,367.0818232969676,76.001,0.015
0.196,367.0818232969676,76.005,0.016
0.197,367.0818232969676,76.006,0.016
0.198,367.0818232969676,76.006,0.016
0.199,367.0818232969676,76.008,0.016
0.2,367.0818232969676,76.009,0.016
0.201,367.0818232969676,76.009,0.017
0.202,367.0818232969676,76.008,0.017
0.203,367.0818232969676,76.006,0.017
0.204,367.0818232969676,76.005,0.017
0.205,367.0818232969676,76.006,0.017
0.206,367.0818232969676,76.007,0.017
0.207,367.0818232969676,76.003,0.017
0.208,367.0818232969676,75.998,0.018
0.209,367.0818232969676,75.997,0.018
0.21,367.0818232969676,75.996,0.018
0.211,367.0818232969676,75.993,0.018
0.212,367.0818232969676,75.992,0.018
0.213,367.0818232969676,75.989,0.019
0.214,367.0818232969676,75.986,0.019
0.215,367.0818232969676,75.983,0.019
0.216,367.0818232969676,75.984,0.019
0.217,367.0818232969676,75.985,0.02
0.218,367.0818232969676,75.982,0.02
0.219,367.0818232969676,75.979,0.02
0.22,367.0818232969676,75.797,0.021
0.221,367.0818232969676,75.8,0.021
0.222,367.0818232969676,75.802,0.021
0.223,367.0818232969676,75.799,0.021
0.224,367.0818232969676,75.795,0.022
0.225,367.0818232969676,75.793,0.022
0.226,367.0818232969676,75.794,0.023
0.227,367.0818232969676,75.796,0.023
0.228,367.0818232969676,75.794,0.023
0.229,367.0818232969676,75.789,0.024
0.23,367.0818232969676,75.788,0.024
0.231,367.0818232969676,75.789,0.025
0.232,367.0818232969676,75.785,0.025
0.233,367.0818232969676,75.781,0.025
0.234,367.0818232969676,75.78,0.026
0.235,367.0818232969676,75.777,0.026
0.236,367.0818232969676,75.776,0.027
0.237,367.0818232969676,75.776,0.027
0.238,367.0818232969676,75.776,0.027
0.239,367.0818232969676,75.774,0.027
0.24,367.0818232969676,75.77,0.028
0.241,367.0818232969676,75.769,0.029
0.242,367.0818232969676,75.772,0.029
0.243,367.0818232969676,75.767,0.029
0.244,367.0818232969676,75.761,0.03
0.245,367.0818232969676,75.759,0.031
0.246,367.0818232969676,75.756,0.031
0.247,367.0818232969676,75.753,0.032
0.248,367.0818232969676,75.75,0.032
0.249,367.0818232969676,75.746,0.033
0.25,367.0818232969676,75.741,0.034
0.251,367.0818232969676,75.736,0.035
0.252,367.0818232969676,75.734,0.035
0.253,367.0818232969676,75.732,0.036
0.254,367.0818232969676,75.723,0.037
0.255,367.0818232969676,75.715,0.038
0.256,367.0818232969676,75.713,0.039
0.257,367.0818232969676,75.709,0.039
0.258,367.0818232969676,75.706,0.04
0.259,367.0818232969676,75.699,0.042
0.26,367.0818232969676,75.694,0.043
0.261,367.0818232969676,75.69,0.044
0.262,367.0818232969676,75.687,0.045
0.263,367.0818232969676,75.684,0.046
0.264,367.0818232969676,75.681,0.047
0.265,367.0818232969676,75.674,0.049
0.266,367.0818232969676,75.668,0.049
0.267,367.0818232969676,75.669,0.05
0.268,367.0818232969676,75.669,0.051
0.269,367.0818232969676,75.665,0.051
0.27,367.0818232969676,75.659,0.053
0.271,367.0818232969676,75.656,0.054
0.272,367.0818232969676,75.657,0.055
0.273,367.0818232969676,75.654,0.056
0.274,367.0818232969676,75.648,0.057
0.275,367.0818232969676,75.645,0.058
0.276,367.0818232969676,75.641,0.059
0.277,367.0818232969676,75.639,0.059
0.278,367.0818232969676,75.638,0.06
0.279,367.0818232969676,75.637,0.06
0.28,367.0818232969676,75.633,0.06
0.281,367.0818232969676,75.628,0.062
0.282,367.0818232969676,75.627,0.063
0.283,367.0818232969676,75.626,0.063
0.284,367.0818232969676,75.621,0.064
0.285,367.0818232969676,75.615,0.064
0.286,367.0818232969676,75.613,0.065
0.287,367.0818232969676,75.611,0.065
0.288,367.0818232969676,75.609,0.064
0.289,367.0818232969676,75.607,0.065
0.29,367.0818232969676,75.604,0.065
0.291,367.0818232969676,75.6,0.065
0.292,367.0818232969676,75.597,0.066
0.293,367.0818232969676,75.595,0.066
0.294,367.0818232969676,75.593,0.067
0.295,367.0818232969676,75.588,0.067
0.296,367.0818232969676,75.582,0.066
0.297,367.0818232969676,75.58,0.067
0.298,367.0818232969676,75.58,0.066
0.299,367.0818232969676,75.578,0.065
0.3,367.0818232969676,75.573,0.067
0.301,367.0818232969676,75.569,0.067
0.302,367.0818232969676,75.567,0.066
0.303,367.0818232969676,75.565,0.066
0.304,367.0818232969676,75.562,0.067
0.305,367.0818232969676,75.559,0.067
0.306,367.0818232969676,75.555,0.068
0.307,367.0818232969676,75.551,0.067
0.308,367.0818232969676,75.552,0.067
0.309,367.0818232969676,75.553,0.067
0.31,367.0818232969676,75.551,0.066
0.311,367.0818232969676,75.545,0.069
0.312,367.0818232969676,75.543,0.069
0.313,367.0818232969676,75.544,0.069
0.314,367.0818232969676,75.541,0.069
0.315,367.0818232969676,75.536,0.069
0.316,367.0818232969676,75.534,0.07
0.317,367.0818232969676,75.531,0.069
0.318,367.0818232969676,75.529,0.068
0.319,367.0818232969676,75.53,0.068
0.32,367.0818232969676,75.529,0.067
0.321,367.0818232969676,75.524,0.066
0.322,367.0818232969676,75.522,0.068
0.323,367.0818232969676,75.523,0.068
0.324,367.0818232969676,75.522,0.067
0.325,367.0818232969676,75.517,0.067
