time,ref_freq,est_freq,confidence
0.0,0.0,82.796,0.001
0.001,0.0,82.8,0.001
0.002,0.0,82.809,0.001
0.003,0.0,82.811,0.001
0.004,0.0,82.81,0.001
0.005,0.0,82.814,0.001
0.006,0.0,82.822,0.001
0.007,0.0,82.823,0.001
0.008,0.0,82.821,0.001
0.009,0.0,82.827,0.001
0.01,0.0,82.831,0.001
0.011,0.0,82.826,0.001
0.012,0.0,82.822,0.001
0.013,0.0,82.829,0.001
0.014,0.0,82.833,0.001
0.015,0.0,82.824,0.001
0.016,0.0,82.818,0.001
0.017,0.0,82.821,0.001
0.018,0.0,82.825,0.001
0.019,0.0,82.818,0.001
0.02,0.0,82.81,0.001
0.021,0.0,82.812,0.001
0.022,0.0,82.817,0.001
0.023,0.0,82.815,0.001
0.024,0.0,82.81,0.001
0.025,0.0,82.807,0.001
0.026,0.0,82.808,0.001
0.027,0.0,82.809,0.001
0.028,0.0,82.809,0.001
0.029,0.0,82.81,0.001
0.03,0.0,82.809,0.001
0.031,0.0,82.808,0.001
0.032,0.0,82.811,0.001
0.033,0.0,82.817,0.001
0.034,0.0,82.817,0.001
0.035,0.0,82.81,0.001
0.036,0.0,82.807,0.001
0.037,0.0,82.814,0.001
0.038,0.0,82.815,0.001
0.039,0.0,82.808,0.001
0.04,0.0,82.803,0.001
0.041,0.0,82.084,0.001
0.042,0.0,82.09,0.001
0.043,0.0,82.799,0.001
0.044,0.0,82.795,0.001
0.045,0.0,82.079,0.001
0.046,0.0,82.078,0.001
0.047,0.0,82.08,0.001
0.048,0.0,82.075,0.001
0.049,0.0,82.069,0.001
0.05,0.0,82.065,0.001
0.051,0.0,82.06,0.001
0.052,0.0,82.058,0.001
0.053,0.0,82.058,0.001
0.054,0.0,82.054,0.001
0.055,0.0,82.043,0.001
0.056,0.0,82.036,0.001
0.057,0.0,82.042,0.001
0.058,0.0,82.044,0.001
0.059,0.0,82.036,0.001
0.06,0.0,82.029,0.001
0.061,0.0,82.029,0.001
0.062,0.0,82.03,0.001
0.063,0.0,82.025,0.001
0.064,0.0,82.021,0.001
0.065,0.0,82.022,0.001
0.066,0.0,82.024,0.001
0.067,0.0,82.026,0.001
0.068,0.0,82.026,0.001
0.069,0.0,82.027,0.001
0.07,0.0,82.029,0.001
0.071,0.0,82.031,0.001
0.072,0.0,82.035,0.001
0.073,0.0,82.04,0.001
0.074,0.0,82.045,0.001
0.075,0.0,82.051,0.001
0.076,0.0,82.057,0.001
0.077,0.0,82.066,0.001
0.078,0.0,82.074,0.001
0.079,0.0,82.083,0.001
0.08,0.0,82.097,0.001
0.081,0.0,82.113,0.001
0.082,0.0,82.127,0.001
0.083,0.0,82.144,0.001
0.084,988.7286244530331,82.165,0.001
0.085,988.7286244530331,82.185,0.001
0.086,988.7286244530331,82.203,0.001
0.087,988.7286244530331,82.226,0.001
