time,ref_freq,est_freq,confidence
0.0,0.0,0.0,0.025
0.001,0.0,0.0,0.029
0.002,0.0,0.0,0.035
0.003,0.0,0.0,0.027
0.004,0.0,0.0,0.022
0.005,0.0,0.0,0.02
0.006,0.0,0.0,0.014
0.007,0.0,0.0,0.008
0.008,0.0,0.0,0.008
0.009,0.0,0.0,0.023
0.01,0.0,0.0,0.051
0.011,0.0,69.013,0.11
0.012,0.0,69.073,0.202
0.013,0.0,69.253,0.24
0.014,0.0,69.632,0.221
0.015,0.0,69.786,0.198
0.016,0.0,70.767,0.164
0.017,0.0,70.985,0.175
0.018,0.0,71.348,0.241
0.019,0.0,71.483,0.296
0.02,0.0,71.637,0.292
0.021,0.0,71.839,0.248
0.022,0.0,72.095,0.226
0.023,0.0,72.373,0.219
0.024,0.0,72.663,0.293
0.025,0.0,72.903,0.306
0.026,0.0,73.083,0.25
0.027,0.0,73.31,0.286
0.028,0.0,73.457,0.4
0.029,0.0,73.632,0.471
0.03,0.0,73.74,0.404
0.031,0.0,73.847,0.324
0.032,0.0,74.034,0.304
0.033,0.0,74.666,0.281
0.034,0.0,75.077,0.266
0.035,0.0,75.253,0.215
0.036,0.0,75.415,0.18
0.037,0.0,75.555,0.153
0.038,0.0,75.676,0.15
0.039,0.0,75.708,0.106
0.04,0.0,0.0,0.094
0.041,0.0,0.0,0.082
0.042,0.0,0.0,0.081
0.043,0.0,0.0,0.072
0.044,0.0,0.0,0.06
0.045,0.0,0.0,0.047
0.046,0.0,0.0,0.034
0.047,0.0,0.0,0.03
0.048,0.0,0.0,0.024
0.049,0.0,0.0,0.023
0.05,0.0,0.0,0.032
0.051,0.0,0.0,0.031
0.052,0.0,0.0,0.017
0.053,0.0,0.0,0.011
0.054,0.0,0.0,0.016
0.055,0.0,0.0,0.021
0.056,0.0,0.0,0.023
0.057,0.0,0.0,0.024
0.058,0.0,0.0,0.017
0.059,0.0,0.0,0.014
0.06,0.0,0.0,0.015
0.061,0.0,0.0,0.021
0.062,0.0,0.0,0.021
0.063,0.0,0.0,0.013
0.064,0.0,0.0,0.021
0.065,0.0,0.0,0.021
0.066,0.0,0.0,0.01
0.067,0.0,0.0,0.006
0.068,0.0,0.0,0.005
0.069,0.0,0.0,0.005
0.07,0.0,0.0,0.004
0.071,0.0,0.0,0.004
0.072,0.0,0.0,0.002
0.073,0.0,0.0,0.002
0.074,0.0,0.0,0.002
0.075,0.0,0.0,0.004
0.076,0.0,0.0,0.004
0.077,0.0,0.0,0.004
0.078,0.0,0.0,0.003
0.079,0.0,0.0,0.003
0.08,0.0,0.0,0.004
0.081,0.0,0.0,0.007
0.082,0.0,0.0,0.009
0.083,0.0,0.0,0.005
0.084,0.0,0.0,0.007
0.085,0.0,0.0,0.011
0.086,0.0,0.0,0.012
0.087,0.0,0.0,0.011
0.088,0.0,0.0,0.008
0.089,0.0,0.0,0.009
0.09,0.0,0.0,0.009
0.091,0.0,0.0,0.011
0.092,0.0,0.0,0.012
0.093,0.0,0.0,0.008
0.094,0.0,0.0,0.004
0.095,0.0,0.0,0.005
0.096,0.0,0.0,0.004
0.097,0.0,0.0,0.003
0.098,0.0,0.0,0.004
0.099,0.0,0.0,0.007
0.1,0.0,0.0,0.008
0.101,0.0,0.0,0.006
0.102,0.0,0.0,0.005
0.103,0.0,0.0,0.005
0.104,0.0,0.0,0.007
0.105,0.0,0.0,0.004
0.106,0.0,0.0,0.003
0.107,0.0,0.0,0.004
0.108,0.0,0.0,0.006
0.109,0.0,0.0,0.009
0.11,0.0,0.0,0.008
0.111,0.0,0.0,0.006
0.112,0.0,0.0,0.007
0.113,0.0,0.0,0.005
0.114,0.0,0.0,0.005
0.115,0.0,0.0,0.005
0.116,0.0,0.0,0.006
0.117,0.0,0.0,0.003
0.118,0.0,0.0,0.003
0.119,0.0,0.0,0.004
0.12,0.0,0.0,0.006
0.121,0.0,0.0,0.006
0.122,0.0,0.0,0.006
0.123,0.0,0.0,0.007
0.124,0.0,0.0,0.01
0.125,0.0,0.0,0.008
0.126,0.0,0.0,0.007
0.127,0.0,0.0,0.007
0.128,0.0,0.0,0.008
0.129,0.0,0.0,0.01
0.13,0.0,0.0,0.009
0.131,0.0,0.0,0.009
0.132,0.0,0.0,0.01
0.133,0.0,0.0,0.009
0.134,0.0,0.0,0.009
0.135,0.0,0.0,0.01
0.136,0.0,0.0,0.01
0.137,0.0,0.0,0.01
0.138,0.0,0.0,0.011
0.139,0.0,0.0,0.014
0.14,0.0,0.0,0.016
0.141,0.0,0.0,0.015
0.142,0.0,0.0,0.014
0.143,0.0,0.0,0.014
0.144,0.0,0.0,0.015
0.145,0.0,0.0,0.015
0.146,0.0,0.0,0.014
0.147,0.0,0.0,0.013
0.148,0.0,0.0,0.014
0.149,0.0,0.0,0.016
0.15,0.0,0.0,0.016
0.151,0.0,0.0,0.018
0.152,0.0,0.0,0.02
0.153,0.0,0.0,0.02
0.154,0.0,0.0,0.02
0.155,0.0,0.0,0.022
0.156,0.0,0.0,0.023
0.157,0.0,0.0,0.022
0.158,0.0,0.0,0.02
0.159,0.0,0.0,0.02
0.16,0.0,0.0,0.02
0.161,0.0,0.0,0.017
0.162,0.0,0.0,0.015
0.163,0.0,0.0,0.014
0.164,0.0,0.0,0.014
0.165,0.0,0.0,0.014
0.166,0.0,0.0,0.012
0.167,0.0,0.0,0.011
0.168,0.0,0.0,0.012
0.169,0.0,0.0,0.013
0.17,0.0,0.0,0.012
0.171,0.0,0.0,0.01
0.172,0.0,0.0,0.009
0.173,0.0,0.0,0.009
0.174,0.0,0.0,0.008
0.175,0.0,0.0,0.007
0.176,0.0,0.0,0.007
0.177,0.0,0.0,0.006
0.178,0.0,0.0,0.007
0.179,0.0,0.0,0.008
0.18,0.0,0.0,0.009
0.181,0.0,0.0,0.011
0.182,0.0,0.0,0.013
0.183,0.0,0.0,0.015
0.184,0.0,0.0,0.018
0.185,0.0,0.0,0.021
0.186,0.0,0.0,0.024
0.187,0.0,0.0,0.026
0.188,0.0,0.0,0.028
0.189,0.0,0.0,0.03
0.19,0.0,0.0,0.031
0.191,0.0,0.0,0.03
0.192,0.0,0.0,0.03
0.193,0.0,0.0,0.03
0.194,0.0,0.0,0.031
0.195,0.0,0.0,0.031
0.196,0.0,0.0,0.031
0.197,0.0,0.0,0.033
0.198,0.0,0.0,0.033
0.199,0.0,0.0,0.033
0.2,661.606242667738,0.0,0.034
0.201,661.606242667738,0.0,0.035
0.202,661.606242667738,0.0,0.036
0.203,661.606242667738,0.0,0.036
0.204,661.606242667738,0.0,0.036
0.205,661.606242667738,0.0,0.036
0.206,661.606242667738,0.0,0.036
0.207,661.606242667738,0.0,0.036
0.208,661.606242667738,0.0,0.036
0.209,661.606242667738,0.0,0.035
0.21,661.606242667738,0.0,0.036
0.211,661.606242667738,0.0,0.036
0.212,661.606242667738,0.0,0.036
0.213,661.606242667738,0.0,0.036
0.214,661.606242667738,0.0,0.035
0.215,661.606242667738,0.0,0.034
0.216,661.606242667738,0.0,0.033
0.217,661.606242667738,0.0,0.032
0.218,661.606242667738,0.0,0.032
0.219,661.606242667738,0.0,0.031
0.22,661.606242667738,0.0,0.031
0.221,661.606242667738,0.0,0.031
0.222,661.606242667738,0.0,0.031
0.223,661.606242667738,0.0,0.03
0.224,661.606242667738,0.0,0.028
0.225,661.606242667738,0.0,0.027
0.226,661.606242667738,0.0,0.026
0.227,661.606242667738,0.0,0.027
0.228,661.606242667738,0.0,0.027
0.229,661.606242667738,0.0,0.026
0.23,661.606242667738,0.0,0.027
0.231,661.606242667738,0.0,0.028
0.232,661.606242667738,0.0,0.028
0.233,661.606242667738,0.0,0.028
