time,ref_freq,est_freq,confidence
0.0,0.0,55.656,0.048
0.001,0.0,55.643,0.066
0.002,0.0,55.647,0.077
0.003,0.0,55.962,0.081
0.004,0.0,55.702,0.083
0.005,0.0,55.724,0.092
0.006,0.0,56.031,0.1
0.007,0.0,56.068,0.111
0.008,0.0,56.353,0.11
0.009,0.0,56.374,0.106
0.01,0.0,56.399,0.106
0.011,0.0,56.434,0.1
0.012,0.0,56.487,0.088
0.013,0.0,56.524,0.078
0.014,0.0,56.554,0.068
0.015,0.0,56.989,0.06
0.016,0.0,57.037,0.056
0.017,0.0,57.082,0.05
0.018,0.0,57.129,0.042
0.019,0.0,57.454,0.034
0.02,0.0,57.49,0.03
0.021,0.0,57.522,0.027
0.022,0.0,57.548,0.023
0.023,0.0,57.557,0.02
0.024,0.0,57.564,0.017
0.025,0.0,57.581,0.015
0.026,0.0,57.586,0.013
0.027,0.0,57.589,0.013
0.028,0.0,57.607,0.011
0.029,0.0,57.62,0.009
0.03,0.0,57.592,0.008
0.031,0.0,57.569,0.008
0.032,0.0,57.575,0.007
0.033,0.0,58.383,0.006
0.034,0.0,57.556,0.005
0.035,0.0,57.564,0.004
0.036,0.0,53.504,0.005
0.037,0.0,53.463,0.005
0.038,0.0,53.413,0.006
0.039,0.0,53.426,0.006
0.04,0.0,53.456,0.007
0.041,0.0,53.448,0.008
0.042,0.0,53.444,0.009
0.043,0.0,53.462,0.008
0.044,0.0,53.488,0.008
0.045,0.0,53.509,0.008
0.046,0.0,53.524,0.009
0.047,0.0,53.531,0.009
0.048,0.0,53.538,0.009
0.049,0.0,53.564,0.008
0.05,0.0,53.598,0.008
0.051,0.0,73.709,0.01
0.052,0.0,73.746,0.011
0.053,0.0,73.792,0.012
0.054,0.0,73.817,0.014
0.055,0.0,73.832,0.017
0.056,0.0,73.84,0.021
0.057,0.0,73.851,0.022
0.058,0.0,73.882,0.022
0.059,0.0,73.925,0.02
0.06,0.0,73.967,0.02
0.061,0.0,73.987,0.02
0.062,0.0,74.307,0.022
0.063,0.0,74.336,0.018
0.064,0.0,74.045,0.015
0.065,0.0,74.367,0.015
0.066,0.0,74.379,0.014
0.067,0.0,74.416,0.011
0.068,0.0,57.183,0.011
0.069,0.0,57.179,0.011
0.07,0.0,57.181,0.011
0.071,0.0,57.194,0.012
0.072,0.0,57.21,0.013
0.073,0.0,57.21,0.012
0.074,0.0,57.214,0.012
0.075,0.0,57.247,0.012
0.076,0.0,57.548,0.012
0.077,0.0,57.569,0.012
0.078,0.0,57.295,0.011
0.079,0.0,57.293,0.011
0.08,0.0,57.606,0.011
0.081,0.0,58.134,0.011
0.082,0.0,58.165,0.011
0.083,0.0,57.659,0.011
0.084,0.0,57.391,0.011
0.085,0.0,57.393,0.01
0.086,0.0,57.933,0.011
0.087,0.0,58.203,0.012
0.088,0.0,57.929,0.015
0.089,0.0,57.942,0.015
0.09,0.0,57.946,0.015
0.091,0.0,57.925,0.016
0.092,0.0,57.937,0.018
0.093,0.0,57.962,0.016
0.094,0.0,57.942,0.014
0.095,0.0,57.896,0.014
0.096,0.0,57.919,0.016
0.097,0.0,58.421,0.016
0.098,0.0,57.98,0.015
0.099,0.0,58.442,0.013
0.1,0.0,58.434,0.013
0.101,0.0,58.455,0.014
0.102,0.0,58.512,0.013
0.103,0.0,58.556,0.012
0.104,0.0,58.553,0.012
0.105,0.0,58.56,0.013
0.106,0.0,58.591,0.013
0.107,0.0,58.594,0.012
0.108,0.0,58.578,0.012
0.109,0.0,58.589,0.014
0.11,0.0,58.589,0.015
0.111,0.0,58.131,0.015
0.112,0.0,58.142,0.016
0.113,0.0,58.593,0.016
0.114,0.0,58.13,0.016
0.115,0.0,58.075,0.021
0.116,0.0,58.065,0.024
0.117,0.0,58.072,0.025
0.118,0.0,58.041,0.026
0.119,0.0,57.991,0.025
0.12,0.0,57.978,0.024
0.121,0.0,57.988,0.024
0.122,0.0,57.986,0.023
0.123,0.0,57.959,0.023
0.124,0.0,57.311,0.024
0.125,0.0,57.286,0.027
0.126,0.0,57.279,0.031
0.127,0.0,57.277,0.032
0.128,0.0,57.237,0.034
0.129,0.0,57.19,0.037
0.13,0.0,57.169,0.037
0.131,0.0,57.173,0.037
0.132,0.0,57.16,0.04
0.133,0.0,57.125,0.043
0.134,0.0,57.112,0.042
0.135,0.0,57.121,0.04
0.136,0.0,57.126,0.039
0.137,0.0,57.132,0.037
0.138,0.0,57.141,0.033
0.139,0.0,57.156,0.028
0.14,0.0,57.179,0.024
0.141,0.0,57.205,0.021
0.142,0.0,57.224,0.02
0.143,0.0,57.235,0.018
0.144,0.0,57.255,0.015
0.145,0.0,57.29,0.013
0.146,0.0,57.328,0.011
0.147,0.0,57.362,0.011
0.148,0.0,57.392,0.01
0.149,0.0,57.417,0.008
0.15,0.0,57.616,0.007
0.151,0.0,57.647,0.007
0.152,0.0,57.671,0.006
0.153,0.0,58.069,0.006
0.154,0.0,58.104,0.005
0.155,0.0,58.133,0.004
0.156,0.0,58.155,0.004
0.157,0.0,58.346,0.004
0.158,0.0,58.37,0.003
0.159,0.0,58.384,0.003
0.16,0.0,58.381,0.003
0.161,0.0,58.39,0.002
0.162,0.0,58.403,0.002
0.163,0.0,58.41,0.002
0.164,0.0,58.406,0.002
0.165,0.0,58.404,0.002
0.166,0.0,58.408,0.002
0.167,0.0,58.419,0.001
0.168,0.0,75.397,0.002
0.169,0.0,75.395,0.002
0.17,0.0,75.379,0.002
0.171,0.0,75.372,0.002
0.172,0.0,75.385,0.002
0.173,0.0,75.396,0.002
0.174,0.0,75.403,0.002
0.175,0.0,75.407,0.002
0.176,0.0,75.41,0.002
0.177,0.0,75.406,0.002
0.178,0.0,75.416,0.002
0.179,0.0,75.443,0.002
0.18,0.0,75.445,0.002
0.181,0.0,75.438,0.002
0.182,0.0,75.463,0.002
0.183,0.0,75.495,0.002
0.184,0.0,75.493,0.002
0.185,0.0,57.024,0.002
0.186,0.0,57.014,0.003
0.187,0.0,57.036,0.003
0.188,0.0,57.068,0.003
0.189,0.0,57.088,0.003
0.19,0.0,57.105,0.003
0.191,0.0,57.131,0.004
0.192,0.0,57.168,0.004
0.193,0.0,57.186,0.004
0.194,0.0,57.482,0.004
0.195,0.0,57.205,0.005
0.196,0.0,57.221,0.006
0.197,0.0,57.235,0.006
0.198,0.0,57.516,0.005
0.199,0.0,75.577,0.006
0.2,0.0,75.563,0.006
0.201,0.0,75.538,0.006
0.202,0.0,75.549,0.006
0.203,0.0,75.574,0.006
0.204,0.0,75.551,0.006
0.205,0.0,75.515,0.006
0.206,0.0,75.524,0.006
0.207,0.0,75.531,0.006
0.208,0.0,75.525,0.006
0.209,0.0,75.505,0.006
0.21,0.0,75.473,0.007
0.211,0.0,75.447,0.006
0.212,0.0,75.449,0.007
0.213,0.0,75.478,0.007
0.214,0.0,75.48,0.007
0.215,0.0,75.477,0.008
0.216,0.0,75.506,0.008
0.217,0.0,75.547,0.009
0.218,0.0,75.544,0.009
0.219,0.0,75.533,0.011
0.22,0.0,75.533,0.013
0.221,0.0,75.526,0.013
0.222,0.0,75.518,0.014
0.223,0.0,75.532,0.015
0.224,0.0,75.539,0.016
0.225,0.0,75.518,0.017
0.226,0.0,75.498,0.018
0.227,0.0,75.528,0.019
0.228,0.0,75.565,0.018
0.229,0.0,75.599,0.021
0.23,0.0,75.632,0.025
0.231,0.0,75.684,0.024
0.232,0.0,76.005,0.021
0.233,0.0,75.813,0.02
0.234,0.0,75.81,0.021
0.235,0.0,76.078,0.018
0.236,0.0,76.146,0.015
0.237,0.0,76.205,0.013
0.238,0.0,75.967,0.011
0.239,0.0,76.263,0.01
0.24,0.0,57.518,0.011
0.241,0.0,57.833,0.009
0.242,0.0,57.847,0.006
0.243,0.0,57.811,0.004
0.244,0.0,57.546,0.004
0.245,0.0,57.849,0.003
0.246,0.0,58.137,0.003
0.247,0.0,57.872,0.003
0.248,0.0,57.864,0.004
0.249,0.0,58.13,0.005
0.25,0.0,58.174,0.005
0.251,0.0,58.178,0.005
0.252,0.0,58.141,0.004
0.253,0.0,58.096,0.004
0.254,0.0,58.09,0.005
0.255,0.0,58.048,0.005
0.256,0.0,57.198,0.005
0.257,0.0,57.439,0.006
0.258,0.0,56.484,0.006
0.259,0.0,56.394,0.009
0.26,0.0,56.382,0.01
0.261,0.0,56.359,0.009
0.262,0.0,56.305,0.012
0.263,0.0,56.253,0.016
0.264,0.0,56.242,0.021
0.265,0.0,56.268,0.023
0.266,0.0,56.311,0.026
0.267,0.0,56.323,0.033
0.268,0.0,56.347,0.041
0.269,0.0,56.422,0.046
0.27,0.0,56.48,0.056
0.271,0.0,56.508,0.071
0.272,0.0,56.563,0.081
0.273,0.0,57.057,0.101
0.274,0.0,57.122,0.136
0.275,0.0,57.186,0.165
0.276,0.0,57.269,0.175
