time,ref_freq,est_freq,confidence
0.0,0.0,63.849,0.001
0.001,0.0,64.067,0.001
0.002,0.0,64.42,0.001
0.003,0.0,64.536,0.001
0.004,0.0,40.928,0.001
0.005,0.0,40.899,0.001
0.006,0.0,40.907,0.002
0.007,0.0,40.937,0.003
0.008,0.0,40.929,0.003
0.009,0.0,40.898,0.003
0.01,0.0,122.666,0.004
0.011,0.0,122.593,0.008
0.012,0.0,122.49,0.01
0.013,0.0,122.238,0.009
0.014,0.0,117.84,0.008
0.015,0.0,117.191,0.024
0.016,0.0,116.687,0.05
0.017,0.0,116.445,0.076
0.018,0.0,116.189,0.091
0.019,0.0,116.016,0.127
0.02,0.0,115.851,0.148
0.021,0.0,115.677,0.119
0.022,0.0,115.586,0.094
0.023,0.0,115.66,0.078
0.024,0.0,115.746,0.062
0.025,0.0,115.822,0.048
0.026,0.0,115.943,0.046
0.027,0.0,116.166,0.038
0.028,0.0,116.438,0.023
0.029,0.0,117.207,0.01
0.03,0.0,78.692,0.005
0.031,0.0,78.837,0.002
0.032,0.0,60.711,0.001
0.033,0.0,65.137,0.001
0.034,0.0,65.289,0.001
0.035,0.0,65.527,0.001
0.036,0.0,66.931,0.001
0.037,0.0,67.188,0.002
0.038,0.0,67.56,0.002
0.039,0.0,67.494,0.003
0.04,0.0,67.527,0.006
0.041,0.0,67.69,0.006
0.042,0.0,67.851,0.005
0.043,0.0,68.072,0.004
0.044,0.0,69.629,0.003
0.045,0.0,70.103,0.004
0.046,0.0,70.887,0.006
0.047,0.0,71.593,0.013
0.048,0.0,71.937,0.031
0.049,0.0,72.454,0.059
0.05,0.0,72.724,0.095
0.051,0.0,72.923,0.107
0.052,0.0,73.841,0.108
0.053,0.0,74.16,0.108
0.054,0.0,75.16,0.105
0.055,0.0,75.36,0.125
0.056,0.0,75.489,0.151
0.057,0.0,75.873,0.171
0.058,0.0,58.894,0.225
0.059,0.0,58.871,0.26
0.06,0.0,59.001,0.309
0.061,0.0,58.99,0.353
0.062,0.0,58.816,0.401
0.063,0.0,58.964,0.413
0.064,0.0,58.964,0.401
0.065,0.0,58.96,0.351
0.066,0.0,58.959,0.296
0.067,0.0,58.976,0.25
0.068,0.0,59.011,0.216
0.069,0.0,59.295,0.158
0.07,0.0,59.275,0.101
0.071,0.0,58.977,0.071
0.072,0.0,59.405,0.041
